,date,language,work,work_url
15392,1961-04-28,in deutscher Sprache,Capriccio,https://archiv.wiener-staatsoper.at/performances/8448
15393,1961-04-28,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9789
15394,1961-04-28,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/13494
15395,1961-04-29,in italienischer Sprache,Un ballo in maschera,https://archiv.wiener-staatsoper.at/performances/6639
15396,1961-04-30,in italienischer Sprache,Otello,https://archiv.wiener-staatsoper.at/performances/1874
15397,1961-05-01,in deutscher Sprache,Don Giovanni,https://archiv.wiener-staatsoper.at/performances/1138
15398,1961-05-01,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9790
15399,1961-05-01,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/13495
15400,1961-05-02,in deutscher Sprache,Die Walküre,https://archiv.wiener-staatsoper.at/performances/10712
15401,1961-05-03,in deutscher Sprache,Arabella,https://archiv.wiener-staatsoper.at/performances/9214
15402,1961-05-04,in deutscher Sprache,Carmen,https://archiv.wiener-staatsoper.at/performances/12062
15403,1961-05-05,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/895
15404,1961-05-06,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5811
15405,1961-05-07,in italienischer Sprache,Otello,https://archiv.wiener-staatsoper.at/performances/1875
15406,1961-05-08,in deutscher und italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6046
15407,1961-05-08,in deutscher Sprache,La Bohème (Puccini),https://archiv.wiener-staatsoper.at/performances/7804
15408,1961-05-09,in italienischer Sprache,Pagliacci,https://archiv.wiener-staatsoper.at/performances/4392
15409,1961-05-09,in italienischer Sprache,Cavalleria rusticana,https://archiv.wiener-staatsoper.at/performances/7728
15410,1961-05-10,in deutscher Sprache,Der fliegende Holländer,https://archiv.wiener-staatsoper.at/performances/3659
15411,1961-05-11,in deutscher Sprache,Die Walküre,https://archiv.wiener-staatsoper.at/performances/10713
15412,1961-05-12,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/896
15413,1961-05-12,in deutscher Sprache,Ariadne auf Naxos,https://archiv.wiener-staatsoper.at/performances/11394
15414,1961-05-13,in deutscher Sprache,Oedipus der Tyrann,https://archiv.wiener-staatsoper.at/performances/1884
15415,1961-05-14,in deutscher und italienischer Sprache,Aida,https://archiv.wiener-staatsoper.at/performances/368
15416,1961-05-15,in deutscher Sprache,La Bohème (Puccini),https://archiv.wiener-staatsoper.at/performances/7806
15417,1961-05-15,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9791
15418,1961-05-15,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/13496
15419,1961-05-16,in deutscher Sprache,Der Rosenkavalier,https://archiv.wiener-staatsoper.at/performances/2612
15420,1961-05-18,in italienischer Sprache,Pagliacci,https://archiv.wiener-staatsoper.at/performances/4393
15421,1961-05-18,in italienischer Sprache,Cavalleria rusticana,https://archiv.wiener-staatsoper.at/performances/7730
15422,1961-05-19,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9792
15423,1961-05-19,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/13497
15424,1961-05-19,in deutscher Sprache,La Bohème (Puccini),https://archiv.wiener-staatsoper.at/performances/16102
15425,1961-05-20,in deutscher Sprache,Der fliegende Holländer,https://archiv.wiener-staatsoper.at/performances/3660
15426,1961-05-21,in deutscher und italienischer Sprache,Don Carlo (Ital.),https://archiv.wiener-staatsoper.at/performances/10160
15427,1961-05-22,in italienischer Sprache,La forza del destino,https://archiv.wiener-staatsoper.at/performances/8827
15428,1961-05-23,in deutscher Sprache,Die Entführung aus dem Serail,https://archiv.wiener-staatsoper.at/performances/2370
15429,1961-05-23,in deutscher Sprache,Die Zauberflöte,https://archiv.wiener-staatsoper.at/performances/3598
15430,1961-05-24,in deutscher und italienischer Sprache,Don Carlo (Ital.),https://archiv.wiener-staatsoper.at/performances/10161
15431,1961-05-25,in italienischer Sprache,Andrea Chénier,https://archiv.wiener-staatsoper.at/performances/342
15432,1961-05-26,in deutscher Sprache,Die Zauberflöte,https://archiv.wiener-staatsoper.at/performances/3604
15433,1961-05-27,in deutscher Sprache,Die Meistersinger von Nürnberg,https://archiv.wiener-staatsoper.at/performances/1288
15434,1961-05-28,in italienischer Sprache,Un ballo in maschera,https://archiv.wiener-staatsoper.at/performances/6640
15435,1961-05-29,in deutscher Sprache,Oedipus der Tyrann,https://archiv.wiener-staatsoper.at/performances/1885
15436,1961-05-30,in deutscher Sprache,Carmen,https://archiv.wiener-staatsoper.at/performances/12065
15437,1961-05-31,in deutscher Sprache,Die Meistersinger von Nürnberg,https://archiv.wiener-staatsoper.at/performances/1292
15438,1961-06-01,in deutscher Sprache,Parsifal,https://archiv.wiener-staatsoper.at/performances/1654
15439,1961-06-02,in deutscher und italienischer Sprache,Don Carlo (Ital.),https://archiv.wiener-staatsoper.at/performances/10162
15440,1961-06-03,in deutscher Sprache,Wozzeck,https://archiv.wiener-staatsoper.at/performances/11160
15441,1961-06-04,in deutscher Sprache,Tristan und Isolde,https://archiv.wiener-staatsoper.at/performances/12579
15442,1961-06-05,in deutscher und italienischer Sprache,Aida,https://archiv.wiener-staatsoper.at/performances/369
15443,1961-06-06,in deutscher Sprache,Capriccio,https://archiv.wiener-staatsoper.at/performances/8455
15444,1961-06-06,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9793
15445,1961-06-06,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/13498
15446,1961-06-07,in deutscher Sprache,Das Rheingold,https://archiv.wiener-staatsoper.at/performances/11110
15447,1961-06-08,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/897
15448,1961-06-08,in deutscher Sprache,Eugen Onegin,https://archiv.wiener-staatsoper.at/performances/14489
15449,1961-06-09,in deutscher Sprache,Die Walküre,https://archiv.wiener-staatsoper.at/performances/10714
15450,1961-06-10,in deutscher Sprache,Don Giovanni,https://archiv.wiener-staatsoper.at/performances/1140
15451,1961-06-10,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9794
15452,1961-06-10,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/13499
15453,1961-06-11,in deutscher Sprache,Siegfried,https://archiv.wiener-staatsoper.at/performances/11929
