,work,composer,librettist,theatre,date
5064,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Village Hall, Ballachulish",1997-09-25
5065,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Village Hall, Whiting Bay",1997-09-27
5066,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Town Hall, St Andrews",1997-09-30
5067,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Dumfries",1997-10-02
5068,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Victoria Halls, Helensburgh",1997-10-04
5069,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Gaiety Theatre, Ayr",1997-10-07
5070,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Woodend Barn,1997-10-09
5071,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Linlithgow Academy Theatre,1997-10-11
5072,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Biggar High School,1997-10-14
5073,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Motherwell Theatre,1997-10-16
5074,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Deeside Theatre,1997-10-18
5075,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1997-09-30
5076,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1997-10-04
5077,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Festival Theatre, Edinburgh",1997-10-16
5078,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Festival Theatre, Edinburgh",1997-10-18
5079,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1997-10-21
5080,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1997-10-23
5081,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1997-10-02
5082,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1997-10-11
5083,Norma,Vincenzo Bellini,Felice Romani,"Festival Theatre, Edinburgh",1997-10-17
5084,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1997-10-24
5085,Peter Grimes,Benjamin Britten,Montagu Slater,"Festival Theatre, Edinburgh",1997-10-15
5086,Peter Grimes,Benjamin Britten,Montagu Slater,"Theatre Royal, Glasgow",1997-10-22
5087,Peter Grimes,Benjamin Britten,Montagu Slater,"Theatre Royal, Glasgow",1997-10-25
5088,Peter Grimes,Benjamin Britten,Montagu Slater,"Theatre Royal, Glasgow",1997-10-28
5089,Peter Grimes,Benjamin Britten,Montagu Slater,"Theatre Royal, Glasgow",1997-10-30
5090,Peter Grimes,Benjamin Britten,Montagu Slater,"Festival Theatre, Edinburgh",1997-11-06
5091,Peter Grimes,Benjamin Britten,Montagu Slater,"Alhambra Theatre, Bradford",1997-11-13
5092,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1997-10-29
5093,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Theatre Royal, Glasgow",1997-11-01
5094,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Festival Theatre, Edinburgh",1997-11-05
5095,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Festival Theatre, Edinburgh",1997-11-07
5096,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Alhambra Theatre, Bradford",1997-11-12
5097,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"Alhambra Theatre, Bradford",1997-11-14
5098,Norma,Vincenzo Bellini,Felice Romani,"Festival Theatre, Edinburgh",1997-11-04
