,work,composer,librettist,theatre,date
0,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-12
1,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-14
2,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-16
3,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-13
4,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-15
5,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-17
6,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-23
7,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-24
8,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-25
9,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-27
10,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-28
11,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-26
12,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-28
13,Faust,Charles Gounod,"Jules Barbier
				Michel Carré","Theatre Royal, Glasgow",1956-05-14
14,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-05-17
15,Manon Lescaut,Giacomo Puccini,"Marco Praga
				Domenico Oliva
				Giuseppe Giacosa
				Luigi Illica
				Giulio Ricordi
				Giacomo Puccini","Theatre Royal, Glasgow",1956-05-18
16,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-20
17,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-22
18,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-24
19,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-08-21
20,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-08-21
21,Barber of Baghdad,Peter Cornelius,Peter Cornelius,"King's Theatre, Edinburgh",1956-08-23
22,Barber of Baghdad,Peter Cornelius,Peter Cornelius,"King's Theatre, Edinburgh",1956-08-25
23,Barber of Baghdad,Peter Cornelius,Peter Cornelius,"King's Theatre, Edinburgh",1956-09-07
24,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-08-28
25,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-09-05
26,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-08-28
27,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-09-05
28,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-29
29,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-29
30,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-31
31,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-09-03
32,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-08-30
33,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-09-01
34,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-09-04
35,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-09-06
36,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-09-08
37,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-15
38,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-17
39,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-23
40,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-16
41,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-17
42,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-20
43,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-18
44,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-20
45,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-24
46,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-18
47,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-20
48,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-24
49,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-19
50,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-24
51,Faust,Charles Gounod,"Jules Barbier
				Michel Carré",Gaumont Theatre,1956-10-22
52,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Gaumont Theatre,1956-10-23
53,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci",Gaumont Theatre,1956-10-24
54,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,Gaumont Theatre,1956-10-24
55,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Gaumont Theatre,1956-10-25
56,Cox and Box,,,"King's Theatre, Edinburgh",1956-10-25
57,Cox and Box,,,"King's Theatre, Edinburgh",1956-10-26
58,H M S Pinafore,Arthur Sullivan,William S Gilbert,"King's Theatre, Edinburgh",1956-10-25
59,H M S Pinafore,Arthur Sullivan,William S Gilbert,"King's Theatre, Edinburgh",1956-10-26
60,Manon Lescaut,Giacomo Puccini,"Marco Praga
				Domenico Oliva
				Giuseppe Giacosa
				Luigi Illica
				Giulio Ricordi
				Giacomo Puccini",Gaumont Theatre,1956-10-26
61,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-26
62,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-31
63,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Edinburgh",1956-11-05
64,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Edinburgh",1956-11-07
65,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Gaumont Theatre,1956-10-27
66,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-27
67,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-29
68,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-11-02
69,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"King's Theatre, Edinburgh",1956-11-08
70,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"King's Theatre, Edinburgh",1956-11-10
71,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-27
72,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-29
73,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-11-02
74,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","King's Theatre, Edinburgh",1956-11-08
75,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","King's Theatre, Edinburgh",1956-11-10
76,Tales of Hoffmann,Jacques Offenbach,"Michel Carré
				Jules Barbier",Gaumont Theatre,1956-10-27
77,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-27
78,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-11-01
79,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1956-11-06
80,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-30
81,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-11-03
82,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1956-11-09
83,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-31
84,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-11-03
85,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1956-11-07
86,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1956-11-10
87,Consul,Gian Carlo Menotti,Gian Carlo Menotti,Lyric Theatre,1957-01-29
88,Duke Bluebeard's Castle,Béla Bartók,Béla Balázs,Lyric Theatre,1957-01-30
89,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci",Gaumont Theatre,1957-03-11
90,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci",Gaumont Theatre,1957-03-13
91,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci",Gaumont Theatre,1957-03-15
92,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,Gaumont Theatre,1957-03-11
93,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,Gaumont Theatre,1957-03-13
94,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,Gaumont Theatre,1957-03-15
95,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"His Majesty's Theatre, Aberdeen",1957-04-01
96,Traviata,Giuseppe Verdi,Francesco Maria  Piave,Gaumont Theatre,1957-04-08
97,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","His Majesty's Theatre, Aberdeen",1957-04-02
98,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Gaumont Theatre,1957-04-12
99,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Glasgow",1957-04-17
100,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Glasgow",1957-04-20
101,Martha,Friedrich von Flotow,W Friedrich,"His Majesty's Theatre, Aberdeen",1957-04-03
102,Martha,Friedrich von Flotow,W Friedrich,Gaumont Theatre,1957-04-11
103,Martha,Friedrich von Flotow,W Friedrich,"King's Theatre, Glasgow",1957-04-19
104,Martha,Friedrich von Flotow,W Friedrich,"King's Theatre, Glasgow",1957-04-23
105,Trovatore,Giuseppe Verdi,"Salvadore Cammarano
				Leone Emanuele Bardare","His Majesty's Theatre, Aberdeen",1957-04-04
106,Trovatore,Giuseppe Verdi,"Salvadore Cammarano
				Leone Emanuele Bardare","King's Theatre, Glasgow",1957-04-15
107,Trovatore,Giuseppe Verdi,"Salvadore Cammarano
				Leone Emanuele Bardare","King's Theatre, Glasgow",1957-04-18
108,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"His Majesty's Theatre, Aberdeen",1957-04-05
109,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Gaumont Theatre,1957-04-10
110,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Glasgow",1957-04-22
111,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","His Majesty's Theatre, Aberdeen",1957-04-06
112,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Gaumont Theatre,1957-04-09
113,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Gaumont Theatre,1957-04-13
114,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Glasgow",1957-04-16
115,Bartered Bride,Bedřich Smetana,Karel Sabina,"His Majesty's Theatre, Aberdeen",1957-04-06
116,Bartered Bride,Bedřich Smetana,Karel Sabina,Gaumont Theatre,1957-04-13
117,Bartered Bride,Bedřich Smetana,Karel Sabina,"King's Theatre, Glasgow",1957-04-20
118,Maritana,William Vincent Wallace,Edward Fitzball,Usher Hall,1957-04-08
119,Maritana,William Vincent Wallace,Edward Fitzball,Usher Hall,1957-04-10
120,Maritana,William Vincent Wallace,Edward Fitzball,Usher Hall,1957-04-12
121,Maritana,William Vincent Wallace,Edward Fitzball,Usher Hall,1957-04-13
122,Snow Maiden,Nikolay Rimsky-Korsakov,Nikolay Rimsky-Korsakov,"King's Theatre, Glasgow",1957-04-08
123,Snow Maiden,Nikolay Rimsky-Korsakov,Nikolay Rimsky-Korsakov,"King's Theatre, Glasgow",1957-04-10
124,Snow Maiden,Nikolay Rimsky-Korsakov,Nikolay Rimsky-Korsakov,"King's Theatre, Glasgow",1957-04-12
125,Snow Maiden,Nikolay Rimsky-Korsakov,Nikolay Rimsky-Korsakov,"King's Theatre, Glasgow",1957-04-13
126,Nabucco,,,Usher Hall,1957-04-09
127,Nabucco,,,Usher Hall,1957-04-11
128,Nabucco,,,Usher Hall,1957-04-13
129,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Glasgow",1957-04-09
130,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Glasgow",1957-04-11
131,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Glasgow",1957-04-13
132,Mignon,Ambroise Thomas,"Michel Carré
				Jules Barbier","Gateway Theatre, Edinburgh",1957-04-22
133,Mignon,Ambroise Thomas,"Michel Carré
				Jules Barbier","Gateway Theatre, Edinburgh",1957-04-24
134,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,"King's Theatre, Glasgow",1957-04-24
135,Tabarro,,,"King's Theatre, Glasgow",1957-04-24
136,Suor Angelica,Giacomo Puccini,Giovacchino Forzano,"King's Theatre, Glasgow",1957-04-24
137,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Glasgow",1957-04-25
138,Mignon,Ambroise Thomas,"Michel Carré
				Jules Barbier","Gateway Theatre, Edinburgh",1957-04-25
139,Mignon,Ambroise Thomas,"Michel Carré
				Jules Barbier","Gateway Theatre, Edinburgh",1957-04-27
140,Eugene Onegin,Pyotr Ilyich Tchaikovsky,"Pyotr Ilyich Tchaikovsky
				Konstantin Shilovsky","King's Theatre, Glasgow",1957-04-26
141,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1957-04-27
142,Bartered Bride,Bedřich Smetana,Karel Sabina,"King's Theatre, Glasgow",1957-04-27
143,Sonnambula,Vincenzo Bellini,Felice Romani,"King's Theatre, Edinburgh",1957-08-19
144,Sonnambula,Vincenzo Bellini,Felice Romani,"King's Theatre, Edinburgh",1957-08-21
145,Secret Marriage,Domenico Cimarosa,Giovanni Bertati,"King's Theatre, Edinburgh",1957-08-20
146,Secret Marriage,Domenico Cimarosa,Giovanni Bertati,"King's Theatre, Edinburgh",1957-08-22
147,Secret Marriage,Domenico Cimarosa,Giovanni Bertati,"King's Theatre, Edinburgh",1957-08-24
148,Elixir of Love,Gaetano Donizetti,Felice Romani,"King's Theatre, Edinburgh",1957-08-23
149,Sonnambula,Vincenzo Bellini,Felice Romani,"King's Theatre, Edinburgh",1957-08-26
150,Sonnambula,Vincenzo Bellini,Felice Romani,"King's Theatre, Edinburgh",1957-08-29
151,Sonnambula,Vincenzo Bellini,Felice Romani,"King's Theatre, Edinburgh",1957-09-03
152,Elixir of Love,Gaetano Donizetti,Felice Romani,"King's Theatre, Edinburgh",1957-08-27
153,Elixir of Love,Gaetano Donizetti,Felice Romani,"King's Theatre, Edinburgh",1957-08-31
154,Elixir of Love,Gaetano Donizetti,Felice Romani,"King's Theatre, Edinburgh",1957-09-05
155,Elixir of Love,Gaetano Donizetti,Felice Romani,"King's Theatre, Edinburgh",1957-09-07
156,Secret Marriage,Domenico Cimarosa,Giovanni Bertati,"King's Theatre, Edinburgh",1957-08-28
157,Turco in Italia,Gioachino Rossini,Felice Romani,"King's Theatre, Edinburgh",1957-08-30
158,Turco in Italia,Gioachino Rossini,Felice Romani,"King's Theatre, Edinburgh",1957-09-02
159,Turco in Italia,Gioachino Rossini,Felice Romani,"King's Theatre, Edinburgh",1957-09-04
160,Turco in Italia,Gioachino Rossini,Felice Romani,"King's Theatre, Edinburgh",1957-09-06
161,Faust,Charles Gounod,"Jules Barbier
				Michel Carré",Gaumont Theatre,1958-03-10
162,Faust,Charles Gounod,"Jules Barbier
				Michel Carré",Gaumont Theatre,1958-03-12
163,Faust,Charles Gounod,"Jules Barbier
				Michel Carré",Gaumont Theatre,1958-03-14
164,Huguenots,Giacomo Meyerbeer,"Eugène Scribe
				Emile Deschamps
				Gaetano Rossi",Usher Hall,1958-04-05
165,Creation,Franz Joseph Haydn,Gottfried van Swieten,Caird Hall,1958-04-23
166,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Edinburgh",1958-04-28
167,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Edinburgh",1958-05-01
168,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Edinburgh",1958-05-03
169,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein",Gaumont Theatre,1958-05-05
170,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein",Gaumont Theatre,1958-05-07
171,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein",Gaumont Theatre,1958-05-10
172,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","His Majesty's Theatre, Aberdeen",1958-05-12
173,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","Her Majesty's Theatre, Aberdeen",1958-05-14
174,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","His Majesty's Theatre, Aberdeen",1958-05-17
175,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Glasgow",1958-05-19
176,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Glasgow",1958-05-21
177,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Glasgow",1958-05-24
178,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Edinburgh",1958-04-29
179,Traviata,Giuseppe Verdi,Francesco Maria  Piave,Gaumont Theatre,1958-05-09
180,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"His Majesty's Theatre, Aberdeen",1958-05-15
181,Traviata,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1958-05-22
182,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1958-04-30
183,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1958-05-02
184,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Gaumont Theatre,1958-05-06
185,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Gaumont Theatre,1958-05-08
186,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"His Majesty's Theatre, Aberdeen",1958-05-13
187,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"His Majesty's Theatre, Aberdeen",1958-05-16
188,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Glasgow",1958-05-20
189,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Glasgow",1958-05-23
190,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1958-05-03
191,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Gaumont Theatre,1958-05-10
192,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","His Majesty's Theatre, Aberdeen",1958-05-17
193,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Glasgow",1958-05-24
194,Seraglio,Wolfgang Amadeus Mozart,Gottlieb Stephanie,"King's Theatre, Edinburgh",1958-08-25
195,Seraglio,Wolfgang Amadeus Mozart,Gottlieb Stephanie,"King's Theatre, Edinburgh",1958-08-27
196,Seraglio,Wolfgang Amadeus Mozart,Gottlieb Stephanie,"King's Theatre, Edinburgh",1958-08-29
197,Seraglio,Wolfgang Amadeus Mozart,Gottlieb Stephanie,"King's Theatre, Edinburgh",1958-09-04
198,Seraglio,Wolfgang Amadeus Mozart,Gottlieb Stephanie,"King's Theatre, Edinburgh",1958-09-10
199,Seraglio,Wolfgang Amadeus Mozart,Gottlieb Stephanie,"King's Theatre, Edinburgh",1958-09-12
200,Euryanthe,Carl Maria von Weber,Helmina von Chezy,"King's Theatre, Edinburgh",1958-08-26
201,Euryanthe,Carl Maria von Weber,Helmina von Chezy,"King's Theatre, Edinburgh",1958-09-03
202,Euryanthe,Carl Maria von Weber,Helmina von Chezy,"King's Theatre, Edinburgh",1958-09-08
203,Tristan and Isolde,Richard Wagner,Richard Wagner,"King's Theatre, Edinburgh",1958-08-28
204,Tristan and Isolde,Richard Wagner,Richard Wagner,"King's Theatre, Edinburgh",1958-08-30
205,Tristan and Isolde,Richard Wagner,Richard Wagner,"King's Theatre, Edinburgh",1958-09-02
206,Tristan and Isolde,Richard Wagner,Richard Wagner,"King's Theatre, Edinburgh",1958-09-05
207,Wildschütz,Albert Lortzing,Albert Lortzing,"King's Theatre, Edinburgh",1958-09-01
208,Wildschütz,Albert Lortzing,Albert Lortzing,"King's Theatre, Edinburgh",1958-09-06
209,Vida breve,Manuel de Falla,Carlos Fernández Shaw,"King's Theatre, Edinburgh",1958-09-09
210,Vida breve,Manuel de Falla,Carlos Fernández Shaw,"King's Theatre, Edinburgh",1958-09-11
211,Vida breve,Manuel de Falla,Carlos Fernández Shaw,"King's Theatre, Edinburgh",1958-09-13
212,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Glasgow",1958-09-22
213,Bartered Bride,Bedřich Smetana,Karel Sabina,"King's Theatre, Glasgow",1958-09-23
214,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","King's Theatre, Glasgow",1958-09-24
215,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"King's Theatre, Glasgow",1958-09-24
216,Carmen,Georges Bizet,"Henri Meilhac
				Ludovic Halévy","King's Theatre, Glasgow",1958-09-25
217,Carmen,Georges Bizet,"Henri Meilhac
				Ludovic Halévy","His Majesty's Theatre, Aberdeen",1958-09-30
218,Carmen,Georges Bizet,"Henri Meilhac
				Ludovic Halévy","His Majesty's Theatre, Aberdeen",1958-10-04
219,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Glasgow",1958-09-26
220,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"His Majesty's Theatre, Aberdeen",1958-10-03
221,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Glasgow",1958-09-27
222,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"His Majesty's Theatre, Aberdeen",1958-10-01
223,Bartered Bride,Bedřich Smetana,Karel Sabina,"King's Theatre, Glasgow",1958-09-27
224,Bartered Bride,Bedřich Smetana,Karel Sabina,"His Majesty's Theatre, Aberdeen",1958-09-29
225,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","His Majesty's Theatre, Aberdeen",1958-10-02
226,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","His Majesty's Theatre, Aberdeen",1958-10-04
227,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"His Majesty's Theatre, Aberdeen",1958-10-04
228,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Edinburgh",1959-04-20
229,Carmen,Georges Bizet,"Henri Meilhac
				Ludovic Halévy","King's Theatre, Edinburgh",1959-04-21
230,Fidelio,Ludwig van Beethoven,"Josef Sonnleithner
				Friedrich Treitschke","King's Theatre, Edinburgh",1959-04-22
231,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Edinburgh",1959-04-23
232,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1959-04-24
233,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Edinburgh",1959-04-25
234,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein",Gaumont Theatre,1959-04-27
235,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein",Gaumont Theatre,1959-05-02
236,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Glasgow",1959-05-04
237,Merry Widow,Franz Lehár,"Victor Léon
				Leo Stein","King's Theatre, Glasgow",1959-05-09
238,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Edinburgh",1959-04-25
239,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,Gaumont Theatre,1959-05-02
240,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Glasgow",1959-05-09
241,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Gaumont Theatre,1959-04-28
242,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Glasgow",1959-05-05
243,Carmen,Georges Bizet,"Henri Meilhac
				Ludovic Halévy",Gaumont Theatre,1959-04-29
244,Carmen,Georges Bizet,"Henri Meilhac
				Ludovic Halévy","King's Theatre, Glasgow",1959-05-08
245,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Gaumont Theatre,1959-04-30
246,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,"King's Theatre, Glasgow",1959-05-06
247,Fidelio,Ludwig van Beethoven,"Josef Sonnleithner
				Friedrich Treitschke",Gaumont Theatre,1959-05-01
248,Fidelio,Ludwig van Beethoven,"Josef Sonnleithner
				Friedrich Treitschke","King's Theatre, Glasgow",1959-05-07
249,Ballo in maschera,Giuseppe Verdi,Antonio Somma,"King's Theatre, Edinburgh",1959-08-24
250,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Edinburgh",1959-08-25
251,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Edinburgh",1959-08-27
252,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Edinburgh",1959-09-01
253,Rigoletto,Giuseppe Verdi,Francesco Maria  Piave,"King's Theatre, Edinburgh",1959-09-09
