,composer,date,work
1099,GIUSEPPE VERDI,1957-05-04,LA FORZA DEL DESTINO
1100,GIUSEPPE VERDI,1957-05-07,LA FORZA DEL DESTINO
1101,GIUSEPPE VERDI,1957-06-04,LA FORZA DEL DESTINO
1102,GIUSEPPE VERDI,1957-07-05,LA FORZA DEL DESTINO
1103,GIUSEPPE VERDI,1957-07-07,LA FORZA DEL DESTINO
1104,GAETANO DONIZETTI,1957-04-27,RITA
1105,GUSTAVE CHARPENTIER,1957-05-16,LUISA
1106,GUSTAVE CHARPENTIER,1957-05-19,LUISA
1107,GUSTAVE CHARPENTIER,1957-05-22,LUISA
1108,GUSTAVE CHARPENTIER,1957-05-24,LUISA
1109,GUSTAVE CHARPENTIER,1957-05-25,LUISA
1110,PIETRO MASCAGNI,1957-05-23,IRIS
1111,PIETRO MASCAGNI,1957-05-26,IRIS
1112,PIETRO MASCAGNI,1957-05-29,IRIS
1113,PIETRO MASCAGNI,1957-06-02,IRIS
1114,VINCENZO BELLINI,1957-07-04,LA SONNAMBULA
1115,VINCENZO BELLINI,1957-07-06,LA SONNAMBULA
1116,VINCENZO BELLINI,1957-08-19,LA SONNAMBULA
1117,VINCENZO BELLINI,1957-08-21,LA SONNAMBULA
1118,VINCENZO BELLINI,1957-08-26,LA SONNAMBULA
1119,VINCENZO BELLINI,1957-08-29,LA SONNAMBULA
1120,VINCENZO BELLINI,1957-09-03,LA SONNAMBULA
1121,GAETANO DONIZETTI,1957-08-23,L'ELISIR D'AMORE
1122,GAETANO DONIZETTI,1957-08-27,L'ELISIR D'AMORE
1123,GAETANO DONIZETTI,1957-08-31,L'ELISIR D'AMORE
1124,GAETANO DONIZETTI,1957-09-05,L'ELISIR D'AMORE
1125,GAETANO DONIZETTI,1957-09-07,L'ELISIR D'AMORE
1126,GIOACHINO ROSSINI,1957-08-30,IL TURCO IN ITALIA
1127,GIOACHINO ROSSINI,1957-09-02,IL TURCO IN ITALIA
1128,GIOACHINO ROSSINI,1957-09-04,IL TURCO IN ITALIA
1129,GIOACHINO ROSSINI,1957-09-06,IL TURCO IN ITALIA
1130,GIUSEPPE VERDI,1957-12-07,UN BALLO IN MASCHERA
1131,GIUSEPPE VERDI,1957-12-10,UN BALLO IN MASCHERA
1132,GIUSEPPE VERDI,1957-12-16,UN BALLO IN MASCHERA
1133,GIUSEPPE VERDI,1957-12-19,UN BALLO IN MASCHERA
1134,GIUSEPPE VERDI,1957-12-22,UN BALLO IN MASCHERA
1135,GIUSEPPE VERDI,1958-01-12,UN BALLO IN MASCHERA
1136,RICHARD WAGNER,1957-12-11,LOHENGRIN
1137,RICHARD WAGNER,1957-12-14,LOHENGRIN
1138,RICHARD WAGNER,1957-12-18,LOHENGRIN
1139,RICHARD WAGNER,1957-12-23,LOHENGRIN
1140,RICHARD WAGNER,1957-12-29,LOHENGRIN
1141,RICHARD WAGNER,1958-01-01,LOHENGRIN
1142,PAUL HINDEMITH,1957-12-26,MATHIS IL PITTORE
1143,PAUL HINDEMITH,1957-12-28,MATHIS IL PITTORE
1144,PAUL HINDEMITH,1958-01-05,MATHIS IL PITTORE
1145,PAUL HINDEMITH,1958-01-08,MATHIS IL PITTORE
1146,FRANCESCO CILEA,1958-01-04,ADRIANA LECOUVREUR
1147,FRANCESCO CILEA,1958-01-07,ADRIANA LECOUVREUR
1148,FRANCESCO CILEA,1958-01-09,ADRIANA LECOUVREUR
1149,FRANCESCO CILEA,1958-01-15,ADRIANA LECOUVREUR
1150,FRANCESCO CILEA,1958-01-19,ADRIANA LECOUVREUR
1151,FRANCESCO CILEA,1958-01-23,ADRIANA LECOUVREUR
1152,FRANCESCO CILEA,1958-01-26,ADRIANA LECOUVREUR
1153,FRANCESCO CILEA,1958-07-09,ADRIANA LECOUVREUR
1154,FRANCESCO CILEA,1958-07-12,ADRIANA LECOUVREUR
1155,FRANCESCO CILEA,1958-07-14,ADRIANA LECOUVREUR
1156,GIOACHINO ROSSINI,1958-01-17,IL CONTE ORY
1157,GIOACHINO ROSSINI,1958-01-19,IL CONTE ORY
1158,GIOACHINO ROSSINI,1958-01-21,IL CONTE ORY
1159,GIOACHINO ROSSINI,1958-01-24,IL CONTE ORY
1160,GIOACHINO ROSSINI,1958-01-26,IL CONTE ORY
1161,AMBROISE THOMAS,1958-01-22,MIGNON
1162,AMBROISE THOMAS,1958-01-25,MIGNON
1163,AMBROISE THOMAS,1958-01-28,MIGNON
1164,AMBROISE THOMAS,1958-02-04,MIGNON
1165,AMBROISE THOMAS,1958-02-09,MIGNON
1166,AMBROISE THOMAS,1958-02-15,MIGNON
1167,NICCOLO' VITO PICCINNI,1958-02-03,LA CECCHINA OSSIA LA BUONA FIGLIOLA
1168,NICCOLO' VITO PICCINNI,1958-02-05,LA CECCHINA OSSIA LA BUONA FIGLIOLA
1169,NICCOLO' VITO PICCINNI,1958-02-07,LA CECCHINA OSSIA LA BUONA FIGLIOLA
1170,NICCOLO' VITO PICCINNI,1958-02-09,LA CECCHINA OSSIA LA BUONA FIGLIOLA
1171,NICCOLO' VITO PICCINNI,1958-02-12,LA CECCHINA OSSIA LA BUONA FIGLIOLA
1172,GIACOMO PUCCINI,1958-02-08,MADAMA BUTTERFLY
1173,GIACOMO PUCCINI,1958-02-10,MADAMA BUTTERFLY
1174,GIACOMO PUCCINI,1958-02-13,MADAMA BUTTERFLY
1175,GIACOMO PUCCINI,1958-02-16,MADAMA BUTTERFLY
1176,GIACOMO PUCCINI,1958-02-20,MADAMA BUTTERFLY
1177,GIACOMO PUCCINI,1958-02-23,MADAMA BUTTERFLY
1178,GIACOMO PUCCINI,1958-02-27,MADAMA BUTTERFLY
1179,GIACOMO PUCCINI,1958-03-02,MADAMA BUTTERFLY
1180,GIACOMO PUCCINI,1958-03-05,MADAMA BUTTERFLY
1181,GIACOMO PUCCINI,1958-03-15,MADAMA BUTTERFLY
1182,GIACOMO PUCCINI,1958-03-19,MADAMA BUTTERFLY
1183,GIACOMO PUCCINI,1958-04-08,MADAMA BUTTERFLY
1184,GIACOMO PUCCINI,1958-04-22,MADAMA BUTTERFLY
1185,GIACOMO PUCCINI,1958-04-27,MADAMA BUTTERFLY
1186,GIACOMO PUCCINI,1958-05-03,MADAMA BUTTERFLY
1187,GIACOMO PUCCINI,1958-05-08,MADAMA BUTTERFLY
1188,GIACOMO PUCCINI,1958-05-11,MADAMA BUTTERFLY
1189,GIACOMO PUCCINI,1958-05-15,MADAMA BUTTERFLY
1190,GIACOMO PUCCINI,1958-05-20,MADAMA BUTTERFLY
1191,GIACOMO PUCCINI,1958-07-08,MADAMA BUTTERFLY
1192,GIACOMO PUCCINI,1958-07-10,MADAMA BUTTERFLY
1193,CHRISTOPH WILLIBALD GLUCK,1958-02-18,ORFEO ED EURIDICE
1194,CHRISTOPH WILLIBALD GLUCK,1958-02-25,ORFEO ED EURIDICE
1195,CHRISTOPH WILLIBALD GLUCK,1958-03-06,ORFEO ED EURIDICE
1196,CHRISTOPH WILLIBALD GLUCK,1958-03-09,ORFEO ED EURIDICE
1197,CHRISTOPH WILLIBALD GLUCK,1958-03-11,ORFEO ED EURIDICE
1198,ILDEBRANDO PIZZETTI,1958-03-01,ASSASSINIO NELLA CATTEDRALE
1199,ILDEBRANDO PIZZETTI,1958-03-04,ASSASSINIO NELLA CATTEDRALE
1200,ILDEBRANDO PIZZETTI,1958-03-08,ASSASSINIO NELLA CATTEDRALE
1201,ILDEBRANDO PIZZETTI,1958-03-13,ASSASSINIO NELLA CATTEDRALE
1202,ILDEBRANDO PIZZETTI,1958-03-16,ASSASSINIO NELLA CATTEDRALE
1203,ILDEBRANDO PIZZETTI,1958-04-12,ASSASSINIO NELLA CATTEDRALE
1204,,1958-03-03,ABU HASSAN 
1205,,1958-03-03, LA GUERRA IN FAMIGLIA
1206,,1958-03-07,ABU HASSAN 
1207,,1958-03-07, LA GUERRA IN FAMIGLIA
1208,,1958-03-09,ABU HASSAN 
1209,,1958-03-09, LA GUERRA IN FAMIGLIA
1210,,1958-03-10,ABU HASSAN 
1211,,1958-03-10, LA GUERRA IN FAMIGLIA
1212,,1958-03-12,ABU HASSAN 
1213,,1958-03-12, LA GUERRA IN FAMIGLIA
1214,,1958-03-03,ABU HASSAN 
1215,,1958-03-03, LA GUERRA IN FAMIGLIA
1216,,1958-03-07,ABU HASSAN 
1217,,1958-03-07, LA GUERRA IN FAMIGLIA
1218,,1958-03-09,ABU HASSAN 
1219,,1958-03-09, LA GUERRA IN FAMIGLIA
1220,,1958-03-10,ABU HASSAN 
1221,,1958-03-10, LA GUERRA IN FAMIGLIA
1222,,1958-03-12,ABU HASSAN 
1223,,1958-03-12, LA GUERRA IN FAMIGLIA
1224,ARRIGO BOITO,1958-03-22,MEFISTOFELE
1225,ARRIGO BOITO,1958-03-25,MEFISTOFELE
1226,ARRIGO BOITO,1958-03-27,MEFISTOFELE
1227,ARRIGO BOITO,1958-03-30,MEFISTOFELE
1228,ARRIGO BOITO,1958-04-03,MEFISTOFELE
1229,ARRIGO BOITO,1958-04-20,MEFISTOFELE
1230,ARRIGO BOITO,1958-05-04,MEFISTOFELE
1231,ARRIGO BOITO,1958-05-10,MEFISTOFELE
1232,ALEXANDR DARGOMISKI,1958-03-24,IL CONVITATO DI PIETRA
1233,ALEXANDR DARGOMISKI,1958-03-26,IL CONVITATO DI PIETRA
1234,ALEXANDR DARGOMISKI,1958-03-28,IL CONVITATO DI PIETRA
1235,ALEXANDR DARGOMISKI,1958-03-31,IL CONVITATO DI PIETRA
1236,ALEXANDR DARGOMISKI,1958-04-02,IL CONVITATO DI PIETRA
1237,GAETANO DONIZETTI,1958-04-09,ANNA BOLENA
1238,GAETANO DONIZETTI,1958-04-13,ANNA BOLENA
1239,GAETANO DONIZETTI,1958-04-16,ANNA BOLENA
1240,GAETANO DONIZETTI,1958-04-19,ANNA BOLENA
1241,GAETANO DONIZETTI,1958-04-23,ANNA BOLENA
1242,GIOACHINO ROSSINI,1958-04-11,IL TURCO IN ITALIA
1243,GIOACHINO ROSSINI,1958-04-15,IL TURCO IN ITALIA
1244,GIOACHINO ROSSINI,1958-04-18,IL TURCO IN ITALIA
1245,GIOACHINO ROSSINI,1958-04-25,IL TURCO IN ITALIA
1246,GIOACHINO ROSSINI,1958-05-05,IL TURCO IN ITALIA
1247,GAETANO DONIZETTI,1958-04-14,L'ELISIR D'AMORE
1248,GAETANO DONIZETTI,1958-04-17,L'ELISIR D'AMORE
1249,GAETANO DONIZETTI,1958-05-06,L'ELISIR D'AMORE
1250,GAETANO DONIZETTI,1958-05-18,L'ELISIR D'AMORE
1251,GAETANO DONIZETTI,1958-05-21,L'ELISIR D'AMORE
1252,GAETANO DONIZETTI,1958-06-29,L'ELISIR D'AMORE
1253,GAETANO DONIZETTI,1958-07-02,L'ELISIR D'AMORE
1254,GAETANO DONIZETTI,1958-07-06,L'ELISIR D'AMORE
1255,RICHARD WAGNER,1958-04-21,LA WALKIRIA
1256,RICHARD WAGNER,1958-04-24,LA WALKIRIA
1257,RICHARD WAGNER,1958-04-26,LA WALKIRIA
1258,RICHARD WAGNER,1958-04-29,LA WALKIRIA
1259,VINCENZO BELLINI,1958-05-19,IL PIRATA
1260,VINCENZO BELLINI,1958-05-22,IL PIRATA
1261,VINCENZO BELLINI,1958-05-25,IL PIRATA
1262,VINCENZO BELLINI,1958-05-28,IL PIRATA
1263,VINCENZO BELLINI,1958-05-31,IL PIRATA
1264,GIUSEPPE VERDI,1958-06-01,NABUCCO
1265,GIUSEPPE VERDI,1958-06-03,NABUCCO
1266,GIUSEPPE VERDI,1958-06-07,NABUCCO
1267,GIUSEPPE VERDI,1958-06-09,NABUCCO
1268,GIUSEPPE VERDI,1958-06-11,NABUCCO
1269,GIUSEPPE VERDI,1958-06-28,NABUCCO
1270,GIUSEPPE VERDI,1958-07-01,NABUCCO
1271,GIUSEPPE VERDI,1958-07-03,NABUCCO
1272,NINO ROTA,1958-06-02,IL CAPPELLO DI PAGLIA DI FIRENZE
1273,NINO ROTA,1958-06-04,IL CAPPELLO DI PAGLIA DI FIRENZE
1274,NINO ROTA,1958-06-05,IL CAPPELLO DI PAGLIA DI FIRENZE
1275,NINO ROTA,1958-06-13,IL CAPPELLO DI PAGLIA DI FIRENZE
1276,NINO ROTA,1958-06-14,IL CAPPELLO DI PAGLIA DI FIRENZE
1277,DOMENICO CIMAROSA,1958-06-19,IL MATRIMONIO SEGRETO
1278,DOMENICO CIMAROSA,1958-09-08,IL MATRIMONIO SEGRETO
1279,GIACOMO PUCCINI,1958-06-20,TOSCA
1280,GIACOMO PUCCINI,1958-12-07,TURANDOT
1281,GIACOMO PUCCINI,1958-12-10,TURANDOT
1282,GIACOMO PUCCINI,1958-12-13,TURANDOT
1283,GIACOMO PUCCINI,1958-12-17,TURANDOT
1284,GIACOMO PUCCINI,1958-12-23,TURANDOT
1285,GIACOMO PUCCINI,1958-12-26,TURANDOT
1286,GIACOMO PUCCINI,1958-12-31,TURANDOT
1287,GIACOMO PUCCINI,1959-01-04,TURANDOT
1288,GIACOMO PUCCINI,1959-01-06,TURANDOT
1289,GIACOMO PUCCINI,1959-01-11,TURANDOT
1290,GIANCARLO MENOTTI,1958-12-11,MARIA GOLOVIN
1291,GIANCARLO MENOTTI,1958-12-14,MARIA GOLOVIN
1292,GIANCARLO MENOTTI,1958-12-20,MARIA GOLOVIN
1293,GIANCARLO MENOTTI,1958-12-27,MARIA GOLOVIN
1294,GIOACHINO ROSSINI,1958-12-18,MOSE'
1295,GIOACHINO ROSSINI,1958-12-21,MOSE'
1296,GIOACHINO ROSSINI,1958-12-28,MOSE'
1297,GIOACHINO ROSSINI,1958-12-30,MOSE'
1298,GIOACHINO ROSSINI,1959-01-03,MOSE'
1299,GIOACHINO ROSSINI,1959-01-18,MOSE'
1300,GEORG FRIEDRICH HAENDEL,1958-12-29,ERACLE
1301,GEORG FRIEDRICH HAENDEL,1959-01-01,ERACLE
1302,GEORG FRIEDRICH HAENDEL,1959-01-05,ERACLE
1303,GEORG FRIEDRICH HAENDEL,1959-01-07,ERACLE
1304,GIACOMO PUCCINI,1959-01-10,LA BOHEME
1305,GIACOMO PUCCINI,1959-01-13,LA BOHEME
1306,GIACOMO PUCCINI,1959-01-17,LA BOHEME
1307,GIACOMO PUCCINI,1959-01-22,LA BOHEME
1308,GIACOMO PUCCINI,1959-01-25,LA BOHEME
1309,GIACOMO PUCCINI,1959-01-27,LA BOHEME
1310,GIACOMO PUCCINI,1959-02-14,LA BOHEME
1311,GIACOMO PUCCINI,1959-02-19,LA BOHEME
1312,GIACOMO PUCCINI,1959-02-22,LA BOHEME
1313,GIACOMO PUCCINI,1959-03-12,LA BOHEME
1314,GIACOMO PUCCINI,1959-03-15,LA BOHEME
1315,GIACOMO PUCCINI,1959-03-21,LA BOHEME
1316,GIACOMO PUCCINI,1959-03-26,LA BOHEME
1317,GIACOMO PUCCINI,1959-04-22,LA BOHEME
1318,GIACOMO PUCCINI,1959-04-25,LA BOHEME
1319,GIACOMO PUCCINI,1959-07-09,LA BOHEME
1320,GIACOMO PUCCINI,1959-07-11,LA BOHEME
1321,GIACOMO PUCCINI,1959-07-14,LA BOHEME
1322,GIACOMO PUCCINI,1959-07-16,LA BOHEME
1323,GAETANO DONIZETTI,1959-01-19,DON PASQUALE
1324,GAETANO DONIZETTI,1959-01-23,DON PASQUALE
1325,GAETANO DONIZETTI,1959-01-26,DON PASQUALE
1326,GAETANO DONIZETTI,1959-01-30,DON PASQUALE
1327,GAETANO DONIZETTI,1959-02-03,DON PASQUALE
1328,BEDRICH SMETANA,1959-02-02,LA SPOSA VENDUTA
1329,BEDRICH SMETANA,1959-02-04,LA SPOSA VENDUTA
1330,BEDRICH SMETANA,1959-02-07,LA SPOSA VENDUTA
1331,BEDRICH SMETANA,1959-02-11,LA SPOSA VENDUTA
1332,BEDRICH SMETANA,1959-02-15,LA SPOSA VENDUTA
1333,RICHARD WAGNER,1959-02-12,IL VASCELLO FANTASMA
1334,RICHARD WAGNER,1959-02-16,IL VASCELLO FANTASMA
1335,RICHARD WAGNER,1959-02-21,IL VASCELLO FANTASMA
1336,RICHARD WAGNER,1959-02-24,IL VASCELLO FANTASMA
1337,RICHARD WAGNER,1959-03-01,IL VASCELLO FANTASMA
1338,,1959-02-18,CORDOVANO 
1339,,1959-02-18, VOCE 
1340,,1959-02-18, RETABLO
1341,,1959-02-20,CORDOVANO 
1342,,1959-02-20, VOCE 
1343,,1959-02-20, RETABLO
1344,,1959-02-22,CORDOVANO 
1345,,1959-02-22, VOCE 
1346,,1959-02-22, RETABLO
1347,,1959-02-27,CORDOVANO 
1348,,1959-02-27, VOCE 
1349,,1959-02-27, RETABLO
1350,,1959-03-01,CORDOVANO 
1351,,1959-03-01, VOCE 
1352,,1959-03-01, RETABLO
1353,,1959-02-18,CORDOVANO 
1354,,1959-02-18, VOCE 
1355,,1959-02-18, RETABLO
1356,,1959-02-20,CORDOVANO 
1357,,1959-02-20, VOCE 
1358,,1959-02-20, RETABLO
1359,,1959-02-22,CORDOVANO 
1360,,1959-02-22, VOCE 
1361,,1959-02-22, RETABLO
1362,,1959-02-27,CORDOVANO 
1363,,1959-02-27, VOCE 
1364,,1959-02-27, RETABLO
1365,,1959-03-01,CORDOVANO 
1366,,1959-03-01, VOCE 
1367,,1959-03-01, RETABLO
1368,,1959-02-18,CORDOVANO 
1369,,1959-02-18, VOCE 
1370,,1959-02-18, RETABLO
1371,,1959-02-20,CORDOVANO 
1372,,1959-02-20, VOCE 
1373,,1959-02-20, RETABLO
1374,,1959-02-22,CORDOVANO 
1375,,1959-02-22, VOCE 
1376,,1959-02-22, RETABLO
1377,,1959-02-27,CORDOVANO 
1378,,1959-02-27, VOCE 
1379,,1959-02-27, RETABLO
1380,,1959-03-01,CORDOVANO 
1381,,1959-03-01, VOCE 
1382,,1959-03-01, RETABLO
1383,GIUSEPPE VERDI,1959-02-25,ERNANI
1384,GIUSEPPE VERDI,1959-02-28,ERNANI
1385,GIUSEPPE VERDI,1959-03-03,ERNANI
1386,GIUSEPPE VERDI,1959-03-05,ERNANI
1387,GIUSEPPE VERDI,1959-03-08,ERNANI
1388,GIUSEPPE VERDI,1959-03-11,ERNANI
1389,GIUSEPPE VERDI,1959-03-22,ERNANI
1390,GIUSEPPE VERDI,1959-04-12,ERNANI
1391,GIUSEPPE VERDI,1959-04-16,ERNANI
1392,GIUSEPPE VERDI,1959-04-19,ERNANI
1393,VIRGILIO MORTARI,1959-03-17,LA SCUOLA DELLE MOGLI
1394,VIRGILIO MORTARI,1959-03-22,LA SCUOLA DELLE MOGLI
1395,VIRGILIO MORTARI,1959-03-24,LA SCUOLA DELLE MOGLI
1396,VIRGILIO MORTARI,1959-03-31,LA SCUOLA DELLE MOGLI
1397,VIRGILIO MORTARI,1959-04-02,LA SCUOLA DELLE MOGLI
1398,MICHAIL GLINKA,1959-03-20,UNA VITA PER LO ZAR
1399,MICHAIL GLINKA,1959-03-23,UNA VITA PER LO ZAR
1400,MICHAIL GLINKA,1959-03-25,UNA VITA PER LO ZAR
1401,MICHAIL GLINKA,1959-04-04,UNA VITA PER LO ZAR
1402,MICHAIL GLINKA,1959-04-07,UNA VITA PER LO ZAR
1403,NINO ROTA,1959-04-06,IL CAPPELLO DI PAGLIA DI FIRENZE
1404,NINO ROTA,1959-04-08,IL CAPPELLO DI PAGLIA DI FIRENZE
1405,NINO ROTA,1959-04-10,IL CAPPELLO DI PAGLIA DI FIRENZE
1406,NINO ROTA,1959-04-13,IL CAPPELLO DI PAGLIA DI FIRENZE
1407,NINO ROTA,1959-04-24,IL CAPPELLO DI PAGLIA DI FIRENZE
1408,GEORGES BIZET,1959-04-09,CARMEN
1409,GEORGES BIZET,1959-04-15,CARMEN
1410,GEORGES BIZET,1959-04-18,CARMEN
1411,GEORGES BIZET,1959-04-20,CARMEN
1412,GEORGES BIZET,1959-04-23,CARMEN
1413,GEORGES BIZET,1959-04-26,CARMEN
1414,GEORGES BIZET,1959-05-03,CARMEN
1415,GEORGES BIZET,1959-05-10,CARMEN
1416,GEORGES BIZET,1959-05-13,CARMEN
1417,GEORGES BIZET,1959-07-21,CARMEN
1418,GEORGES BIZET,1959-07-23,CARMEN
1419,GEORGES BIZET,1959-07-25,CARMEN
1420,,1959-04-14,IL TABARRO
1421,,1959-04-14, SUOR ANGELICA
1422,,1959-04-14, GIANNI SCHICCHI
1423,,1959-04-17,IL TABARRO
1424,,1959-04-17, SUOR ANGELICA
1425,,1959-04-17, GIANNI SCHICCHI
1426,,1959-04-21,IL TABARRO
1427,,1959-04-21, SUOR ANGELICA
1428,,1959-04-21, GIANNI SCHICCHI
1429,,1959-04-27,IL TABARRO
1430,,1959-04-27, SUOR ANGELICA
1431,,1959-04-27, GIANNI SCHICCHI
1432,,1959-05-02,IL TABARRO
1433,,1959-05-02, SUOR ANGELICA
1434,,1959-05-02, GIANNI SCHICCHI
1435,,1959-04-14,IL TABARRO
1436,,1959-04-14, SUOR ANGELICA
1437,,1959-04-14, GIANNI SCHICCHI
1438,,1959-04-17,IL TABARRO
1439,,1959-04-17, SUOR ANGELICA
1440,,1959-04-17, GIANNI SCHICCHI
1441,,1959-04-21,IL TABARRO
1442,,1959-04-21, SUOR ANGELICA
1443,,1959-04-21, GIANNI SCHICCHI
1444,,1959-04-27,IL TABARRO
1445,,1959-04-27, SUOR ANGELICA
1446,,1959-04-27, GIANNI SCHICCHI
1447,,1959-05-02,IL TABARRO
1448,,1959-05-02, SUOR ANGELICA
1449,,1959-05-02, GIANNI SCHICCHI
1450,,1959-04-14,IL TABARRO
1451,,1959-04-14, SUOR ANGELICA
1452,,1959-04-14, GIANNI SCHICCHI
1453,,1959-04-17,IL TABARRO
1454,,1959-04-17, SUOR ANGELICA
1455,,1959-04-17, GIANNI SCHICCHI
1456,,1959-04-21,IL TABARRO
1457,,1959-04-21, SUOR ANGELICA
1458,,1959-04-21, GIANNI SCHICCHI
1459,,1959-04-27,IL TABARRO
1460,,1959-04-27, SUOR ANGELICA
1461,,1959-04-27, GIANNI SCHICCHI
1462,,1959-05-02,IL TABARRO
1463,,1959-05-02, SUOR ANGELICA
1464,,1959-05-02, GIANNI SCHICCHI
1465,RICHARD WAGNER,1959-04-28,TRISTANO E ISOTTA
1466,RICHARD WAGNER,1959-04-30,TRISTANO E ISOTTA
1467,RICHARD WAGNER,1959-05-04,TRISTANO E ISOTTA
1468,RICHARD WAGNER,1959-05-06,TRISTANO E ISOTTA
1469,ILDEBRANDO PIZZETTI,1959-05-05,ASSASSINIO NELLA CATTEDRALE
1470,ILDEBRANDO PIZZETTI,1959-05-08,ASSASSINIO NELLA CATTEDRALE
1471,ILDEBRANDO PIZZETTI,1959-05-16,ASSASSINIO NELLA CATTEDRALE
1472,ILDEBRANDO PIZZETTI,1959-05-20,ASSASSINIO NELLA CATTEDRALE
1473,WOLFGANG AMADEUS MOZART,1959-05-07,IL RATTO DAL SERRAGLIO
1474,WOLFGANG AMADEUS MOZART,1959-05-09,IL RATTO DAL SERRAGLIO
1475,WOLFGANG AMADEUS MOZART,1959-05-12,IL RATTO DAL SERRAGLIO
1476,WOLFGANG AMADEUS MOZART,1959-05-15,IL RATTO DAL SERRAGLIO
1477,WOLFGANG AMADEUS MOZART,1959-05-18,IL RATTO DAL SERRAGLIO
1478,GIUSEPPE VERDI,1959-05-11,IL TROVATORE
1479,GIUSEPPE VERDI,1959-05-14,IL TROVATORE
1480,GIUSEPPE VERDI,1959-05-17,IL TROVATORE
1481,GIUSEPPE VERDI,1959-05-19,IL TROVATORE
1482,GIUSEPPE VERDI,1959-05-23,IL TROVATORE
1483,GIUSEPPE VERDI,1959-05-26,IL TROVATORE
1484,GIUSEPPE VERDI,1959-05-31,IL TROVATORE
1485,GIUSEPPE VERDI,1959-06-02,IL TROVATORE
1486,RICCARDO ZANDONAI,1959-05-21,FRANCESCA DA RIMINI
1487,RICCARDO ZANDONAI,1959-05-24,FRANCESCA DA RIMINI
1488,RICCARDO ZANDONAI,1959-05-27,FRANCESCA DA RIMINI
1489,RICCARDO ZANDONAI,1959-05-30,FRANCESCA DA RIMINI
1490,RICCARDO ZANDONAI,1959-06-04,FRANCESCA DA RIMINI
1491,GIOACHINO ROSSINI,1959-05-29,LA PIETRA DEL PARAGONE
1492,GIOACHINO ROSSINI,1959-06-01,LA PIETRA DEL PARAGONE
1493,GIOACHINO ROSSINI,1959-06-03,LA PIETRA DEL PARAGONE
1494,GIOACHINO ROSSINI,1959-06-06,LA PIETRA DEL PARAGONE
1495,GIOACHINO ROSSINI,1959-06-07,LA PIETRA DEL PARAGONE
1496,ADRIANO LUALDI,1959-07-18,LA FIGLIA DEL RE
1497,ADRIANO LUALDI,1959-07-22,LA FIGLIA DEL RE
1498,GIUSEPPE VERDI,1959-12-07,OTELLO
1499,GIUSEPPE VERDI,1959-12-10,OTELLO
1500,GIUSEPPE VERDI,1959-12-14,OTELLO
1501,GIUSEPPE VERDI,1959-12-17,OTELLO
1502,GIUSEPPE VERDI,1959-12-26,OTELLO
1503,GIUSEPPE VERDI,1960-01-03,OTELLO
1504,GIUSEPPE VERDI,1960-01-16,OTELLO
1505,GIACOMO PUCCINI,1959-12-09,TOSCA
1506,GIACOMO PUCCINI,1959-12-12,TOSCA
1507,GIACOMO PUCCINI,1959-12-16,TOSCA
1508,GIACOMO PUCCINI,1959-12-19,TOSCA
1509,GIACOMO PUCCINI,1959-12-27,TOSCA
1510,GIACOMO PUCCINI,1959-12-30,TOSCA
1511,GIACOMO PUCCINI,1960-01-10,TOSCA
1512,ILDEBRANDO PIZZETTI,1959-12-23,FEDRA
1513,ILDEBRANDO PIZZETTI,1959-12-28,FEDRA
1514,ILDEBRANDO PIZZETTI,1960-01-02,FEDRA
1515,ILDEBRANDO PIZZETTI,1960-01-04,FEDRA
1516,ILDEBRANDO PIZZETTI,1960-01-09,FEDRA
1517,UMBERTO GIORDANO,1960-01-08,ANDREA CHENIER
1518,UMBERTO GIORDANO,1960-01-11,ANDREA CHENIER
1519,UMBERTO GIORDANO,1960-01-15,ANDREA CHENIER
1520,UMBERTO GIORDANO,1960-01-17,ANDREA CHENIER
1521,UMBERTO GIORDANO,1960-01-20,ANDREA CHENIER
1522,UMBERTO GIORDANO,1960-01-24,ANDREA CHENIER
1523,UMBERTO GIORDANO,1960-01-28,ANDREA CHENIER
1524,UMBERTO GIORDANO,1960-01-31,ANDREA CHENIER
1525,ENGELBERT HUMPERDINCK,1960-01-18,HAENSEL E GRETEL
1526,DOMENICO CIMAROSA,1960-01-18,LE ASTUZIE FEMMINILI
1527,DOMENICO CIMAROSA,1960-01-19,LE ASTUZIE FEMMINILI
1528,DOMENICO CIMAROSA,1960-01-21,LE ASTUZIE FEMMINILI
1529,DOMENICO CIMAROSA,1960-01-24,LE ASTUZIE FEMMINILI
1530,DOMENICO CIMAROSA,1960-01-26,LE ASTUZIE FEMMINILI
1531,DOMENICO CIMAROSA,1960-01-29,LE ASTUZIE FEMMINILI
1532,ERNEST BLOCH,1960-01-27,MACBETH
1533,ERNEST BLOCH,1960-01-30,MACBETH
1534,ERNEST BLOCH,1960-02-03,MACBETH
1535,ERNEST BLOCH,1960-02-06,MACBETH
1536,GEORGES BIZET,1960-02-01,CARMEN
1537,GEORGES BIZET,1960-02-04,CARMEN
1538,GEORGES BIZET,1960-02-07,CARMEN
1539,GEORGES BIZET,1960-02-10,CARMEN
1540,GEORGES BIZET,1960-02-13,CARMEN
1541,GEORGES BIZET,1960-02-21,CARMEN
1542,GEORGES BIZET,1960-02-27,CARMEN
1543,GEORGES BIZET,1960-03-02,CARMEN
1544,GEORGES BIZET,1960-03-05,CARMEN
1545,GEORGES BIZET,1960-03-11,CARMEN
