,date,work,composer
0,1881-06-11,Libuše,Bedřich Smetana
1,1881-06-13,Libuše,Bedřich Smetana
2,1881-06-15,Libuše,Bedřich Smetana
3,1881-06-17,Libuše,Bedřich Smetana
4,1881-06-19,Hugenoti,Giacomo Meyerbeer
5,1881-06-21,Hugenoti,Giacomo Meyerbeer
6,1881-06-23,Libuše,Bedřich Smetana
7,1883-11-18,Libuše,Bedřich Smetana
8,1883-11-20,Dimitrij,Antonín Dvořák
9,1883-11-23,The Bartered Bride,Bedřich Smetana
10,1883-11-25,Dimitrij,Antonín Dvořák
11,1883-11-26,Šelma sedlák,Antonín Dvořák
12,1883-11-28,The Bartered Bride,Bedřich Smetana
13,1883-11-30,The Kiss,Bedřich Smetana
14,1883-12-01,Dimitrij,Antonín Dvořák
15,1883-12-02,V studni,Vilém Blodek
16,1883-12-03,Libuše,Bedřich Smetana
17,1883-12-05,Šelma sedlák,Antonín Dvořák
18,1883-12-07,Starý ženich,Karel Bendl
19,1883-12-08,Dimitrij,Antonín Dvořák
20,1883-12-09,Šelma sedlák,Antonín Dvořák
21,1883-12-11,Karel Škréta,Karel Bendl
22,1883-12-12,The Bartered Bride,Bedřich Smetana
23,1883-12-14,Karel Škréta,Karel Bendl
24,1883-12-15,The Bartered Bride,Bedřich Smetana
25,1883-12-16,Karel Škréta,Karel Bendl
26,1883-12-18,Dimitrij,Antonín Dvořák
27,1883-12-20,Dimitrij,Antonín Dvořák
28,1883-12-23,Karel Škréta,Karel Bendl
29,1883-12-25,Libuše,Bedřich Smetana
30,1883-12-26,V studni,Vilém Blodek
31,1883-12-27,Dimitrij,Antonín Dvořák
32,1883-12-29,The Bartered Bride,Bedřich Smetana
33,1883-12-31,Starý ženich,Karel Bendl
34,1884-01-01,Šelma sedlák,Antonín Dvořák
35,1884-01-03,Carmen,Georges Bizet
36,1884-01-05,Karel Škréta,Karel Bendl
37,1884-01-06,Židovka,Jacques Fromental Elie Halévy
38,1884-01-08,Carmen,Georges Bizet
39,1884-01-09,Židovka,Jacques Fromental Elie Halévy
40,1884-01-11,Faust a Markéta,Charles Gounod
41,1884-01-13,Carmen,Georges Bizet
42,1884-01-14,Faust a Markéta,Charles Gounod
43,1884-01-17,Faust a Markéta,Charles Gounod
44,1884-01-21,Carmen,Georges Bizet
45,1884-01-22,Troubadour,Giuseppe Verdi
46,1884-01-24,Troubadour,Giuseppe Verdi
47,1884-01-26,Lucrezia Borgia,Gaetano Donizetti
48,1884-01-27,Dimitrij,Antonín Dvořák
49,1884-01-29,Lucrezia Borgia,Gaetano Donizetti
50,1884-01-30,Faust a Markéta,Charles Gounod
51,1884-02-01,Židovka,Jacques Fromental Elie Halévy
52,1884-02-03,The Bartered Bride,Bedřich Smetana
53,1884-02-03,Troubadour,Giuseppe Verdi
54,1884-02-05,Židovka,Jacques Fromental Elie Halévy
55,1884-02-07,Faust a Markéta,Charles Gounod
56,1884-02-10,The Bartered Bride,Bedřich Smetana
57,1884-02-13,Šelma sedlák,Antonín Dvořák
58,1884-02-15,Aida,Giuseppe Verdi
59,1884-02-16,Aida,Giuseppe Verdi
60,1884-02-18,Aida,Giuseppe Verdi
61,1884-02-20,Aida,Giuseppe Verdi
62,1884-02-22,Aida,Giuseppe Verdi
63,1884-02-23,Karel Škréta,Karel Bendl
64,1884-02-25,Aida,Giuseppe Verdi
65,1884-02-27,Hugenoti,Giacomo Meyerbeer
66,1884-02-29,Hugenoti,Giacomo Meyerbeer
67,1884-03-01,The Bartered Bride,Bedřich Smetana
68,1884-03-02,The Kiss,Bedřich Smetana
69,1884-03-05,The Two Widows,Bedřich Smetana
70,1884-03-07,The Bartered Bride,Bedřich Smetana
71,1884-03-08,Libuše,Bedřich Smetana
72,1884-03-10,Hugenoti,Giacomo Meyerbeer
73,1884-03-13,Carmen,Georges Bizet
74,1884-03-15,Carmen,Georges Bizet
75,1884-03-18,Karel Škréta,Karel Bendl
76,1884-03-19,Carmen,Georges Bizet
77,1884-03-22,The Bartered Bride,Bedřich Smetana
78,1884-03-23,The Bartered Bride,Bedřich Smetana
79,1884-03-25,Dimitrij,Antonín Dvořák
80,1884-03-28,Nevěsta messinská,Zdeněk Fibich
81,1884-03-30,Dimitrij,Antonín Dvořák
82,1884-04-01,Nevěsta messinská,Zdeněk Fibich
83,1884-04-03,Nevěsta messinská,Zdeněk Fibich
84,1884-04-05,Dimitrij,Antonín Dvořák
85,1884-04-08,Nevěsta messinská,Zdeněk Fibich
86,1884-04-13,Starý ženich,Karel Bendl
87,1884-04-15,Šelma sedlák,Antonín Dvořák
88,1884-04-16,Faust a Markéta,Charles Gounod
89,1884-04-18,Tvrdé palice,Antonín Dvořák
90,1884-04-19,Karel Škréta,Karel Bendl
91,1884-04-20,The Bartered Bride,Bedřich Smetana
92,1884-04-21,Carmen,Georges Bizet
93,1884-04-22,Tvrdé palice,Antonín Dvořák
94,1884-04-24,Faust a Markéta,Charles Gounod
95,1884-04-27,Carmen,Georges Bizet
96,1884-04-28,Dimitrij,Antonín Dvořák
97,1884-04-30,Husitská nevěsta,Karel Šebor
98,1884-05-02,Nevěsta messinská,Zdeněk Fibich
99,1884-05-03,Husitská nevěsta,Karel Šebor
100,1884-05-10,Husitská nevěsta,Karel Šebor
101,1884-05-11,Hugenoti,Giacomo Meyerbeer
102,1884-05-13,Ženichové,Karel Kovařovic
103,1884-05-14,Ženichové,Karel Kovařovic
104,1884-05-15,The Bartered Bride,Bedřich Smetana
105,1884-05-16,Ženichové,Karel Kovařovic
106,1884-05-18,Ženichové,Karel Kovařovic
107,1884-05-19,Husitská nevěsta,Karel Šebor
108,1884-05-22,Faust a Markéta,Charles Gounod
109,1884-05-25,Aida,Giuseppe Verdi
110,1884-05-27,Libuše,Bedřich Smetana
111,1884-05-29,Aida,Giuseppe Verdi
112,1884-06-01,Aida,Giuseppe Verdi
113,1884-06-03,Aida,Giuseppe Verdi
114,1884-06-05,Ženichové,Karel Kovařovic
115,1884-06-06,Afričanka,Giacomo Meyerbeer
116,1884-06-08,Afričanka,Giacomo Meyerbeer
117,1884-06-10,Šelma sedlák,Antonín Dvořák
118,1884-06-13,Afričanka,Giacomo Meyerbeer
119,1884-06-14,The Bartered Bride,Bedřich Smetana
120,1884-06-15,Ženichové,Karel Kovařovic
121,1884-06-16,Maškarní ples,Giuseppe Verdi
122,1884-06-18,Židovka,Jacques Fromental Elie Halévy
123,1884-06-19,Tvrdé palice,Antonín Dvořák
124,1884-06-24,Hugenoti,Giacomo Meyerbeer
125,1884-06-26,Husitská nevěsta,Karel Šebor
126,1884-06-28,Aida,Giuseppe Verdi
127,1884-06-29,Starý ženich,Karel Bendl
128,1884-07-02,Hugenoti,Giacomo Meyerbeer
129,1884-07-03,Ženichové,Karel Kovařovic
130,1884-07-05,Starý ženich,Karel Bendl
131,1884-07-08,Aida,Giuseppe Verdi
132,1884-07-10,Aida,Giuseppe Verdi
133,1884-07-12,Carmen,Georges Bizet
134,1884-07-14,Carmen,Georges Bizet
135,1884-07-15,V studni,Vilém Blodek
136,1884-07-17,V studni,Vilém Blodek
137,1884-07-17,Tvrdé palice,Antonín Dvořák
138,1884-07-19,The Bartered Bride,Bedřich Smetana
139,1884-07-21,Kryšpín a kmotra,Federico Ricci
140,1884-07-23,Kryšpín a kmotra,Federico Ricci
141,1884-07-24,V studni,Vilém Blodek
142,1884-07-25,Aida,Giuseppe Verdi
143,1884-07-27,Kryšpín a kmotra,Federico Ricci
144,1884-07-28,Kryšpín a kmotra,Federico Ricci
145,1884-07-31,Faust a Markéta,Charles Gounod
146,1884-08-02,Kryšpín a kmotra,Federico Ricci
147,1884-08-03,Carmen,Georges Bizet
148,1884-08-06,Libuše,Bedřich Smetana
149,1884-08-07,Faust a Markéta,Charles Gounod
150,1884-08-09,Carmen,Georges Bizet
151,1884-08-10,Kryšpín a kmotra,Federico Ricci
152,1884-08-11,Carmen,Georges Bizet
153,1884-08-14,La Traviata,Giuseppe Verdi
154,1884-08-15,The Bartered Bride,Bedřich Smetana
155,1884-08-16,La Traviata,Giuseppe Verdi
156,1884-08-17,Aida,Giuseppe Verdi
157,1884-05-26,The Bartered Bride,Bedřich Smetana
158,1884-06-21,Troubadour,Giuseppe Verdi
159,1884-06-22,Ženichové,Karel Kovařovic
160,1884-07-06,Troubadour,Giuseppe Verdi
161,1884-08-20,Ernani,Giuseppe Verdi
162,1884-08-22,Il barbiere di Siviglia,Gioacchino Rossini
163,1884-08-26,Il barbiere di Siviglia,Gioacchino Rossini
164,1884-08-28,Ernani,Giuseppe Verdi
165,1884-08-31,Faust a Markéta,Charles Gounod
166,1884-09-11,Dimitrij,Antonín Dvořák
167,1884-09-13,Ženichové,Karel Kovařovic
168,1884-09-14,Šelma sedlák,Antonín Dvořák
169,1884-09-16,Libuše,Bedřich Smetana
170,1884-09-18,Aida,Giuseppe Verdi
171,1884-09-23,Libuše,Bedřich Smetana
172,1884-09-25,Kryšpín a kmotra,Federico Ricci
173,1884-09-27,Don Giovanni,Wolfgang Amadeus Mozart
174,1884-09-28,The Bartered Bride,Bedřich Smetana
175,1884-09-30,Don Giovanni,Wolfgang Amadeus Mozart
176,1884-10-01,Dimitrij,Antonín Dvořák
177,1884-10-03,Don Giovanni,Wolfgang Amadeus Mozart
178,1884-10-05,Norma,Vincenzo Bellini
179,1884-10-06,Hugenoti,Giacomo Meyerbeer
180,1884-10-08,Norma,Vincenzo Bellini
181,1884-10-11,Don Giovanni,Wolfgang Amadeus Mozart
182,1884-10-12,Marta,Friedrich von Flotow
183,1884-10-13,Libuše,Bedřich Smetana
184,1884-10-15,Die Entführung aus dem Serail,Wolfgang Amadeus Mozart
185,1884-10-17,Die Entführung aus dem Serail,Wolfgang Amadeus Mozart
186,1884-10-19,Aida,Giuseppe Verdi
187,1884-10-20,The Kiss,Bedřich Smetana
188,1884-10-22,The Kiss,Bedřich Smetana
189,1884-10-23,Hugenoti,Giacomo Meyerbeer
190,1884-10-25,Troubadour,Giuseppe Verdi
191,1884-10-26,Šelma sedlák,Antonín Dvořák
192,1884-10-28,Don Giovanni,Wolfgang Amadeus Mozart
193,1884-10-31,Starý ženich,Karel Bendl
194,1884-11-01,Lucie,Gaetano Donizetti
195,1884-11-02,Don Giovanni,Wolfgang Amadeus Mozart
196,1884-11-04,Maškarní ples,Giuseppe Verdi
197,1884-11-06,Orfeus a Euridika,Christoph Willibald Gluck
198,1884-11-08,Afričanka,Giacomo Meyerbeer
199,1884-11-09,Libuše,Bedřich Smetana
200,1884-11-11,Afričanka,Giacomo Meyerbeer
201,1884-11-13,Orfeus a Euridika,Christoph Willibald Gluck
202,1884-11-15,Mignon,Ambroise Thomas
203,1884-11-16,Faust a Markéta,Charles Gounod
204,1884-11-18,The Bartered Bride,Bedřich Smetana
205,1884-11-20,Mignon,Ambroise Thomas
206,1884-11-22,Carmen,Georges Bizet
207,1884-11-23,Orfeus a Euridika,Christoph Willibald Gluck
208,1884-11-24,Carmen,Georges Bizet
209,1884-11-26,Libuše,Bedřich Smetana
210,1884-11-27,Carmen,Georges Bizet
211,1884-11-29,Kryšpín a kmotra,Federico Ricci
212,1884-11-30,Lakmé,Léo Delibes
213,1884-12-02,Lakmé,Léo Delibes
214,1884-12-04,Carmen,Georges Bizet
215,1884-12-06,Židovka,Jacques Fromental Elie Halévy
216,1884-12-07,Mignon,Ambroise Thomas
217,1884-12-08,Don Giovanni,Wolfgang Amadeus Mozart
218,1884-12-10,Lakmé,Léo Delibes
219,1884-12-12,Mignon,Ambroise Thomas
220,1884-12-13,Dimitrij,Antonín Dvořák
221,1884-12-14,Carmen,Georges Bizet
222,1884-12-16,Aida,Giuseppe Verdi
223,1884-12-18,Il barbiere di Siviglia,Gioacchino Rossini
224,1884-12-20,Hugenoti,Giacomo Meyerbeer
225,1884-12-21,V studni,Vilém Blodek
226,1884-12-26,Libuše,Bedřich Smetana
227,1884-12-29,Aida,Giuseppe Verdi
228,1885-01-01,The Bartered Bride,Bedřich Smetana
229,1885-01-02,Don Giovanni,Wolfgang Amadeus Mozart
230,1885-01-04,Don Giovanni,Wolfgang Amadeus Mozart
231,1885-01-05,The Bartered Bride,Bedřich Smetana
232,1885-01-07,Kryšpín a kmotra,Federico Ricci
233,1885-01-10,Mignon,Ambroise Thomas
234,1885-01-12,Lohengrin,Richard Wagner
235,1885-01-14,Zahradníkův pes,Albert Grisar
236,1885-01-15,Lohengrin,Richard Wagner
237,1885-01-17,Šelma sedlák,Antonín Dvořák
238,1885-01-18,Lohengrin,Richard Wagner
239,1885-01-20,Don Giovanni,Wolfgang Amadeus Mozart
240,1885-01-22,Zahradníkův pes,Albert Grisar
241,1885-01-22,V studni,Vilém Blodek
242,1885-01-24,Marta,Friedrich von Flotow
243,1885-01-25,Libuše,Bedřich Smetana
244,1885-01-27,Hugenoti,Giacomo Meyerbeer
245,1885-01-30,Faust a Markéta,Charles Gounod
246,1885-02-01,Faust a Markéta,Charles Gounod
247,1885-02-02,V studni,Vilém Blodek
248,1885-02-02,Zahradníkův pes,Albert Grisar
249,1885-02-03,Lohengrin,Richard Wagner
250,1885-02-06,Svatojanské proudy,Josef Richard Rozkošný
251,1885-02-08,Lohengrin,Richard Wagner
252,1885-02-09,Svatojanské proudy,Josef Richard Rozkošný
253,1885-02-11,Lohengrin,Richard Wagner
254,1885-02-13,Kryšpín a kmotra,Federico Ricci
255,1885-02-15,Dimitrij,Antonín Dvořák
256,1885-02-17,Libuše,Bedřich Smetana
257,1885-02-20,Dimitrij,Antonín Dvořák
258,1885-02-22,Lohengrin,Richard Wagner
259,1885-02-23,Faust a Markéta,Charles Gounod
260,1885-02-26,Lohengrin,Richard Wagner
261,1885-03-01,Lohengrin,Richard Wagner
262,1885-03-02,Svatojanské proudy,Josef Richard Rozkošný
263,1885-03-04,Svatojanské proudy,Josef Richard Rozkošný
264,1885-03-06,Aida,Giuseppe Verdi
265,1885-03-08,Němá z Portici,Daniel François Esprit Auber
266,1885-03-09,Lohengrin,Richard Wagner
267,1885-03-11,The Two Widows,Bedřich Smetana
268,1885-03-13,Dimitrij,Antonín Dvořák
269,1885-03-15,Svatojanské proudy,Josef Richard Rozkošný
270,1885-03-16,Lohengrin,Richard Wagner
271,1885-03-18,Marta,Friedrich von Flotow
272,1885-03-19,Lohengrin,Richard Wagner
273,1885-03-21,Šelma sedlák,Antonín Dvořák
274,1885-03-23,Il barbiere di Siviglia,Gioacchino Rossini
275,1885-03-26,The Two Widows,Bedřich Smetana
276,1885-04-01,Carmen,Georges Bizet
277,1885-04-05,Aida,Giuseppe Verdi
278,1885-04-06,Carmen,Georges Bizet
279,1885-04-08,Carmen,Georges Bizet
280,1885-04-09,Braniboři v Čechách,Bedřich Smetana
281,1885-04-11,Braniboři v Čechách,Bedřich Smetana
282,1885-04-13,Dimitrij,Antonín Dvořák
283,1885-04-15,The Bartered Bride,Bedřich Smetana
284,1885-04-16,Afričanka,Giacomo Meyerbeer
285,1885-04-18,Afričanka,Giacomo Meyerbeer
286,1885-04-19,Afričanka,Giacomo Meyerbeer
287,1885-04-21,Carmen,Georges Bizet
288,1885-04-23,Lohengrin,Richard Wagner
289,1885-04-25,Veselé ženy windsorské,Otto Nicolai
290,1885-04-26,Lohengrin,Richard Wagner
291,1885-04-28,Veselé ženy windsorské,Otto Nicolai
292,1885-04-29,Troubadour,Giuseppe Verdi
293,1885-05-01,Carmen,Georges Bizet
294,1885-05-02,Lucie,Gaetano Donizetti
295,1885-05-03,Svatojanské proudy,Josef Richard Rozkošný
296,1885-05-05,La Traviata,Giuseppe Verdi
297,1885-05-06,Veselé ženy windsorské,Otto Nicolai
298,1885-05-08,Lucie,Gaetano Donizetti
299,1885-05-10,Veselé ženy windsorské,Otto Nicolai
300,1885-05-11,Faust a Markéta,Charles Gounod
301,1885-05-12,The Secret,Bedřich Smetana
302,1885-05-14,Lucie,Gaetano Donizetti
303,1885-05-15,Libuše,Bedřich Smetana
304,1885-05-17,Carmen,Georges Bizet
305,1885-05-19,Lohengrin,Richard Wagner
306,1885-05-21,Lohengrin,Richard Wagner
307,1885-05-23,Aida,Giuseppe Verdi
308,1885-05-24,Dimitrij,Antonín Dvořák
309,1885-05-26,Faust a Markéta,Charles Gounod
310,1885-05-28,Aida,Giuseppe Verdi
311,1885-05-29,Veselé ženy windsorské,Otto Nicolai
312,1885-05-31,Cinderella,Josef Richard Rozkošný
313,1885-06-01,Cinderella,Josef Richard Rozkošný
314,1885-06-02,Cinderella,Josef Richard Rozkošný
315,1885-06-03,Cinderella,Josef Richard Rozkošný
316,1885-06-06,Cinderella,Josef Richard Rozkošný
317,1885-06-07,Cinderella,Josef Richard Rozkošný
318,1885-06-10,Hugenoti,Giacomo Meyerbeer
319,1885-06-11,Cinderella,Josef Richard Rozkošný
320,1885-06-13,Carmen,Georges Bizet
321,1885-06-15,Cinderella,Josef Richard Rozkošný
322,1885-06-16,The Bartered Bride,Bedřich Smetana
323,1885-06-18,Lohengrin,Richard Wagner
324,1885-06-20,Postillon z Lonjumeau,Adolphe Charles Adam
325,1885-06-21,Cinderella,Josef Richard Rozkošný
326,1885-06-22,Dimitrij,Antonín Dvořák
327,1885-06-24,Postillon z Lonjumeau,Adolphe Charles Adam
328,1885-06-26,Carmen,Georges Bizet
329,1885-06-28,Cinderella,Josef Richard Rozkošný
330,1885-06-30,Postillon z Lonjumeau,Adolphe Charles Adam
331,1885-07-01,Veselé ženy windsorské,Otto Nicolai
332,1885-07-03,Cinderella,Josef Richard Rozkošný
333,1885-07-05,Cinderella,Josef Richard Rozkošný
334,1885-07-07,Židovka,Jacques Fromental Elie Halévy
335,1885-07-09,Afričanka,Giacomo Meyerbeer
336,1885-07-12,Cinderella,Josef Richard Rozkošný
337,1885-07-13,Lohengrin,Richard Wagner
338,1885-07-15,Lohengrin,Richard Wagner
339,1885-07-16,Veselé ženy windsorské,Otto Nicolai
340,1884-09-02,Čarostřelec,Carl Maria von Weber
341,1884-09-05,Němá z Portici,Daniel François Esprit Auber
342,1884-09-07,Dimitrij,Antonín Dvořák
343,1884-09-08,Čarostřelec,Carl Maria von Weber
344,1884-09-10,Čarostřelec,Carl Maria von Weber
345,1884-09-20,Čarostřelec,Carl Maria von Weber
346,1884-09-21,Marta,Friedrich von Flotow
347,1884-10-09,V studni,Vilém Blodek
348,1884-10-30,Il barbiere di Siviglia,Gioacchino Rossini
349,1884-12-27,Il barbiere di Siviglia,Gioacchino Rossini
350,1885-07-06,The Bartered Bride,Bedřich Smetana
351,1885-07-17,Cinderella,Josef Richard Rozkošný
352,1885-07-19,Husitská nevěsta,Karel Šebor
353,1885-07-22,Husitská nevěsta,Karel Šebor
354,1885-07-26,Faust a Markéta,Charles Gounod
355,1885-07-28,The Bartered Bride,Bedřich Smetana
356,1885-07-30,Faust a Markéta,Charles Gounod
357,1885-08-05,Aida,Giuseppe Verdi
358,1885-08-12,Hugenoti,Giacomo Meyerbeer
359,1885-08-17,Don Giovanni,Wolfgang Amadeus Mozart
360,1885-08-18,Cinderella,Josef Richard Rozkošný
361,1885-08-29,Čarostřelec,Carl Maria von Weber
362,1885-08-31,Cinderella,Josef Richard Rozkošný
363,1885-09-01,Čarostřelec,Carl Maria von Weber
364,1885-09-03,Husitská nevěsta,Karel Šebor
365,1885-09-05,Čarostřelec,Carl Maria von Weber
366,1885-09-06,Cinderella,Josef Richard Rozkošný
367,1885-09-07,Šelma sedlák,Antonín Dvořák
368,1885-09-09,Čarostřelec,Carl Maria von Weber
369,1885-09-14,Čarostřelec,Carl Maria von Weber
370,1885-09-19,Manon Lescaut,Jules Massenet
371,1885-09-23,Manon Lescaut,Jules Massenet
372,1885-09-25,Manon Lescaut,Jules Massenet
373,1885-09-27,Cinderella,Josef Richard Rozkošný
374,1885-09-28,The Bartered Bride,Bedřich Smetana
375,1885-10-01,Mignon,Ambroise Thomas
376,1885-10-03,Mignon,Ambroise Thomas
377,1885-10-05,Carmen,Georges Bizet
378,1885-10-07,Nevěsta messinská,Zdeněk Fibich
379,1885-10-10,Nevěsta messinská,Zdeněk Fibich
380,1885-10-13,Čarostřelec,Carl Maria von Weber
381,1885-10-16,The Bartered Bride,Bedřich Smetana
382,1885-10-18,Démon,Anton Grigorjevič Rubinštejn
383,1885-10-20,Démon,Anton Grigorjevič Rubinštejn
384,1885-10-22,Cinderella,Josef Richard Rozkošný
385,1885-10-23,Démon,Anton Grigorjevič Rubinštejn
386,1885-10-25,Cinderella,Josef Richard Rozkošný
387,1885-10-26,Démon,Anton Grigorjevič Rubinštejn
388,1885-10-29,Maškarní ples,Giuseppe Verdi
389,1885-10-31,Lucie,Gaetano Donizetti
390,1885-11-02,Hugenoti,Giacomo Meyerbeer
391,1885-11-02,Lucie,Gaetano Donizetti
392,1885-11-04,Čarostřelec,Carl Maria von Weber
393,1885-11-07,Démon,Anton Grigorjevič Rubinštejn
394,1885-11-10,Manon Lescaut,Jules Massenet
395,1885-11-13,Maškarní ples,Giuseppe Verdi
396,1885-11-15,Manon Lescaut,Jules Massenet
397,1885-11-16,Démon,Anton Grigorjevič Rubinštejn
398,1885-11-18,Libuše,Bedřich Smetana
399,1885-11-19,Carmen,Georges Bizet
400,1885-11-22,The Bartered Bride,Bedřich Smetana
401,1885-11-24,Karel Škréta,Karel Bendl
402,1885-11-26,Veselé ženy windsorské,Otto Nicolai
403,1885-11-28,Dimitrij,Antonín Dvořák
404,1885-12-01,Karel Škréta,Karel Bendl
405,1885-12-04,Husitská nevěsta,Karel Šebor
406,1885-12-08,Cinderella,Josef Richard Rozkošný
407,1885-12-09,Mephistopheles,Arrigo Boito
408,1885-12-12,Čarostřelec,Carl Maria von Weber
409,1885-12-13,Mephistopheles,Arrigo Boito
410,1885-12-14,Čarostřelec,Carl Maria von Weber
411,1885-12-16,Démon,Anton Grigorjevič Rubinštejn
412,1885-12-19,La Traviata,Giuseppe Verdi
413,1885-12-21,Cinderella,Josef Richard Rozkošný
414,1885-12-22,Mephistopheles,Arrigo Boito
415,1885-12-25,Démon,Anton Grigorjevič Rubinštejn
416,1885-12-26,Čarostřelec,Carl Maria von Weber
417,1885-12-27,Mephistopheles,Arrigo Boito
418,1885-12-30,Alessandro Stradella,Friedrich von Flotow
419,1886-01-01,The Kiss,Bedřich Smetana
420,1886-01-03,The Kiss,Bedřich Smetana
421,1886-01-06,Roméo et Juliette,Charles Gounod
422,1886-01-08,Roméo et Juliette,Charles Gounod
423,1886-01-11,Mephistopheles,Arrigo Boito
424,1886-01-13,The Kiss,Bedřich Smetana
425,1886-01-15,Faust a Markéta,Charles Gounod
426,1886-01-17,Faust a Markéta,Charles Gounod
427,1886-01-18,Aida,Giuseppe Verdi
428,1886-01-20,Don Giovanni,Wolfgang Amadeus Mozart
429,1886-01-22,Mephistopheles,Arrigo Boito
430,1886-01-24,Šelma sedlák,Antonín Dvořák
431,1886-01-26,Carmen,Georges Bizet
432,1886-01-28,Zakletý princ,Vojtěch Hřímalý
433,1886-01-31,Lohengrin,Richard Wagner
434,1886-02-01,Zakletý princ,Vojtěch Hřímalý
435,1886-02-02,The Bartered Bride,Bedřich Smetana
436,1886-02-05,Lohengrin,Richard Wagner
437,1886-02-07,Zakletý princ,Vojtěch Hřímalý
438,1886-02-08,Aida,Giuseppe Verdi
439,1886-02-11,Cesta oknem,Karel Kovařovic
440,1886-02-12,Lohengrin,Richard Wagner
441,1886-02-13,Cesta oknem,Karel Kovařovic
442,1886-02-16,The Bartered Bride,Bedřich Smetana
443,1886-02-19,Cesta oknem,Karel Kovařovic
444,1886-02-20,Afričanka,Giacomo Meyerbeer
445,1886-02-23,Afričanka,Giacomo Meyerbeer
446,1886-02-25,Carmen,Georges Bizet
447,1886-02-27,Vilém Tell,Gioacchino Rossini
448,1886-02-28,Cinderella,Josef Richard Rozkošný
449,1886-03-02,Vilém Tell,Gioacchino Rossini
450,1886-03-05,Rigoletto,Giuseppe Verdi
451,1886-03-08,Afričanka,Giacomo Meyerbeer
452,1886-03-10,Mephistopheles,Arrigo Boito
453,1886-03-12,Zakletý princ,Vojtěch Hřímalý
454,1886-03-14,Cinderella,Josef Richard Rozkošný
455,1886-03-15,Čarostřelec,Carl Maria von Weber
456,1886-03-18,U věrného pastýře,Adolphe Charles Adam
457,1886-03-20,Vilém Tell,Gioacchino Rossini
458,1886-03-21,Cinderella,Josef Richard Rozkošný
459,1886-03-23,Dimitrij,Antonín Dvořák
460,1886-03-25,Mephistopheles,Arrigo Boito
461,1886-03-27,Cesta oknem,Karel Kovařovic
462,1886-03-30,Cesta oknem,Karel Kovařovic
463,1886-03-31,U věrného pastýře,Adolphe Charles Adam
464,1886-04-02,Královna ze Sáby,Karl Goldmark
465,1886-04-03,U věrného pastýře,Adolphe Charles Adam
466,1886-04-04,Královna ze Sáby,Karl Goldmark
467,1886-04-07,V studni,Vilém Blodek
468,1886-04-08,Královna ze Sáby,Karl Goldmark
469,1886-04-10,Královna ze Sáby,Karl Goldmark
470,1886-04-13,Faust a Markéta,Charles Gounod
471,1886-04-15,The Kiss,Bedřich Smetana
472,1886-04-17,Mephistopheles,Arrigo Boito
473,1886-04-20,Královna ze Sáby,Karl Goldmark
474,1886-04-25,Cinderella,Josef Richard Rozkošný
475,1886-04-26,Královna ze Sáby,Karl Goldmark
476,1886-04-28,Židovka,Jacques Fromental Elie Halévy
477,1886-04-29,Carmen,Georges Bizet
478,1886-05-01,Královna ze Sáby,Karl Goldmark
479,1886-05-02,Cesta oknem,Karel Kovařovic
480,1886-05-04,Lohengrin,Richard Wagner
481,1886-05-06,Mephistopheles,Arrigo Boito
482,1886-05-08,Černohorci,Karel Bendl
483,1886-05-09,Královna ze Sáby,Karl Goldmark
484,1886-05-12,Libuše,Bedřich Smetana
485,1886-05-13,Židovka,Jacques Fromental Elie Halévy
486,1886-05-16,Dimitrij,Antonín Dvořák
487,1886-05-17,Cinderella,Josef Richard Rozkošný
488,1886-05-22,Černohorci,Karel Bendl
489,1886-05-23,Vilém Tell,Gioacchino Rossini
490,1886-05-25,Černohorci,Karel Bendl
491,1886-05-26,Troubadour,Giuseppe Verdi
492,1886-05-27,Carmen,Georges Bizet
493,1886-05-29,Hugenoti,Giacomo Meyerbeer
494,1886-05-31,Cinderella,Josef Richard Rozkošný
495,1886-06-02,Aida,Giuseppe Verdi
496,1886-06-05,Faust a Markéta,Charles Gounod
497,1886-06-06,Černohorci,Karel Bendl
498,1886-06-08,Troubadour,Giuseppe Verdi
499,1886-06-10,Spanilá mlynářka,Josef Klička
500,1886-06-12,Norma,Vincenzo Bellini
501,1886-06-13,Spanilá mlynářka,Josef Klička
502,1886-06-14,Černohorci,Karel Bendl
503,1886-06-15,The Bartered Bride,Bedřich Smetana
504,1886-06-17,Královna ze Sáby,Karl Goldmark
505,1886-06-20,Ruslan a Ludmila,Michail Ivanovič Glinka
506,1886-06-22,Lucie,Gaetano Donizetti
507,1886-06-23,Mephistopheles,Arrigo Boito
508,1886-06-26,Il barbiere di Siviglia,Gioacchino Rossini
509,1886-06-27,Libuše,Bedřich Smetana
510,1886-06-29,Lohengrin,Richard Wagner
511,1886-06-30,Rigoletto,Giuseppe Verdi
512,1886-07-02,Lucie,Gaetano Donizetti
513,1886-07-07,Ruslan a Ludmila,Michail Ivanovič Glinka
514,1886-07-09,Královna ze Sáby,Karl Goldmark
515,1886-07-11,Cinderella,Josef Richard Rozkošný
516,1886-07-16,Pytlák,Gustav Albert Lortzing
517,1886-07-18,Pytlák,Gustav Albert Lortzing
518,1885-08-16,The Bartered Bride,Bedřich Smetana
519,1886-07-03,Il barbiere di Siviglia,Gioacchino Rossini
520,1886-08-01,Pytlák,Gustav Albert Lortzing
521,1886-08-10,Cinderella,Josef Richard Rozkošný
522,1886-08-11,Aida,Giuseppe Verdi
