,date,work,composer
10759,1929-10-23,Don Giovanni,Wolfgang Amadeus Mozart
10760,1929-10-24,Bludný Holanďan,Richard Wagner
10761,1929-10-25,Don Giovanni,Wolfgang Amadeus Mozart
10762,1929-10-26,Dalibor,Bedřich Smetana
10763,1929-10-27,The Two Widows,Bedřich Smetana
10764,1929-10-28,Psohlavci,Karel Kovařovic
10765,1929-10-28,The Bartered Bride,Bedřich Smetana
10766,1929-10-29,Don Giovanni,Wolfgang Amadeus Mozart
10767,1929-10-31,The Two Widows,Bedřich Smetana
10768,1929-11-01,Lohengrin,Richard Wagner
10769,1929-11-04,Madama Butterfly,Giacomo Puccini
10770,1929-11-06,Pikovaya Dama,Pyotr Ilyich Tchaikovsky
10771,1929-11-07,Čarostřelec,Carl Maria von Weber
10772,1929-11-09,Messinská nevěsta,Zdeněk Fibich
10773,1929-11-09,La Traviata,Giuseppe Verdi
10774,1929-11-10,Don Giovanni,Wolfgang Amadeus Mozart
10775,1929-11-12,Bludný Holanďan,Richard Wagner
10776,1929-11-14,Aida,Giuseppe Verdi
10777,1929-11-15,Bratři Karamazovi,Otakar Jeremiáš
10778,1929-11-16,The Kiss,Bedřich Smetana
10779,1929-11-17,The Secret,Bedřich Smetana
10780,1929-11-17,Libuše,Bedřich Smetana
10781,1929-11-18,Jenůfa,Leoš Janáček
10782,1929-11-20,Rusalka,Antonín Dvořák
10783,1929-11-21,Oberon,Carl Maria von Weber
10784,1929-11-23,The Devil’s Wall,Bedřich Smetana
10785,1929-11-24,The Bartered Bride,Bedřich Smetana
10786,1929-11-24,Louisa,Gustave Charpentier
10787,1929-11-25,Oberon,Carl Maria von Weber
10788,1929-11-27,Madama Butterfly,Giacomo Puccini
10789,1929-11-27,Šárka,Zdeněk Fibich
10790,1929-11-29,Carmen,Georges Bizet
10791,1929-12-01,Maškarní ples,Giuseppe Verdi
10792,1929-12-02,Don Giovanni,Wolfgang Amadeus Mozart
10793,1929-12-03,The Jacobin,Antonín Dvořák
10794,1929-12-04,Don Giovanni,Wolfgang Amadeus Mozart
10795,1929-12-05,Nepřemožení,Josef Bohuslav Foerster
10796,1929-12-06,Werther,Jules Massenet
10797,1929-12-07,Don Giovanni,Wolfgang Amadeus Mozart
10798,1929-12-08,Rusalka,Antonín Dvořák
10799,1929-12-09,Nepřemožení,Josef Bohuslav Foerster
10800,1929-12-11,The Jacobin,Antonín Dvořák
10801,1929-12-13,Eva,Josef Bohuslav Foerster
10802,1929-12-14,Nepřemožení,Josef Bohuslav Foerster
10803,1929-12-15,Tannhäuser,Richard Wagner
