,Work,Theatre,City,country,date
134,Stars of Pacific Opera,Coastal Waters,Worrowing Heights,NSW,2013-09-15
136,Don Giovanni,Albany Entertainment Centre,Albany,WA,2013-09-05
137,The Marriage of Figaro,Lennox Theatre,Parramatta,NSW,2013-09-04
138,The Marriage of Figaro,Young Town Hall,Young,NSW,2013-08-31
139,Don Giovanni,Margaret River Cultural Centre,Margaret River,WA,2013-08-30
140,Don Giovanni,Bunbury Regional Entertainment Centre,Bunbury,WA,2013-08-28
141,Salome,Festival Theatre,Adelaide,SA,2013-08-24
142,Don Giovanni,Mandurah Performing Arts Centre,Mandurah,WA,2013-08-24
143,Don Giovanni,Queens Park Theatre,Geraldton,WA,2013-08-22
144,Don Giovanni,The Playhouse,Darwin,NT,2013-08-16
145,Don Giovanni,Tennant Creek Civic Centre,Tennant Creek,NT,2013-08-13
146,The Marriage of Figaro,Dame Joan Sutherland Performing Arts Centre,Penrith,NSW,2013-08-10
147,Don Giovanni,Araluen Arts Centre,Alice Springs,NT,2013-08-09
148,Don Giovanni,Empire Theatre,Toowoomba,QLD,2013-08-06
149,Don Giovanni,Redcliffe Cultural Centre,Redcliffe,QLD,2013-08-03
150,Don Giovanni,Gold Coast Arts Centre,Surfers Paradise,QLD,2013-08-01
151,Einstein on the Beach,State Theatre,Melbourne,VIC,2013-07-31
152,Don Giovanni,Sportz Central,Coffs Harbour,NSW,2013-07-30
153,Don Giovanni,Redland Performing Arts Centre,Cleveland,QLD,2013-07-27
154,Don Giovanni,Gladstone Entertainment Centre,Gladstone,QLD,2013-07-25
155,Don Giovanni,Pilbeam Theatre,Rockhampton,QLD,2013-07-23
156,Don Giovanni,Townsville Civic Theatre,South Townsville,QLD,2013-07-19
157,Don Giovanni,Cairns Civic Theatre,Cairns,QLD,2013-07-17
158,Don Giovanni,His Majesty's Theatre,Perth,WA,2013-07-16
159,Don Giovanni,Nautilus Theatre,Port Lincoln,SA,2013-07-13
160,Don Giovanni,Middleback Theatre,Whyalla,SA,2013-07-11
161,Don Giovanni,Northern Festival Centre,Port Pirie,SA,2013-07-09
162,Don Giovanni,Karralyka Centre,Ringwood East,VIC,2013-07-06
163,The Barber of Seville,Schools Tour,,VIC,2013-05-20
164,The Phantom of the Opera,National Theatre,St Kilda,VIC,2013-05-10
165,Ode to Nonsense,Her Majesty's Theatre,Adelaide,SA,2013-04-26
166,La Traviata,His Majesty's Theatre,Perth,WA,2013-04-09
167,Anthony Breslin's Trybe: An Opera in Paint,Chapel Off Chapel,Prahran,VIC,2013-03-14
168,The Magic Flute,Various NSW Schools,NSW Region,NSW,2013-03-04
169,Carmen,Mrs Macquarie's Point,Sydney,NSW,2013-03-01
170,The Threepenny Opera,His Majesty's Theatre,Perth,WA,2013-02-08
171,Rigoletto,Supreme Court Gardens,Perth,WA,2013-02-02
172,La Boheme,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2013-02-01
173,The Jade Hairpin,Drama Theatre (Sydney Opera House),Sydney,NSW,2013-01-25
174,The Peony Pavilion,Drama Theatre (Sydney Opera House),Sydney,NSW,2013-01-24
175,A Masked Ball,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2013-01-16
176,Semele Walk,Sydney Town Hall,Sydney,NSW,2013-01-11
177,Salome,State Theatre,Melbourne,VIC,2012-12-01
178,Opera at the Forum: The Deluded Bridegroom / Highlights from La Boheme,Leichhardt Italian Forum Theatre,Leichardt,NSW,2012-11-16
179,Madam Butterfly,His Majesty's Theatre,Perth,WA,2012-10-23
180,Fidelio,Festival Theatre,Adelaide,SA,2012-10-13
181,Salome,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2012-10-12
182,After Life,Regent Theatre,Melbourne,VIC,2012-10-11
183,Soap - The Show,Playhouse,South Bank,QLD,2012-09-18
184,Don Giovanni,Marysville Community Centre,Marysville,VIC,2012-09-15
185,L'Orfeo,Power Family Concert Hall,Manly West,QLD,2012-09-15
186,Bluebeard's Castle,Concert Hall,South Bank,QLD,2012-09-14
187,Don Giovanni,West Gippsland Arts Centre,Warragul,VIC,2012-09-13
188,L'Orfeo,Conservatorium Theatre,South Bank,QLD,2012-09-12
189,Don Giovanni,Wellington Entertainment Centre,Sale,VIC,2012-09-11
190,Don Giovanni,Sir Robert Helpmann Theatre,Mount Gambier,SA,2012-09-08
191,Don Giovanni,Barossa Arts and Convention Centre,Tanunda,SA,2012-09-06
192,Don Giovanni,Chaffey Theatre,Renmark,SA,2012-09-04
193,The Rake's Progress,Queensland Conservatorium,South Bank,QLD,2012-09-01
194,Don Giovanni,Lighthouse Theatre,Warrnambool,VIC,2012-08-31
195,Don Giovanni,The Capital - Bendigo's Performing Arts Centre,Bendigo,VIC,2012-08-28
196,Don Giovanni,Westside Performing Arts Centre,Mooroopna,VIC,2012-08-25
197,Orpheus In The Underworld,Festival Theatre,Adelaide,SA,2012-08-25
198,Don Giovanni,Lazenby Hall,Armidale,NSW,2012-08-22
199,Don Giovanni,"Glasshouse Arts, Conference & Entertainment Centre",Port Macquarie,NSW,2012-08-17
200,Don Giovanni,Dubbo Regional Theatre and Convention Centre,Dubbo,NSW,2012-08-14
201,Don Giovanni,Riverside Theatres,Parramatta,NSW,2012-08-10
202,Don Giovanni,Dame Joan Sutherland Performing Arts Centre,Penrith,NSW,2012-08-08
203,Don Giovanni,Illawarra Performing Arts Centre,Wollongong,NSW,2012-08-02
204,Don Giovanni,Capitol Theatre,Tamworth,NSW,2012-07-31
205,Don Giovanni,Bathurst Memorial Entertainment Centre,Bathurst,NSW,2012-07-28
206,Don Giovanni,Orange Civic Theatre,Orange,NSW,2012-07-26
207,Don Giovanni,Griffith Regional Theatre,Griffith,NSW,2012-07-24
208,Don Giovanni,Wagga Wagga Civic Theatre,Wagga Wagga,NSW,2012-07-20
209,Don Giovanni,Civic Theatre,Newcastle,NSW,2012-07-17
210,Lucia di Lammermoor,His Majesty's Theatre,Perth,WA,2012-07-14
211,Don Giovanni,Canberra Theatre,Canberra,ACT,2012-07-12
212,Don Giovanni,Albury Entertainment Centre,Albury,NSW,2012-07-10
213,Don Giovanni,Drum Theatre,Dandenong,VIC,2012-07-07
214,Merlyn Quaife: One on One,Beckett Theatre,Southbank,VIC,2012-06-08
215,Redfern,Beckett Theatre,Southbank,VIC,2012-06-08
216,In the Beginning was the Word,Beckett Theatre,Southbank,VIC,2012-06-08
217,Another Lament,Beckett Theatre,Southbank,VIC,2012-06-06
219,Minotaur: The Island,Riverside Theatres,Parramatta,NSW,2012-05-09
220,The Barber of Seville,The Arts Centre,Melbourne,VIC,2012-05-08
221,Macbeth,Concert Hall,South Bank,QLD,2012-04-13
222,La Traviata,Mrs Macquarie's Point,Sydney,NSW,2012-03-24
223,A Magic Flute,Octagon Theatre,Crawley,WA,2012-02-18
224,The Pearlfishers,Supreme Court Gardens,Perth,WA,2012-02-18
225,Elektra,His Majesty's Theatre,Perth,WA,2012-02-08
226,The Marriage of Figaro,Opera Theatre (Sydney Opera House),Sydney,NSW,2012-02-06
227,Assembly,City Recital Hall,Sydney,NSW,2012-01-11
228,Don Giovanni,State Theatre,Melbourne,VIC,2011-12-02
229,Griselda,City Recital Hall,Sydney,NSW,2011-11-30
230,Of Mice and Men,State Theatre,Melbourne,VIC,2011-11-26
231,Ophelia Doesn't Live Here Anymore,Armadale,Armadale,VIC,2011-11-24
232,Homesick!,Bluestone Performance Hub,Footscray,VIC,2011-11-23
233,La Traviata,State Theatre,Melbourne,VIC,2011-11-16
234,Minotaur The Island,Lowland Farm,Mt Macedon,VIC,2011-11-12
235,Minotaur The Island,BMW Edge,Melbourne,VIC,2011-11-11
236,Carmen,Festival Theatre,Adelaide,SA,2011-11-05
237,Falstaff,His Majesty's Theatre,Perth,WA,2011-11-03
238,Minotaur The Island,The Sydney Mint Museum,Sydney,NSW,2011-11-02
239,Carmen,Athenaeum Theatre,Melbourne,VIC,2011-10-22
240,Princess Ida,CDU Theatre ,Casuarina,NT,2011-10-13
241,into the SHIMMER HEAT,State Theatre Centre of Western Australia,Perth,WA,2011-10-11
242,Pecan Summer,Playhouse,Melbourne,VIC,2011-09-28
243,Don Giovanni,Sydney Opera House,Sydney,NSW,2011-09-24
244,La Traviata,Eagle Farm Racecourse,Ascot,QLD,2011-09-24
245,The Magic Flute,The Opera Studio,Netley,SA,2011-09-22
246,Maria de Buenos Aires,Playhouse,South Bank,QLD,2011-09-14
247,Moby Dick,Festival Theatre,Adelaide,SA,2011-08-27
248,Kimisis - Falling Asleep,Browns Mart Theatre,Darwin,NT,2011-08-25
249,Opera Gala,Whitehorse Centre,Nunawading,VIC,2011-08-19
250,The Magic Flute,Riverside Theatres,Parramatta,NSW,2011-08-13
251,Kimisis - Falling Asleep,Salamanca Arts Centre,Hobart,TAS,2011-08-10
252,The Magic Flute,Glen Street Theatre,Frenchs Forest,NSW,2011-07-29
253,Baroque Triple Bill,Elisabeth Murdoch Hall,Southbank,VIC,2011-07-28
254,Of Mice and Men,Sydney Opera House,Sydney,NSW,2011-07-23
255,Albert Herring,Playhouse,Melbourne,VIC,2011-07-19
256,La Sonnambula,Festival Theatre,Adelaide,SA,2011-07-16
257,Tales of Hoffmann,His Majesty's Theatre,Perth,WA,2011-07-14
258,La Boheme,Opera Theatre (Sydney Opera House),Sydney,NSW,2011-07-12
259,The Magic Flute,Llewellyn Hall,Acton,ACT,2011-07-09
260,Cosi fan tutte,Conservatorium Theatre,South Bank,QLD,2011-07-09
261,Faust,Alexander Theatre,Clayton,VIC,2011-07-01
262,Dwelling Structure,Northcote,Northcote,VIC,2011-05-26
263,The Marriage of Figaro,Rymill Hall,Penola,SA,2011-05-20
264,One,The Queen's Theatre,Adelaide,SA,2011-05-19
265,The Mikado,State Theatre,Melbourne,VIC,2011-05-17
266,How to kill your husband (and other handy household hints),Merlyn Theatre,Southbank,VIC,2011-05-16
267,The Marriage of Figaro,Karnak Playhouse,Mossman,QLD,2011-05-14
268,The Marriage of Figaro,Burdekin Theatre,Ayr,QLD,2011-05-11
269,The Marriage of Figaro,Cania Dam,Monto,QLD,2011-05-08
270,The Marriage of Figaro,Ipswich Civic Centre,Ipswich,QLD,2011-05-06
271,The Pearlfishers,State Theatre,Melbourne,VIC,2011-05-04
272,The Marriage of Figaro,Warwick Town Hall,Warwick,QLD,2011-05-01
273,The Marriage of Figaro,Regional Botanic Gardens,Coffs Harbour,NSW,2011-04-29
274,Macbeth,State Theatre,Melbourne,VIC,2011-04-20
275,La Boheme,State Theatre,Melbourne,VIC,2011-04-12
276,The Marriage of Figaro,Athenaeum Club,Melbourne,VIC,2011-04-11
277,The Marriage of Figaro,Plenty Ranges Arts and Convention Centre,South Morang,VIC,2011-04-09
278,The Marriage of Figaro,Cultural Centre,Cowes,VIC,2011-04-08
279,The Marriage of Figaro,Wellington Entertainment Centre,Sale,VIC,2011-04-06
280,The Marriage of Figaro,Bairnsdale,Bairnsdale,VIC,2011-04-05
281,The Marriage of Figaro,Wolumla,Wolumla,NSW,2011-04-03
282,The Marriage of Figaro,Memorial Hall,Jindabyne,NSW,2011-04-02
283,Tosca,His Majesty's Theatre,Perth,WA,2011-04-02
284,The Marriage of Figaro,Montreal Community Theatre,Tumut,NSW,2011-04-01
285,Minotaur The Island,Melbourne,Melbourne,VIC,2011-04-01
286,The Marriage of Figaro,The Street Theatre,Acton,ACT,2011-03-29
287,Minotaur The Island,Dennes Point Community Hall,Bruny Island,TAS,2011-03-26
288,The Marriage of Figaro,Shoalhaven Anglican School,Milton,NSW,2011-03-26
290,The Marriage of Figaro,Michael Hoskins Creative Arts Centre,Armidale,NSW,2011-03-22
291,The Marriage of Figaro,Wee Waa Bowling Club,Wee Waa,NSW,2011-03-19
292,The Marriage of Figaro,Dubbo Regional Theatre and Convention Centre,Dubbo,NSW,2011-03-16
