,work,date,composer,librettist,based_on,language
0,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
1,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
2,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
3,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
4,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
5,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
6,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
7,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
8,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
9,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
10,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
11,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
12,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
13,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
14,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
15,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
16,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
17,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
18,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
19,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
20,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
21,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
22,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
23,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
24,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
25,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
26,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
27,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
28,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
29,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
30,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
31,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
32,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
33,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
34,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
35,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
36,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
37,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
38,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
39,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
40,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
41,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
42,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
43,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
44,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
45,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
46,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
47,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
48,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
49,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
50,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
51,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
52,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
53,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
54,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
55,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
56,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
57,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
58,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
59,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
60,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
61,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
62,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
63,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
64,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
65,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
66,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
67,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
68,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
69,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
70,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
71,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
72,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
73,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
74,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
75,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
76,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
77,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
78,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
79,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
80,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
81,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
82,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
83,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
84,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
85,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
86,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
87,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
88,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
89,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
90,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
91,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
92,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
93,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
94,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
95,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
96,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
97,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
98,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
99,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
100,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
101,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
102,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
103,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
104,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
105,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
106,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
107,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
108,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
109,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
110,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
111,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
112,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
113,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
114,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
115,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
116,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
117,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
118,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
119,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
120,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
121,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
122,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
123,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
124,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
125,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
126,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
127,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
128,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
129,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
130,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
131,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
132,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
133,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
134,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
135,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
136,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
137,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
138,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
139,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
140,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
141,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
142,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
143,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
144,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
145,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
146,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
147,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
148,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
149,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
150,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
151,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
152,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
153,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
154,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
155,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
156,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
157,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
158,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
159,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
160,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
161,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
162,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
163,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
164,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
165,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
166,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
167,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
168,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
169,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
170,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
171,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
172,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
173,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
174,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
175,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
176,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
177,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
178,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
179,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
180,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
181,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
182,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
183,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
184,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
185,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
186,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
187,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
188,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
189,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
190,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
191,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
192,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
193,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
194,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
195,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
196,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
197,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
198,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
199,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
200,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
201,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
202,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
203,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
204,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
205,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
206,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
207,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
208,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
209,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
210,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
211,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
212,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
213,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
214,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
215,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
216,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
217,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
218,La traviata,1948-04-06,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'La Dame aux camélias' by Alexandre Dumas fils.
219,Boris Godunov,1948-05-12,Modest Petrovich Musorgsky ,Modest Petrovich Musorgsky ,Russian,
220,The Fairy Queen,1946-12-12,Henry Purcell ,Anonymous ,English,Based on the play 'A Midsummer Night's Dream' by William Shakespeare
221,Carmen,1947-01-14,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
222,Manon,1947-01-30,Jules Massenet ,Philippe Gille ,French,After the novel 'L'histoire du chevalier des Grieux et de Manon Lescaut' by Abbé Prévost
223,The Magic Flute,1947-03-20,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
224,Der Rosenkavalier,1947-04-22,Richard Strauss ,Hugo von Hofmannsthal ,German,
225,Turandot,1947-05-29,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
226,Il trovatore,1947-06-23,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
227,Rigoletto,1947-08-29,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
228,Rigoletto,1947-10-31,Giuseppe Verdi ,Francesco Maria Piave ,Italian,After the play 'Le roi s'amuse' by Victor Hugo
229,Der Rosenkavalier,1947-11-01,Richard Strauss ,Hugo von Hofmannsthal ,German,
230,Turandot,1947-11-04,Giacomo Puccini ,Renato Simoni ,Italian,After the fairy tale 'Turandot' by Carlo Gozzi
231,Il trovatore,1947-11-05,Giuseppe Verdi ,Salvadore Cammarano ,Italian,After the play 'El trovador' by Antonio García Gutiérrez
232,Peter Grimes,1947-11-06,Benjamin Britten ,Montagu Slater ,English,After the poem 'The Borough' by George Crabbe
233,Carmen,1947-11-20,Georges Bizet ,Ludovic Halévy ,French,After the novella 'Carmen' by Prosper Mérimée
234,The Mastersingers,1948-01-21,Richard Wagner ,Richard Wagner ,German,
235,The Magic Flute,1948-02-03,Wolfgang Amadeus Mozart ,Emanuel Schikaneder ,German,
236,Tristan und Isolde,1948-02-19,Richard Wagner ,Richard Wagner ,German,Based on the poem 'Tristan' by Gottfried von Strassburg
237,The Valkyrie,1948-03-03,Richard Wagner ,Richard Wagner ,German,
