,country,city,composer,work,venue,dates,dates_url
9011,Germany,Berlin,Wagner,Tannhäuser,Deutsche Oper Berlin,"11, 19 November, 2 December 2017, 2, 8 April 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=dobtannha1117
9012,Germany,Dresden,Verdi,Rigoletto,Semperoper Dresden,"12, 17, 21 November, 1 December 2017, 30 March, 3 April, 25, 30 May, 3, 5, 8 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=drerigole1117
9013,Germany,Frankfurt,Herrmann,Der Mieter,Oper Frankfurt,"12, 16, 18, 24, 29 November, 2, 7 December 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=framieter1117
9014,Germany,Hamburg,Puccini,Madama Butterfly,Hamburg State Opera,"12(m), 15, 18, 21 November 2017, 13, 16 March 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=hambutter1117
9015,Germany,Munich,"Strauss, R",Die Schweigsame Frau,Bavarian State Opera,"12, 15, 18, 24 November 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bsoschwei1117
9016,Germany,Aachen,Janacek,Kat'a Kabanova,Theater Aachen,"12, 19, 26 November, 2, 14, 29 December 2017, 10, 13 January, 15, 23 February 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=aackatya1117
9017,Germany,Cottbus,Offenbach,Barbe-bleue,Staatstheater Cottbus,"16 November, 16 December 2017, 7 February, 15 April, 13 May 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=cotbarbe1117
9018,Germany,Weimar,Purcell,Dido and Aeneas,Nationaltheater Weimar,"16, 18, 24 November 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=weidido1117
9019,Germany,Baden-Baden,Matesic,Katze Ivanka,Festspielhaus Baden-Baden,"18, 19(m), 19, 20(m) November 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=badkatzei1117
9020,Germany,Lübeck,Bart,Oliver!,Theater Lübeck,"17, 24 November, 1, 8, 21 December 2017, 14(m), 21, 27 January, 22 February, 4(m) March, 13 April, 3, 12 May, 9 June 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=luboliver1117
9021,Germany,Frankfurt,Mozart,Così fan tutte,Oper Frankfurt,"17, 22 November, 1, 14, 17, 20, 22 December 2017, 1 January 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=fracosi1117
9022,Germany,Hannover,"Strauss, R",Salome,Staatsoper Hannover,"18, 22 November, 1, 10, 13, 22 December 2017, 7(m) January, 3 February 2018",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=hansalome1117
9023,Germany,Hamburg,Marthaler,Isoldes Abendbrot,Hamburg State Opera,"18, 20, 22, 24, 26 November 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=hamisolde1117
9024,Germany,Düsseldorf,Puccini,Madama Butterfly,Deutsche Oper am Rhein,"18, 24 November, 5, 8, 17, 21, 29 December 2017, 20, 27, 30 January, 8(m), 12 July 2018 (Düsseldorf & Duisburg)",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=dusbutter1117
