Stewart Copeland
Strauss
Stravinsky
Stuart MacRae
Stuart McRae
Sue Curtis
Sue Howley
Sullivan
Tan Dun
Tang Xianzu
Tansy Davies
Tarik O'Regan
Tchaikovsky
Telemann
The Venus Bushfires (AKA Helen Parker-Jayne Isibor)
Thomaqs Ades
Thomas Ades
Thomas Arne
Thomas Linley Snr and Jnr
Tim Anfilogoff
Tim Benjamin
Tippet
Tobias Picker
Tom Johnson
Tom Poster
Tomas Breton
Tony Harris
Tony Osborne
Torsten Rasch
Toshio Hosokawa
Tunde Jagede
Umberto Giodano
Umberto Giordano
Vaughan Williams
Vencenzo Bellini
Venue Hall
VenueCity Varieties  Hall
VenueRoyal Northern College of
VenueRoyal Welsh College of  and Drama (WCMD)/Raymond Edwards Building/Anthony Hopkins Centre
VenueSt Georges  Trust
VenueThe Royal Academy of
VenueThe Royal Conservatoire of Scotland (formerly Royal Scottish Academy of  and Drama (RSAMD))
VenueWilton's  Hall
Verdi
Verdi (1859)
Viktor Ullman
Viktor Ullmann
Vincenzo Bellini
Virgil Thomson
Vivaldi
W S Gilbert
W. S. Gilbert
W.A. Mozart
W.S.Gilbert
WH Auden
Wagner
Wagner (1843)
Walter Braunfels (1882-1954)
Walton (The Bear)
Weber
Wigglesworth
Will Todd
William Alwyn
William Drew-Batty
William Wallace
William Walton
Wolfgang Amadeus Mozart
Xavier Dayer (based on the play by [Maurice Maeterlinck])
Yannis Kyriakides
Yaw Asiamah
Zaid Jabri
al Director  Andrew Charity
al Director  Brian Steel
al Director  Colin Scott
al Director  Dominic Conway
al Director  Magnus Gilljam
al Director  NaNOj Kamps
