,composer,date_of_birth,date_of_death,country,composer_url
3104,Leoš Janáček,1854-07-03,1928-08-12,Czech Republic,http://www.wikidata.org/entity/Q184933
3114,Libby Larsen,1950-12-24,2200-01-01,United States of America,http://www.wikidata.org/entity/Q2161571
3115,Licinio Refice,1883-02-12,1954-09-11,Italy,http://www.wikidata.org/entity/Q2262579
3116,Lora Aborn,1907-01-01,2005-08-25,United States of America,http://www.wikidata.org/entity/Q15434733
3117,Lorenzo Ferrero,1951-01-01,2200-01-01,Italy,http://www.wikidata.org/entity/Q6680710
3125,Lorin Maazel,1930-03-06,2014-07-13,France,http://www.wikidata.org/entity/Q117710
3126,Loris Tjeknavorian,1937-10-13,2200-01-01,Iran,http://www.wikidata.org/entity/Q2984588
3127,Lothar Kempter,1844-02-05,1918-07-14,Germany,http://www.wikidata.org/entity/Q322323
3128,Louis Andriessen,1939-06-06,2200-01-01,Netherlands,http://www.wikidata.org/entity/Q504743
3131,Louis Aubert,1877-02-19,1968-01-09,France,http://www.wikidata.org/entity/Q962731
3132,Louis Ganne,1862-04-05,1923-07-13,France,http://www.wikidata.org/entity/Q779631
3133,Louis Gruenberg,1884-08-03,1964-06-09,Belarus,http://www.wikidata.org/entity/Q1374446
3134,Louis Gruenberg,1884-08-03,1964-06-10,Belarus,http://www.wikidata.org/entity/Q1374446
3139,Louis Lully,1664-08-04,1734-04-01,France,http://www.wikidata.org/entity/Q920015
3141,Louis Niedermeyer,1802-04-27,1861-03-13,Switzerland,http://www.wikidata.org/entity/Q304620
3142,Louis Niedermeyer,1802-04-27,1861-03-14,Switzerland,http://www.wikidata.org/entity/Q304620
3143,Louis Spohr,1784-04-05,1859-10-22,Germany,http://www.wikidata.org/entity/Q57226
3146,Louis de La Coste,1675-01-01,1750-01-01,France,http://www.wikidata.org/entity/Q3263492
3147,Louis-Emmanuel Jadin,1768-09-21,1853-04-11,France,http://www.wikidata.org/entity/Q1348195
3149,Louise Bertin,1805-01-15,1877-04-26,France,http://www.wikidata.org/entity/Q445123
3150,Lowell Liebermann,1961-02-22,2200-01-01,United States of America,http://www.wikidata.org/entity/Q1366356
3151,Luca Francesconi,1956-03-17,2200-01-01,Italy,http://www.wikidata.org/entity/Q966664
3153,Luciano Berio,1925-10-24,2003-05-27,Italy,http://www.wikidata.org/entity/Q221450
3159,Luciano Chailly,1920-01-19,2002-12-24,Italy,http://www.wikidata.org/entity/Q1060422
3160,Ludomir Różycki,1883-09-18,1953-01-01,Poland,http://www.wikidata.org/entity/Q1800718
3161,Ludwig Abeille,1761-02-20,1838-03-02,Germany,http://www.wikidata.org/entity/Q506097
3163,Ludwig Schmidseder,1904-08-24,1971-06-21,Germany,http://www.wikidata.org/entity/Q1248637
3165,Ludwig Thuille,1861-11-30,1907-02-05,Italy,http://www.wikidata.org/entity/Q702158
3166,Ludwig van Beethoven,1770-12-17,1827-03-26,Germany,http://www.wikidata.org/entity/Q255
3169,Luigi Agnesi,1833-07-17,1875-02-02,Belgium,http://www.wikidata.org/entity/Q3266373
3170,Luigi Canepa,1849-01-15,1914-05-12,Italy,http://www.wikidata.org/entity/Q15120146
3171,Luigi Caruso,1754-09-25,1823-11-15,Italy,http://www.wikidata.org/entity/Q6489001
3175,Luigi Cherubini,1760-09-14,1842-03-15,Italy,http://www.wikidata.org/entity/Q20721
3196,Luigi Dallapiccola,1904-02-03,1975-02-19,Croatia,http://www.wikidata.org/entity/Q17575
3200,Luigi Gatti,1740-06-11,1817-03-01,Italy,http://www.wikidata.org/entity/Q679738
3201,Luigi Marescalchi,1745-02-01,1812-01-01,Italy,http://www.wikidata.org/entity/Q20005287
3202,Luigi Nono,1924-01-29,1990-05-08,Italy,http://www.wikidata.org/entity/Q160451
3205,Luigi Ricci,1805-07-08,1859-12-31,Italy,http://www.wikidata.org/entity/Q570279
3209,Luigi Rossi,1597-01-01,1653-02-20,Italy,http://www.wikidata.org/entity/Q472714
3210,Léo Delibes,1836-02-21,1891-01-16,France,http://www.wikidata.org/entity/Q207951
3214,Léopol Haimon,1779-10-04,1866-02-02,France,http://www.wikidata.org/entity/Q743657
3217,Maciej Kamieński,1734-10-13,1821-01-25,Hungary,http://www.wikidata.org/entity/Q326261
3219,Maksym Berezovsky,1745-10-27,1777-04-02,Ukraine,http://www.wikidata.org/entity/Q1353816
3220,Manfred Gurlitt,1890-09-06,1972-04-29,Germany,http://www.wikidata.org/entity/Q446453
3221,Manfred Gurlitt,1890-09-06,1973-04-29,Germany,http://www.wikidata.org/entity/Q446453
3222,Manuel Fernández Caballero,1835-03-14,1906-02-26,Spain,http://www.wikidata.org/entity/Q3750371
3223,Marc Blitzstein,1905-03-02,1964-01-22,United States of America,http://www.wikidata.org/entity/Q918359
3237,Marc-Antoine Charpentier,1643-01-01,1704-02-24,France,http://www.wikidata.org/entity/Q55524
3244,Marcello Bernardini,1730-01-01,1799-01-01,Italy,http://www.wikidata.org/entity/Q927000
3246,Marcial del Adalid y Gurréa,1826-08-24,1881-10-16,Spain,http://www.wikidata.org/entity/Q3098932
3247,Marco Betta,1964-07-25,2200-01-01,Italy,http://www.wikidata.org/entity/Q3845952
3255,Marco Marazzoli,1602-01-01,1662-01-26,Italy,http://www.wikidata.org/entity/Q1635475
3256,Marco da Gagliano,1582-05-11,1643-02-25,Italy,http://www.wikidata.org/entity/Q540638
3257,Marcos Portugal,1762-03-24,1830-02-17,Portugal,http://www.wikidata.org/entity/Q957869
3259,Marcus Paus,1979-10-14,2200-01-01,Norway,http://www.wikidata.org/entity/Q173184
3261,Marin Marais,1656-05-31,1728-08-15,France,http://www.wikidata.org/entity/Q213519
3265,Mark Adamo,1962-01-01,2200-01-01,United States of America,http://www.wikidata.org/entity/Q960129
3270,Mark Bucci,1924-02-26,2002-08-22,United States of America,http://www.wikidata.org/entity/Q6766900
3271,Mark-Anthony Turnage,1960-06-10,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q528639
3273,Martin Smolka,1959-08-11,2200-01-01,Czech Republic,http://www.wikidata.org/entity/Q1314661
3274,Martín Matalon,1958-10-17,2200-01-01,Argentina,http://www.wikidata.org/entity/Q2512529
3275,Mary Carr Moore,1873-08-06,1957-01-09,United States of America,http://www.wikidata.org/entity/Q995851
3277,Matilde Salvador i Segarra,1918-03-23,2007-10-05,Spain,http://www.wikidata.org/entity/Q3132610
3278,Maurice Ravel,1875-03-07,1937-12-28,France,http://www.wikidata.org/entity/Q1178
3280,Mauricio Kagel,1931-12-24,2008-09-18,Argentina,http://www.wikidata.org/entity/Q178293
3281,Max Bruch,1838-01-06,1920-10-02,Germany,http://www.wikidata.org/entity/Q106434
3283,Max d'Ollone,1875-06-13,1959-05-15,France,http://www.wikidata.org/entity/Q382926
3284,Max von Schillings,1868-04-19,1933-07-24,Germany,http://www.wikidata.org/entity/Q704926
3286,Meliton Balanchivadze,1862-12-24,1937-12-21,Georgia,http://www.wikidata.org/entity/Q1237722
3287,Meredith Monk,1942-11-20,2200-01-01,United States of America,http://www.wikidata.org/entity/Q267170
3288,Mezio Agostini,1875-08-12,1944-04-22,Italy,http://www.wikidata.org/entity/Q3855836
3289,Michael Arne,1740-01-01,1786-01-14,United Kingdom,http://www.wikidata.org/entity/Q2059553
3290,Michael Arne,1741-01-01,1786-01-14,United Kingdom,http://www.wikidata.org/entity/Q2059553
3291,Michael Costa,1808-02-14,1884-04-29,Italy,http://www.wikidata.org/entity/Q1931081
3292,Michael Daugherty,1954-04-28,2200-01-01,United States of America,http://www.wikidata.org/entity/Q2251665
3293,Michael Haydn,1737-09-14,1806-08-10,Austria,http://www.wikidata.org/entity/Q490381
3294,Michael Haydn,1737-09-17,1806-08-10,Austria,http://www.wikidata.org/entity/Q490381
3295,Michael Nyman,1944-03-23,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q313639
3296,Michael Tippett,1905-01-02,1998-01-08,United Kingdom,http://www.wikidata.org/entity/Q356499
3302,Michael William Balfe,1808-05-15,1870-10-20,Ireland,http://www.wikidata.org/entity/Q434171
3313,Michel van der Aa,1970-03-10,2200-01-01,Netherlands,http://www.wikidata.org/entity/Q721124
3314,Michelangelo Valentini,1720-01-01,1768-01-01,Italy,http://www.wikidata.org/entity/Q3856467
3315,Michele Carafa,1787-11-17,1872-07-26,Italy,http://www.wikidata.org/entity/Q497494
3319,Michele Mortellari,1750-01-01,1807-03-27,Italy,http://www.wikidata.org/entity/Q3856722
3320,Mieczysław Weinberg,1919-12-08,1996-02-02,Poland,http://www.wikidata.org/entity/Q919127
3321,Mieczysław Weinberg,1919-12-08,1996-02-26,Poland,http://www.wikidata.org/entity/Q919127
3328,Miguel Bernal Jiménez,1910-02-16,1956-07-26,Mexico,http://www.wikidata.org/entity/Q362430
3329,Mikael Tariverdiev,1931-08-15,1996-07-25,Georgia,http://www.wikidata.org/entity/Q724254
3330,Mikhail Glinka,1804-06-01,1857-02-15,Russia,http://www.wikidata.org/entity/Q181885
3332,Mikhail Ippolitov-Ivanov,1859-11-19,1935-01-28,Russia,http://www.wikidata.org/entity/Q346815
3333,Mikhail Ivanov,1849-09-23,1927-10-20,Russia,http://www.wikidata.org/entity/Q4196226
3334,Mikhail Matyushin,1861-01-01,1934-10-14,Russia,http://www.wikidata.org/entity/Q787155
3335,Miloš Smatek,1895-08-12,1974-09-02,Czech Republic,http://www.wikidata.org/entity/Q12037596
3336,Minoru Miki,1930-03-16,2011-12-08,Japan,http://www.wikidata.org/entity/Q1422441
3337,Miroslav Srnka,1975-03-23,2200-01-01,Czech Republic,http://www.wikidata.org/entity/Q1490839
3338,Mohammed Fairouz,1985-11-01,2200-01-01,United States of America,http://www.wikidata.org/entity/Q6893076
3339,Moritz Eggert,1965-11-25,2200-01-01,Germany,http://www.wikidata.org/entity/Q451317
3340,Morton Feldman,1926-01-12,1987-09-03,United States of America,http://www.wikidata.org/entity/Q316427
3341,Mořic Stanislav Anger,1844-03-12,1905-08-02,Czech Republic,http://www.wikidata.org/entity/Q11180523
3342,Mukan Tulebaev,1913-03-13,1960-04-02,Russia,http://www.wikidata.org/entity/Q4465110
3343,Muslim Magomayev,1885-09-18,1937-07-28,Russia,http://www.wikidata.org/entity/Q2499809
3345,Mykola Lysenko,1842-03-22,1912-11-06,Ukraine,http://www.wikidata.org/entity/Q172425
3355,Myroslav Skoryk,1938-07-13,2200-01-01,Ukraine,http://www.wikidata.org/entity/Q278813
3356,Natale Abbadia,1782-03-11,1861-12-25,Italy,http://www.wikidata.org/entity/Q2607668
3358,Natanael Berg,1879-02-09,1957-10-14,Sweden,http://www.wikidata.org/entity/Q532510
3359,Ned Rorem,1923-10-23,2200-01-01,United States of America,http://www.wikidata.org/entity/Q733299
3360,Nevit Kodallı,1924-12-12,2009-09-01,Turkey,http://www.wikidata.org/entity/Q1471480
3362,Niccolò Antonio Zingarelli,1752-04-04,1837-05-05,Italy,http://www.wikidata.org/entity/Q505202
3375,Niccolò Jommelli,1714-09-10,1774-08-25,Italy,http://www.wikidata.org/entity/Q312891
3386,Niccolò Piccinni,1728-01-16,1800-05-07,Italy,http://www.wikidata.org/entity/Q310687
3399,Niccolò van Westerhout,1857-12-17,1898-08-21,Italy,http://www.wikidata.org/entity/Q3875924
3400,Nicholas Lens,1957-11-14,2200-01-01,Belgium,http://www.wikidata.org/entity/Q321031
3402,Nicholas Maw,1935-11-05,2009-05-19,United Kingdom,http://www.wikidata.org/entity/Q1275093
3404,Nicola Conforto,1718-09-25,1793-03-17,Italy,http://www.wikidata.org/entity/Q929666
3407,Nicola Logroscino,1698-10-22,1764-01-01,Italy,http://www.wikidata.org/entity/Q1671230
3408,Nicola Porpora,1686-08-17,1768-03-03,Italy,http://www.wikidata.org/entity/Q312788
3410,Nicola Vaccai,1790-03-15,1848-08-05,Italy,http://www.wikidata.org/entity/Q1353016
3413,Nicolae Bretan,1887-03-25,1968-12-01,Romania,http://www.wikidata.org/entity/Q984548
3418,Nicolas Dalayrac,1753-06-08,1809-11-27,France,http://www.wikidata.org/entity/Q952520
3427,Nicolas Isouard,1773-05-16,1818-03-23,Malta,http://www.wikidata.org/entity/Q736805
3428,Nikolai Karetnikov,1930-06-28,1994-10-09,Russia,http://www.wikidata.org/entity/Q2062832
3430,Nikolai Rimsky-Korsakov,1844-03-18,1908-06-20,Russia,http://www.wikidata.org/entity/Q93227
3431,Nikolai Rimsky-Korsakov,1844-03-18,1908-06-21,Russia,http://www.wikidata.org/entity/Q93227
3464,Nino Rota,1911-12-04,1979-04-10,Italy,http://www.wikidata.org/entity/Q214665
3469,Norbert Schultze,1911-01-26,2002-10-14,Germany,http://www.wikidata.org/entity/Q680203
3470,Norman Dello Joio,1913-01-24,2008-07-24,United States of America,http://www.wikidata.org/entity/Q724145
3471,Näcip Çihanof,1911-01-15,1988-06-02,Kazakhstan,http://www.wikidata.org/entity/Q1862308
3473,Olga Neuwirth,1968-08-04,2200-01-01,Austria,http://www.wikidata.org/entity/Q273654
3474,Olga Neuwirth,1968-10-04,2200-01-01,Austria,http://www.wikidata.org/entity/Q273654
3475,Olivier Messiaen,1908-12-10,1992-04-27,France,http://www.wikidata.org/entity/Q151593
3476,Oscar Ferdinand Telgmann,1855-01-01,1946-03-30,Germany,http://www.wikidata.org/entity/Q4454296
3477,Oscar Straus,1870-03-06,1954-01-11,Austria,http://www.wikidata.org/entity/Q206667
3481,Oskar Nedbal,1874-03-26,1930-12-24,Czech Republic,http://www.wikidata.org/entity/Q920997
3489,Osvald Chlubna,1893-06-22,1971-10-30,Czech Republic,http://www.wikidata.org/entity/Q1393755
3494,Osvaldo Golijov,1960-12-05,2200-01-01,Argentina,http://www.wikidata.org/entity/Q701257
3495,Otakar Bradáč,1874-11-10,1924-01-11,Czech Republic,http://www.wikidata.org/entity/Q12043166
3497,Otar Taktakishvili,1924-07-27,1989-02-24,Georgia,http://www.wikidata.org/entity/Q1305852
3500,Othmar Schoeck,1886-09-01,1957-03-08,Switzerland,http://www.wikidata.org/entity/Q661927
3502,Otmar Mácha,1922-10-02,2006-12-14,Czech Republic,http://www.wikidata.org/entity/Q428647
3509,Oto Ferenczy,1921-03-30,2000-05-03,Slovakia,http://www.wikidata.org/entity/Q24471576
3510,Ottmar Gerster,1897-06-29,1969-08-31,Germany,http://www.wikidata.org/entity/Q896918
3511,Otto Nicolai,1810-06-09,1849-05-11,Germany,http://www.wikidata.org/entity/Q154602
3515,Ottorino Respighi,1879-07-09,1936-04-18,Italy,http://www.wikidata.org/entity/Q243837
3524,Pablo Sorozábal kiko,1897-09-18,1988-12-26,Spain,http://www.wikidata.org/entity/Q2206252
3533,Pancho Vladigerov,1899-03-13,1978-09-08,Switzerland,http://www.wikidata.org/entity/Q528781
3534,Paris Francesco Alghisi,1666-06-19,1733-03-30,Italy,http://www.wikidata.org/entity/Q477358
3536,Pascal Collasse,1649-01-22,1709-07-17,France,http://www.wikidata.org/entity/Q287421
3544,Pascal Dusapin,1955-05-29,2200-01-01,France,http://www.wikidata.org/entity/Q516845
3548,Pasquale Anfossi,1727-04-05,1797-02-01,Italy,http://www.wikidata.org/entity/Q266985
3549,Pasquale Anfossi,1727-05-06,1797-02-01,Italy,http://www.wikidata.org/entity/Q266985
3550,Pasquale Anfossi,1729-01-01,1797-02-01,Italy,http://www.wikidata.org/entity/Q266985
3683,Pasquale Errichelli,1730-01-01,1785-01-01,Italy,http://www.wikidata.org/entity/Q3897049
3684,Paul Abraham,1892-11-02,1960-05-06,Serbia,http://www.wikidata.org/entity/Q158650
3698,Paul Burkhard,1911-12-21,1977-09-06,Switzerland,http://www.wikidata.org/entity/Q116397
3700,Paul Dessau,1894-12-19,1979-06-28,Germany,http://www.wikidata.org/entity/Q213613
3705,Paul Dukas,1865-10-01,1935-05-17,France,http://www.wikidata.org/entity/Q215556
3706,Paul Hindemith,1895-11-16,1963-12-28,Germany,http://www.wikidata.org/entity/Q57244
3716,Paul Le Flem,1881-03-18,1984-07-31,France,http://www.wikidata.org/entity/Q964256
3717,Paul Wranitzky,1756-12-30,1808-09-26,Czech Republic,http://www.wikidata.org/entity/Q78797
3718,Paul Wranitzky,1756-12-30,1808-09-28,Czech Republic,http://www.wikidata.org/entity/Q78797
3719,Paul Wranitzky,1756-12-30,1808-09-29,Czech Republic,http://www.wikidata.org/entity/Q78797
3720,Pavel Haas,1899-06-21,1944-10-17,Czech Republic,http://www.wikidata.org/entity/Q449748
3721,Pavel Helebrand,1960-10-25,2200-01-01,Czech Republic,http://www.wikidata.org/entity/Q3495815
3722,Petar Konjović,1883-05-05,1970-10-01,Serbia,http://www.wikidata.org/entity/Q1289465
3723,Peter Arnold Heise,1830-02-11,1879-09-12,Denmark,http://www.wikidata.org/entity/Q2075603
3724,Peter Cornelius,1824-12-24,1874-10-26,Germany,http://www.wikidata.org/entity/Q57257
3725,Peter Maxwell Davies,1934-09-08,2016-03-14,United Kingdom,http://www.wikidata.org/entity/Q139223
3734,Peter Winter,1754-08-28,1825-10-17,Germany,http://www.wikidata.org/entity/Q561047
3736,Philip Glass,1937-01-31,2200-01-01,United States of America,http://www.wikidata.org/entity/Q189729
3765,Philippe Boesmans,1936-05-17,2200-01-01,Belgium,http://www.wikidata.org/entity/Q741647
3770,Philippe Hersant,1948-06-21,2200-01-01,Italy,http://www.wikidata.org/entity/Q3380013
3771,Phyllis Tate,1911-04-06,1987-05-29,United Kingdom,http://www.wikidata.org/entity/Q1916985
3772,Pierre Dutillieu,1754-05-15,1798-06-28,France,http://www.wikidata.org/entity/Q3903442
3773,Pierre Montan Berton,1727-01-07,1780-05-14,France,http://www.wikidata.org/entity/Q178336
3775,Pierre de Bréville,1861-02-21,1949-09-24,France,http://www.wikidata.org/entity/Q240908
3776,Pierre-Alexandre Monsigny,1729-10-17,1817-01-14,France,http://www.wikidata.org/entity/Q705124
3783,Pietro Abbà Cornaglia,1851-03-20,1894-05-02,Italy,http://www.wikidata.org/entity/Q1850396
3787,Pietro Alessandro Guglielmi,1728-12-09,1804-11-19,Italy,http://www.wikidata.org/entity/Q2094389
3797,Pietro Carlo Guglielmi,1772-07-11,1817-02-28,United Kingdom,http://www.wikidata.org/entity/Q945430
3799,Pietro Generali,1773-10-23,1832-11-03,Italy,http://www.wikidata.org/entity/Q2006027
3804,Pietro Mascagni,1863-12-07,1945-08-02,Italy,http://www.wikidata.org/entity/Q181894
3819,Pietro Simone Agostini,1635-01-01,1680-10-01,Italy,http://www.wikidata.org/entity/Q3904268
3822,Pirro Albergati,1663-09-20,1735-06-22,Italy,http://www.wikidata.org/entity/Q727802
3825,Placido Mandanici,1799-07-03,1852-06-06,Italy,http://www.wikidata.org/entity/Q3906142
3826,Poul Ruders,1949-03-27,2200-01-01,Denmark,http://www.wikidata.org/entity/Q2429164
3827,Primo Riccitelli,1875-08-09,1941-03-27,Italy,http://www.wikidata.org/entity/Q2695600
3828,Prosper-Didier Deshayes,1750-01-01,1815-01-01,France,http://www.wikidata.org/entity/Q2213078
3829,Pyotr Ilyich Tchaikovsky,1840-05-07,1893-11-06,Russia,http://www.wikidata.org/entity/Q7315
3840,Péter Eötvös,1944-01-02,2200-01-01,Romania,http://www.wikidata.org/entity/Q389851
3844,Rafael Aceves y Lozano,1837-03-20,1876-02-21,Spain,http://www.wikidata.org/entity/Q3780205
3845,Ralph Benatzky,1884-06-05,1957-10-16,Czech Republic,http://www.wikidata.org/entity/Q213592
3855,Ralph Vaughan Williams,1872-10-12,1958-08-26,United Kingdom,http://www.wikidata.org/entity/Q207947
3858,Ramon Carnicer,1789-10-24,1855-03-17,Spain,http://www.wikidata.org/entity/Q1350076
3864,Raoul Laparra,1876-05-13,1943-04-04,France,http://www.wikidata.org/entity/Q2131266
3866,Reginald De Koven,1859-04-03,1920-01-16,United States of America,http://www.wikidata.org/entity/Q4350526
3871,Reginald Smith Brindle,1917-01-05,2003-09-09,United Kingdom,http://www.wikidata.org/entity/Q4424894
3872,Reinhard Keiser,1674-01-09,1739-09-12,Germany,http://www.wikidata.org/entity/Q436126
3886,Revol Bunin,1924-04-06,1976-06-03,Russia,http://www.wikidata.org/entity/Q222741
3888,Reynaldo Hahn,1874-08-09,1947-01-28,Venezuela,http://www.wikidata.org/entity/Q432938
3890,Riccardo Broschi,1698-01-01,1756-01-01,Italy,http://www.wikidata.org/entity/Q725818
3891,Riccardo Pick-Mangiagalli,1882-07-10,1949-07-08,Czech Republic,http://www.wikidata.org/entity/Q3934587
3892,Riccardo Zandonai,1883-05-28,1944-06-05,Italy,http://www.wikidata.org/entity/Q258329
3893,Riccardo Zandonai,1883-05-30,1944-06-05,Italy,http://www.wikidata.org/entity/Q258329
3910,Richard Danielpour,1956-01-28,2200-01-01,United States of America,http://www.wikidata.org/entity/Q6305677
3911,Richard Fall,1882-04-03,1945-01-01,Czech Republic,http://www.wikidata.org/entity/Q88090
3912,Richard Genée,1823-02-07,1895-06-15,Poland,http://www.wikidata.org/entity/Q694654
3915,Richard Heuberger,1850-06-18,1914-10-28,Austria,http://www.wikidata.org/entity/Q701691
3917,Richard Strauss,1864-06-11,1949-09-08,Germany,http://www.wikidata.org/entity/Q13894
3933,Richard Wagner,1813-05-22,1883-02-13,Germany,http://www.wikidata.org/entity/Q1511
3949,Ricky Ian Gordon,1956-05-15,2200-01-01,United States of America,http://www.wikidata.org/entity/Q7332099
3950,Rinaldo di Capua,1705-01-01,1780-01-01,Italy,http://www.wikidata.org/entity/Q1274506
3951,Robert Aldridge,1954-09-07,2200-01-01,United States of America,http://www.wikidata.org/entity/Q7341415
3952,Robert Beaser,1954-05-29,2200-01-01,United States of America,http://www.wikidata.org/entity/Q7341971
3953,Robert Cambert,1628-01-01,1677-01-01,France,http://www.wikidata.org/entity/Q427701
3954,Robert Moran,1937-01-08,2200-01-01,United States of America,http://www.wikidata.org/entity/Q557501
3956,Robert Planquette,1848-07-31,1903-01-28,France,http://www.wikidata.org/entity/Q1921492
3959,Robert Schumann,1810-06-08,1856-07-29,Germany,http://www.wikidata.org/entity/Q7351
3960,Robert Stolz,1880-08-25,1975-06-27,Austria,http://www.wikidata.org/entity/Q45095
3964,Robert Ward,1917-09-13,2013-04-03,United States of America,http://www.wikidata.org/entity/Q1695243
3966,Rodion Shchedrin,1932-12-16,2200-01-01,Russia,http://www.wikidata.org/entity/Q165706
3970,Rodolphe Kreutzer,1766-11-16,1831-01-06,France,http://www.wikidata.org/entity/Q336692
3973,Roger Scruton,1944-02-17,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q445939
3974,Roger Scruton,1944-02-27,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q445939
3975,Rolf Liebermann,1910-09-14,1999-01-02,Switzerland,http://www.wikidata.org/entity/Q688067
3978,Roman Vlad,1919-12-29,2013-09-21,Ukraine,http://www.wikidata.org/entity/Q2343525
3979,Rudi Stephan,1887-07-29,1915-09-29,Germany,http://www.wikidata.org/entity/Q261836
3980,Rudolf Brucci,1917-03-30,2002-10-30,Croatia,http://www.wikidata.org/entity/Q2383926
3981,Rudolf Dellinger,1857-07-08,1910-09-24,Czech Republic,http://www.wikidata.org/entity/Q2172534
3982,Rudolf Friml,1879-12-07,1972-11-12,Czech Republic,http://www.wikidata.org/entity/Q48363
3987,Rudolf Kelterborn,1931-09-03,2200-01-01,Switzerland,http://www.wikidata.org/entity/Q685080
3988,Rudolf Kubín,1909-01-10,1973-01-11,Czech Republic,http://www.wikidata.org/entity/Q4243601
3991,Rudolf Procházka,1864-02-23,1936-03-24,Czech Republic,http://www.wikidata.org/entity/Q2174510
3992,Rued Langgaard,1893-07-28,1952-07-10,Denmark,http://www.wikidata.org/entity/Q149582
3993,Ruggero Leoncavallo,1857-04-23,1919-08-09,Italy,http://www.wikidata.org/entity/Q189015
4003,Ruperto Chapí,1851-03-27,1909-03-25,Spain,http://www.wikidata.org/entity/Q964682
4005,Rutland Boughton,1878-01-23,1960-01-25,United Kingdom,http://www.wikidata.org/entity/Q673401
4008,Salvatore Agnelli,1817-01-01,1878-01-01,Italy,http://www.wikidata.org/entity/Q3470372
4019,Salvatore Allegra,1897-08-17,1993-12-09,Italy,http://www.wikidata.org/entity/Q7406622
4030,Salvatore Sciarrino,1947-04-04,2200-01-01,Italy,http://www.wikidata.org/entity/Q439786
4034,Samuel Adler,1928-03-04,2200-01-01,Germany,http://www.wikidata.org/entity/Q2079069
4038,Samuel Arnold,1740-08-10,1802-10-22,United Kingdom,http://www.wikidata.org/entity/Q1379741
4058,Samuel Barber,1910-03-09,1981-01-23,United States of America,http://www.wikidata.org/entity/Q216870
4061,Samuel L. M. Barlow,1892-06-01,1982-09-19,United States of America,http://www.wikidata.org/entity/Q2217978
4063,Saverio Mercadante,1795-09-16,1870-12-03,Italy,http://www.wikidata.org/entity/Q313980
4064,Saverio Mercadante,1795-09-16,1870-12-17,Italy,http://www.wikidata.org/entity/Q313980
4065,Saverio Mercadante,1797-06-26,1870-12-03,Italy,http://www.wikidata.org/entity/Q313980
4066,Saverio Mercadante,1797-06-26,1870-12-17,Italy,http://www.wikidata.org/entity/Q313980
4271,Scott Joplin,1867-01-01,1917-04-01,United States of America,http://www.wikidata.org/entity/Q191499
4272,Scott Joplin,1868-11-24,1917-04-01,United States of America,http://www.wikidata.org/entity/Q191499
4273,Sebastiano Nasolini,1768-01-01,1798-01-01,Italy,http://www.wikidata.org/entity/Q3953777
4274,Semyon Hulak-Artemovsky,1813-02-16,1873-04-17,Ukraine,http://www.wikidata.org/entity/Q1400433
4275,Sergei Banevich,1941-12-02,2200-01-01,Russia,http://www.wikidata.org/entity/Q4077301
4276,Sergei Cortez,1935-02-18,2016-06-26,Chile,http://www.wikidata.org/entity/Q7453493
4277,Sergei Prokofiev,1891-04-23,1953-03-05,Ukraine,http://www.wikidata.org/entity/Q49481
4290,Sergei Rachmaninoff,1873-04-01,1943-03-28,Russia,http://www.wikidata.org/entity/Q131861
4295,Sergei Slonimsky,1932-08-12,2200-01-01,Russia,http://www.wikidata.org/entity/Q959291
4296,Sergei Taneyev,1856-11-25,1915-06-19,Russia,http://www.wikidata.org/entity/Q335006
4297,Sergio Rendine,1954-09-07,2200-01-01,Italy,http://www.wikidata.org/entity/Q961167
4299,Seymour Barab,1921-01-09,2014-06-28,United States of America,http://www.wikidata.org/entity/Q7459127
4301,Shafiga Akhundova,1924-01-21,2013-07-26,Azerbaijan,http://www.wikidata.org/entity/Q4818291
4303,Siegfried Matthus,1934-04-13,2200-01-01,Russia,http://www.wikidata.org/entity/Q314654
4305,Siegfried Wagner,1869-06-06,1930-08-04,Switzerland,http://www.wikidata.org/entity/Q143867
4308,Sigmund Romberg,1887-07-29,1951-11-09,Hungary,http://www.wikidata.org/entity/Q742945
4311,Simon Mayr,1763-06-14,1845-12-02,Germany,http://www.wikidata.org/entity/Q373770
4337,Sophie Bawr,1773-10-08,1860-12-31,France,http://www.wikidata.org/entity/Q527477
4338,Stanislao Gastaldon,1861-04-08,1939-03-06,Italy,http://www.wikidata.org/entity/Q3968188
4339,Stanislav Suda,1865-04-30,1931-09-01,Czech Republic,http://www.wikidata.org/entity/Q12056020
4343,Stanisław Moniuszko,1819-05-05,1872-04-04,Belarus,http://www.wikidata.org/entity/Q217613
4344,Stanisław Moniuszko,1819-05-05,1872-06-04,Belarus,http://www.wikidata.org/entity/Q217613
4355,Stefano Gobatti,1852-07-05,1913-12-17,Italy,http://www.wikidata.org/entity/Q3972526
4356,Stefano Landi,1587-02-26,1639-10-28,Italy,http://www.wikidata.org/entity/Q381943
4357,Stefano Pavesi,1779-01-22,1850-07-28,Italy,http://www.wikidata.org/entity/Q212720
4362,Stephen Paulus,1949-08-24,2014-10-19,United States of America,http://www.wikidata.org/entity/Q3498629
4363,Steve Nieve,1958-02-19,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q3499035
