,composer,date_of_birth,date_of_death,country,composer_url
1155,Douglas Moore,1893-08-10,1969-07-25,United States of America,http://www.wikidata.org/entity/Q958213
1158,Duchess Anna Amalia of Brunswick-Wolfenbüttel,1739-10-24,1807-04-10,Germany,http://www.wikidata.org/entity/Q241250
1159,Duchess Maria Antonia of Bavaria,1724-07-18,1780-04-23,Germany,http://www.wikidata.org/entity/Q61649
1160,Désiré-Alexandre Batton,1798-01-02,1855-10-15,France,http://www.wikidata.org/entity/Q1270710
1161,E. T. A. Hoffmann,1776-01-24,1822-06-25,Germany,http://www.wikidata.org/entity/Q150471
1163,Ede Poldini,1869-06-13,1957-06-28,Hungary,http://www.wikidata.org/entity/Q1238237
1164,Edison Denisov,1929-04-06,1996-11-24,Russia,http://www.wikidata.org/entity/Q275659
1165,Edmond Audran,1840-04-12,1901-08-17,France,http://www.wikidata.org/entity/Q952983
1201,Edmund Nick,1891-09-22,1974-04-11,Czech Republic,http://www.wikidata.org/entity/Q1286691
1202,Edouard Lalo,1823-01-27,1892-04-22,France,http://www.wikidata.org/entity/Q224002
1203,Eduard Künneke,1885-01-27,1953-10-27,Germany,http://www.wikidata.org/entity/Q392417
1209,Eduard Nápravník,1839-08-24,1916-11-23,Czech Republic,http://www.wikidata.org/entity/Q1289468
1212,Eduard Toldrà,1895-04-07,1962-05-31,Spain,http://www.wikidata.org/entity/Q1290210
1213,Eduard Tubin,1905-06-18,1982-11-17,Estonia,http://www.wikidata.org/entity/Q434931
1215,Edvard Fliflet Bræin,1924-08-23,1976-04-30,Norway,http://www.wikidata.org/entity/Q4567306
1217,Edward German,1862-02-17,1936-11-11,United Kingdom,http://www.wikidata.org/entity/Q2355124
1224,Eef van Breen,1978-01-03,2200-01-01,Netherlands,http://www.wikidata.org/entity/Q1903602
1225,Egidio Duni,1708-02-11,1775-06-11,Italy,http://www.wikidata.org/entity/Q953519
1231,Egon Wellesz,1885-10-21,1974-11-09,Austria,http://www.wikidata.org/entity/Q213680
1232,Eino Tamberg,1930-05-27,2010-12-24,Estonia,http://www.wikidata.org/entity/Q948134
1233,Einojuhani Rautavaara,1928-10-09,2016-07-27,Finland,http://www.wikidata.org/entity/Q433592
1235,Eleanor Alberga,1949-01-01,2200-01-01,Jamaica,http://www.wikidata.org/entity/Q1325702
