,composer,complete_name,dates,uri,work
1677,Gurlitt,Manfred Gurlitt,(1890–1972),http://operabase.com/visual.cgi??lang=en&is=opera&by=Gurlitt,Wozzeck 
1678,Gurlitt,Manfred Gurlitt,(1890–1972),http://operabase.com/visual.cgi??lang=en&is=opera&by=Gurlitt,Soldaten 
1679,Hanke,Stefan Johannes Hanke,(b.1984),http://operabase.com/visual.cgi??lang=en&is=opera&by=Hanke,"Oh, wie schon ist Panama [c]"
1680,Hanke,Stefan Johannes Hanke,(b.1984),http://operabase.com/visual.cgi??lang=en&is=opera&by=Hanke,Der Teufel mit den drei goldenen Haaren [c]
1681,Muhly,Nico Muhly,(b.1981),http://operabase.com/visual.cgi??lang=en&is=opera&by=Muhly,Dark Sisters 
1682,Muhly,Nico Muhly,(b.1981),http://operabase.com/visual.cgi??lang=en&is=opera&by=Muhly,Two Boys 
1683,Pajusaar,Priit Pajusaar,(b.1964),http://operabase.com/visual.cgi??lang=en&is=opera&by=Pajusaar,The Prince and the Pauper [c]
1684,Polskiy,Ilya Polskiy,(b.1924),http://operabase.com/visual.cgi??lang=en&is=opera&by=Polskiy,The Little Tower Chamber [c]
1685,Zandonai,Riccardo Zandonai,(1883–1944),http://operabase.com/visual.cgi??lang=en&is=opera&by=Zandonai,Giulietta e Romeo 
1686,Zandonai,Riccardo Zandonai,(1883–1944),http://operabase.com/visual.cgi??lang=en&is=opera&by=Zandonai,Francesca da Rimini 
1687,Markwick,Steven Markwick,"
 British composer. compositeur britannique. compositore britannico. britischer Komponist.",http://operabase.com/visual.cgi??lang=en&is=opera&by=Markwick,Little Lord [c]
1688,Blanchard,Terence Blanchard,(b.1962),http://operabase.com/visual.cgi??lang=en&is=opera&by=Blanchard,Champion 
1689,d'Albert,Eugen d'Albert,(1864–1932),http://operabase.com/visual.cgi??lang=en&is=opera&by=d'Albert,Tiefland 
1690,Alenius,Louise Alenius,(b.1978),http://operabase.com/visual.cgi??lang=en&is=opera&by=Alenius,Silent Zone 
1691,Chausson,Ernest Chausson,(1855–1899),http://operabase.com/visual.cgi??lang=en&is=opera&by=Chausson,Le Roi Arthus 
1692,Binder,Carl Binder,(1816–1860),http://operabase.com/visual.cgi??lang=en&is=opera&by=Binder,Tannhauser 
1693,Langemann,Michael Langemann,(b.1983),http://operabase.com/visual.cgi??lang=en&is=opera&by=Langemann,Anna Toll 
1694,Langemann,Michael Langemann,(b.1983),http://operabase.com/visual.cgi??lang=en&is=opera&by=Langemann,Persona 
1695,Langemann,Michael Langemann,(b.1983),http://operabase.com/visual.cgi??lang=en&is=opera&by=Langemann,Musik 
1696,Xenakis,Iannis Xenakis,(1922–2001),http://operabase.com/visual.cgi??lang=en&is=opera&by=Xenakis,Oresteia 
1697,Raskatov,Alexander Raskatov,(b.1953),http://operabase.com/visual.cgi??lang=en&is=opera&by=Raskatov,A Dog's Heart 
1698,"Ward,R",Robert Ward,(1917–2013),"http://operabase.com/visual.cgi??lang=en&is=opera&by=Ward,R",The Crucible 
1699,Stolz,Robert Stolz,(1880–1975),http://operabase.com/visual.cgi??lang=en&is=opera&by=Stolz,Spring Parade 
1700,Stolz,Robert Stolz,(1880–1975),http://operabase.com/visual.cgi??lang=en&is=opera&by=Stolz,Zwei Herzen im Dreivierteltakt 
1701,Denisov,Edison Denisov,(1929–1996),http://operabase.com/visual.cgi??lang=en&is=opera&by=Denisov,L'Ecume des jours 
1702,Hearne,Ted Hearne,(b.1982),http://operabase.com/visual.cgi??lang=en&is=opera&by=Hearne,The Source 
1703,Stokes,Tobin Stokes,(b.1966),http://operabase.com/visual.cgi??lang=en&is=opera&by=Stokes,Fallujah 
1704,Stokes,Tobin Stokes,(b.1966),http://operabase.com/visual.cgi??lang=en&is=opera&by=Stokes,Pauline 
1705,Duron,Sebastián Durón,(1660–1716),http://operabase.com/visual.cgi??lang=en&is=opera&by=Duron,El imposible mayor en amor le vence Amor 
1706,Duron,Sebastián Durón,(1660–1716),http://operabase.com/visual.cgi??lang=en&is=opera&by=Duron,La Guerra de los Gigantes 
1707,Galuppi,Baldassare Galuppi,(1706–1784),http://operabase.com/visual.cgi??lang=en&is=opera&by=Galuppi,Alessandro nell'Indie 
1708,Galuppi,Baldassare Galuppi,(1706–1784),http://operabase.com/visual.cgi??lang=en&is=opera&by=Galuppi,L'amante di tutte 
