,clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
1860,"Gilliers, Jean-Claude","Gilliers, Jean-Claude",1667.0,1737.0,France,,opera.stanford,,"Gilliers, Jean-Claude"
1861,"Gillis, Don","Gillis, Don",1912.0,1978.0,United States,,opera.stanford,,"Gillis, Don"
1862,"Gilse, Jan van","Gilse, Jan van",1881.0,1944.0,Netherlands,,opera.stanford,,"Gilse, Jan van"
1863,"Gilson, Paul","Gilson, Paul",1865.0,1942.0,Belgium,,opera.stanford,,"Gilson, Paul"
1864,"Gimenez, ",Gimenez,1854.0,1923.0,Spain,Male,operabase,Gimenez,"Giménez [Jiménez] (y Bellido), Jerónimo"
1865,"Ginastera, Alberto","Ginastera, Alberto (Evaristo)",1916.0,1983.0,Argentina,Male,opera.stanford,Ginastera,"Ginastera, Alberto (Evaristo)"
1866,"Giner y Vidal, Salvador","Giner y Vidal, Salvador",1832.0,1911.0,Spain,,opera.stanford,,"Giner y Vidal, Salvador"
1867,"Giner, ",Giner,1832.0,1911.0,Spain,Male,operabase,Giner,
1868,"Ginoux, ",Ginoux,1978.0,,France,Male,operabase,Ginoux,
1869,"Giordani, Carmine","Giordani, Carmine",1685.0,1758.0,Italy,,opera.stanford,,"Giordani, Carmine"
1870,"Giordani, Giuseppe","Giordani [Giordanello], Giuseppe",1743.0,1798.0,Italy,,opera.stanford,,"Giordani [Giordanello], Giuseppe"
1871,"Giordani, Tommaso","Giordani, Tommaso",1730.0,1806.0,Ireland,,opera.stanford,,"Giordani, Tommaso"
1872,"Giordano, Umberto","Giordano, Umberto",1867.0,1948.0,Italy,,opera.stanford,Giordano,"Giordano, Umberto"
1873,"Giorza, Paolo","Giorza, Paolo",1832.0,1914.0,Italy,,opera.stanford,,"Giorza, Paolo"
1874,"Giró, Manuel","Giró [Jiró], Manuel",1848.0,1916.0,Spain,,opera.stanford,,"Giró [Jiró], Manuel"
1875,"Giraud, François-Joseph","Giraud, François-Joseph",,1790.0,France,,opera.stanford,,"Giraud, François-Joseph"
1876,"Giroust, François","Giroust, François",1737.0,1799.0,France,,opera.stanford,,"Giroust, François"
1877,"Giuliani, Giovanni Francesco","Giuliani, Giovanni Francesco",1760.0,1818.0,Italy,,opera.stanford,,"Giuliani, Giovanni Francesco"
1878,"Giuranna, Barbara","Giuranna, (Elena) Barbara",1902.0,1998.0,Italy,,opera.stanford,,"Giuranna, (Elena) Barbara"
1879,"Gläser, Franz","Gläser [Glaeser], Franz (Joseph)",1798.0,1861.0,Austria,,opera.stanford,,"Gläser [Glaeser], Franz (Joseph)"
1880,"Glösch, Carl Wilhelm","Glösch, Carl Wilhelm",1732.0,1809.0,Germany,,opera.stanford,,"Glösch, Carl Wilhelm"
1881,"Glínski, Mateusz","Glínski [Hercenstein], Mateusz [Matteo]",1892.0,1976.0,Poland,,opera.stanford,,"Glínski [Hercenstein], Mateusz [Matteo]"
1882,"Glachant, Antoine-Charles","Glachant, Antoine-Charles",1770.0,1851.0,France,,opera.stanford,,"Glachant, Antoine-Charles"
1883,"Glanert, ",Glanert,1960.0,,Germany,Male,operabase,Glanert,
1884,"Glanville-Hicks, Peggy","Glanville-Hicks, Peggy",1912.0,1990.0,Australia,,opera.stanford,,"Glanville-Hicks, Peggy"
1885,"Glaser, Werner Wolf","Glaser, Werner Wolf",1910.0,2006.0,Sweden,,opera.stanford,,"Glaser, Werner Wolf"
1886,"Glass, Philip","Glass, Philip",1937.0,,United States,,opera.stanford,Glass,"Glass, Philip"
1887,"Gleason, Frederick Grant","Gleason, Frederick Grant",1848.0,1903.0,United States,,opera.stanford,,"Gleason, Frederick Grant"
1888,"Glebov, Evgeny","Glebov, Evgeny",1929.0,,Russia,,opera.stanford,,"Glebov, Evgeny"
1889,"Gleisman, Carl Erik","Gleisman, Carl Erik",1767.0,1804.0,Sweden,,opera.stanford,,"Gleisman, Carl Erik"
1890,"Glier, Reyngold","Glier [Glière], Reyngol'd [Reinhold] (Moritsevich)",1875.0,1956.0,Ukraine,,opera.stanford,,"Glier [Glière], Reyngol'd [Reinhold] (Moritsevich)"
1891,"Glinka, Mikhail","Glinka, Mikhail (Ivanovich)",1804.0,1857.0,Russia,,opera.stanford,Glinka,"Glinka, Mikhail (Ivanovich)"
1892,"Glodeanu, Liviu","Glodeanu, Liviu",1938.0,1978.0,Romania,,opera.stanford,,"Glodeanu, Liviu"
1893,"Glory, Caroline",Glory Caroline,,,France,Female,operabase,Glory,
1894,"Glover, John William","Glover, John William",1815.0,1899.0,Ireland,,opera.stanford,Glover,"Glover, John William"
1895,"Glover, William Howard","Glover, William Howard",1819.0,1875.0,United Kingdom,,opera.stanford,,"Glover, William Howard"
1896,"Gluck, Christoph Willibald","Gluck, Christoph Willibald",1714.0,1787.0,Austria,,opera.stanford,Gluck,"Gluck, Christoph Willibald"
1897,"Gnecchi, Vittorio","Gnecchi, Vittorio",1876.0,1954.0,Italy,,opera.stanford,Gnecchi,"Gnecchi, Vittorio"
1898,"Gnecco, Francesco","Gnecco, Francesco",1769.0,1810.0,Italy,,opera.stanford,,"Gnecco, Francesco"
1899,"Gnesin, Mikhail","Gnesin, Mikhail (Fabianovich)",1882.0,1957.0,Russia,,opera.stanford,,"Gnesin, Mikhail (Fabianovich)"
1900,"Gobatti, Stefano","Gobatti, Stefano",1852.0,1913.0,Italy,,opera.stanford,,"Gobatti, Stefano"
1901,"Godard, Benjamin","Godard, Benjamin (Louis Paul)",1849.0,1895.0,France,,opera.stanford,Godard,"Godard, Benjamin (Louis Paul)"
1902,"Godefroid, Félix","Godefroid, (Dieudonné Joseph Guillaume) Félix",1818.0,1897.0,Belgium,,opera.stanford,,"Godefroid, (Dieudonné Joseph Guillaume) Félix"
1903,"Godefroid, Jules","Godefroid, Jules",1811.0,1840.0,Belgium,,opera.stanford,,"Godefroid, Jules"
1904,"Godron, Hugo","Godron, Hugo",1900.0,1971.0,Netherlands,,opera.stanford,,"Godron, Hugo"
1905,"Goebbels, ",Goebbels,1952.0,,Germany,Male,operabase,Goebbels,
1906,"Goehr, Alexander","Goehr, (Peter) Alexander",1932.0,,Germany,,opera.stanford,,"Goehr, (Peter) Alexander"
1907,"Goepfart, Karl Eduard","Goepfart, Karl Eduard",1859.0,1942.0,Germany,,opera.stanford,,"Goepfart, Karl Eduard"
1908,"Goepp, Philip H","Goepp, Philip H(enry)",1864.0,1936.0,United States,,opera.stanford,,"Goepp, Philip H(enry)"
1909,"Goetz, Hermann","Goetz, Hermann (Gustav)",1840.0,1876.0,Germany,,opera.stanford,,"Goetz, Hermann (Gustav)"
1910,"Goetze, Walter W.","Goetze, Walter W.",1883.0,1961.0,Germany,,opera.stanford,,"Goetze, Walter W."
1911,"Goh, Taijiro","Goh, Taijiro",1907.0,1970.0,Japan,,opera.stanford,,"Goh, Taijiro"
1912,"Goldbeck, Robert","Goldbeck, Robert",1839.0,1908.0,Germany,,opera.stanford,,"Goldbeck, Robert"
1913,"Goldberg, Theo","Goldberg, Theo",1921.0,,Germany,,opera.stanford,,"Goldberg, Theo"
1914,"Goldmann, Friedrich","Goldmann, Friedrich",1941.0,,Germany,,opera.stanford,Goldmann,"Goldmann, Friedrich"
1915,"Goldmark, Karl","Goldmark, Karl [Károly, Carl]",1830.0,1915.0,Hungary,,opera.stanford,Goldmark,"Goldmark, Karl [Károly, Carl]"
1916,"Goldschmidt, Adalbert von","Goldschmidt, Adalbert von",1848.0,1906.0,Austria,,opera.stanford,Goldschmidt,"Goldschmidt, Adalbert von"
1917,"Goldschmidt, Berthold","Goldschmidt, Berthold",1903.0,1996.0,Germany,,opera.stanford,,"Goldschmidt, Berthold"
1918,"Goleminov, Marin","Goleminov, Marin",1908.0,2000.0,Bulgaria,,opera.stanford,,"Goleminov, Marin"
1919,"Golijov, ",Golijov,1960.0,,Argentina,Male,operabase,Golijov,
1920,"Golishev, Efim","Golishev, Efim [Jef]",1897.0,1970.0,Ukraine,,opera.stanford,,"Golishev, Efim [Jef]"
1921,"Gollmick, Adolf","Gollmick, Adolf",1825.0,1883.0,Germany,,opera.stanford,,"Gollmick, Adolf"
