"","work_x","composer_x","work_key"
"3790","Intermezzo","Strauss","Q1474467"
"562","Iolanta","Tchaikovsky","Q1043372"
"25385","Iolanthe","Sullivan","Q3154075"
"14456","Iphigénie en Tauride","Gluck","Q687822"
"14455","Iphigénie en Tauride","Gluck","Q784166"
"14458","Iphigénie en Tauride","Gluck","Q3801573"
"14457","Iphigénie en Tauride","Gluck","Q784166"
"756","It's A Wonderful Life","Heggie","Q39074124"
"47066","Jackie O","Daugherty","Q3805719"
"9253","Jérusalem","Verdi","Q914332"
"12662","Khovanshchina","Mussorgsky","Q917711"
"12108","King Roger","Szymanowski","Q3041659"
"59443","Kullervo","Sallinen","Q11873263"
"47043","Königskinder","Humperdinck","Q1413471"
"14513","L'Africaine","Meyerbeer","Q784719"
"4998","L'Amour de loin","Saariaho","Q1093081"
"6593","L'Enfant et les sortilèges","Ravel","Q267467"
"6128","L'Heure espagnole","Ravel","Q593319"
"15617","L'amico Fritz","Mascagni","Q578706"
"24616","L'amore dei tre re","Montemezzi","Q2342484"
"3611","L'arbore di Diana","Martin y Soler","Q6455890"
"22925","L'arlesiana","Cilea","Q2288398"
"3621","L'assedio di Calais","Donizetti","Q846737"
"435","L'elisir d'amore","Donizetti","Q332536"
"46596","L'isola disabitata","Haydn","Q468384"
"2493","L'italiana in Algeri","Rossini","Q589932"
"24391","L'Étoile","Chabrier","Q1197145"
"33158","La Belle Hélène","Offenbach","Q1219408"
"50375","La Belle et la bête","Glass","Q3206620"
"3596","La Calisto","Cavalli","Q536064"
"1260","La Cenerentola","Rossini","Q176700"
"17122","La Damnation de Faust","Berlioz","Q1144992"
"6252","La Favorite","Donizetti","Q467394"
"504","La Fille du régiment","Donizetti","Q729568"
"19493","La Gioconda","Ponchielli","Q748840"
"32259","La Juive","Halévy","Q339043"
"15189","La Navarraise","Massenet","Q2709440"
"3920","La Pietra del paragone","Rossini","Q471573"
"12591","La Périchole","Offenbach","Q730336"
"22042","La Vie Parisienne","Offenbach","Q1807287"
"3394","La Voix humaine","Poulenc","Q36084"
"7863","La Wally","Catalani","Q654861"
"49","La bohème","Puccini","Q984983"
"48","La bohème","Puccini","Q188621"
"305","La clemenza di Tito","Mozart","Q578526"
"304","La clemenza di Tito","Mozart","Q11930981"
"303","La clemenza di Tito","Mozart","Q3500574"
"302","La clemenza di Tito","Mozart","Q18344619"
"301","La clemenza di Tito","Mozart","Q30600785"
"9374","La descente d'Orphée aux Enfers","Charpentier","Q6466096"
"7627","La donna del lago","Rossini","Q220699"
"937","La fanciulla del West","Puccini","Q460319"
"6959","La finta giardiniera","Mozart","Q3822417"
"6960","La finta giardiniera","Mozart","Q785991"
"15193","La forza del destino","Verdi","Q212451"
"1352","La gazzetta","Rossini","Q55064263"
"1351","La gazzetta","Rossini","Q509761"
"4100","La hija de Rappaccini","Catán","Q54999578"
"1020","La rondine","Puccini","Q845556"
"38471","La serva padrona","Pergolesi","Q378237"
"38472","La serva padrona","Pergolesi","Q21086206"
"9182","La sonnambula","Bellini","Q753123"
"2914","La straniera","Bellini","Q785347"
"7","La traviata","Verdi","Q186162"
"7286","Lakmé","Delibes","Q776107"
"12190","Le 66","Offenbach","Q6506507"
"6845","Le Cid","Massenet","Q899440"
"8766","Le Comte Ory","Rossini","Q734560"
"29328","Le Grand Macabre","Ligeti","Q1062427"
"26888","Le Portrait de Manon","Massenet","Q931054"
"8407","Le Villi","Puccini","Q845606"
"4636","Leonore","Beethoven","Q2108712"
"4083","Les Enfants terribles","Glass","Q3232408"
"38160","Les Huguenots","Meyerbeer","Q466848"
"4076","Les Indes galantes","Rameau","Q583297"
"6077","Les Mamelles de Tirésias","Poulenc","Q4692200"
"5082","Les Troyens","Berlioz","Q472325"
"54142","Les Vêpres Siciliennes","Verdi","Q471645"
"3167","Les contes d'Hoffmann","Offenbach","Q335012"
"43923","Lilith","Drattell","Q6547856"
"42321","Linda di Chamounix","Donizetti","Q669382"
