"","composer","work","work_url"
"112","Boito","Mefistofele","http://www.wikidata.org/entity/Q935669"
"113","Bellini","La sonnambula","http://www.wikidata.org/entity/Q753123"
"114","Wagner","Lohengrin","http://www.wikidata.org/entity/Q23085"
"115","Handel","Ariodante","http://www.wikidata.org/entity/Q662514"
"116","Wagner","Tristan and Isolde","http://www.wikidata.org/entity/Q1324254"
"117","Wagner","Götterdämmerung","http://www.wikidata.org/entity/Q272029"
"118","Heggie","Moby-Dick","http://www.wikidata.org/entity/Q3317708"
"119","Menotti","The Old Maid and the Thief","http://www.wikidata.org/entity/Q487249"
"120","Verdi","Attila","http://www.wikidata.org/entity/Q211460"
"121","Donizetti","La Fille du régiment","http://www.wikidata.org/entity/Q729568"
"122","Handel","Agrippina","http://www.wikidata.org/entity/Q397041"
"123","Tchaikovsky","The Queen of Spades","http://www.wikidata.org/entity/Q221047"
"124","Donizetti","Maria Stuarda","http://www.wikidata.org/entity/Q377685"
"125","Ponchielli","La Gioconda","http://www.wikidata.org/entity/Q748840"
"126","Humperdinck","Hänsel und Gretel","http://www.wikidata.org/entity/Q1099668"
"127","Wagner","Die Walkure","http://www.wikidata.org/entity/Q324319"
"128","Britten","Noye's Fludde","http://www.wikidata.org/entity/Q1218977"
"129","Strauss","Capriccio","http://www.wikidata.org/entity/Q1034949"
"130","Gluck","Orpheus and Eurydice","http://www.wikidata.org/entity/Q723776"
"131","Handel","Rodelinda","http://www.wikidata.org/entity/Q641095"
"132","Massenet","Thaïs","http://www.wikidata.org/entity/Q1144467"
"133","Blitzstein","Regina","http://www.wikidata.org/entity/Q54992356"
"134","Strauss","Arabella","http://www.wikidata.org/entity/Q390779"
"135","Berlioz","Beatrice and Benedict","http://www.wikidata.org/entity/Q791661"
"136","Romberg","The Student Prince","http://www.wikidata.org/entity/Q2414478"
"137","Offenbach","Orpheus in the Underworld","http://www.wikidata.org/entity/Q1137065"
"138","Wagner","Parsifal","http://www.wikidata.org/entity/Q220340"
"139","Verdi","Don Carlos","http://www.wikidata.org/entity/Q179110"
"140","Handel","Alcina","http://www.wikidata.org/entity/Q275627"
"141","Rorem","Our Town","http://www.wikidata.org/entity/Q7111217"
"142","Glass","Akhnaten","http://www.wikidata.org/entity/Q417738"
"143","Glass","Hydrogen Jukebox","http://www.wikidata.org/entity/Q3143733"
"144","Rossini","Tancredi","http://www.wikidata.org/entity/Q911443"
"145","Rossini","Le Comte Ory","http://www.wikidata.org/entity/Q734560"
"146","Nicolai","The Merry Wives of Windsor","http://www.wikidata.org/entity/Q615663"
"147","Shostakovich","Lady Macbeth of Mtsensk","http://www.wikidata.org/entity/Q48614"
"148","Verdi","Stiffelio","http://www.wikidata.org/entity/Q371584"
"149","Gordon","The Grapes of Wrath","http://www.wikidata.org/entity/Q7737554"
"150","Britten","Death in Venice","http://www.wikidata.org/entity/Q630476"
"151","Mozart","Il re pastore","http://www.wikidata.org/entity/Q470899"
"152","Smetana","The Bartered Bride","http://www.wikidata.org/entity/Q907745"
"153","Verdi","La forza del destino","http://www.wikidata.org/entity/Q212451"
"154","Tchaikovsky","Iolanta","http://www.wikidata.org/entity/Q1043372"
"155","Rossini","La donna del lago","http://www.wikidata.org/entity/Q220699"
"156","Corigliano","The Ghosts of Versailles","http://www.wikidata.org/entity/Q7736351"
"157","Ravel","L'Enfant et les sortilèges","http://www.wikidata.org/entity/Q267467"
"158","Offenbach","The Grand Duchess of Gerolstein","http://www.wikidata.org/entity/Q1213194"
"159","Offenbach","La Belle Hélène","http://www.wikidata.org/entity/Q1219408"
"160","Bolcom","A View from the Bridge","http://www.wikidata.org/entity/Q54992434"
"161","Verdi","Ernani","http://www.wikidata.org/entity/Q211279"
"162","Giordano","Fedora","http://www.wikidata.org/entity/Q1400824"
"163","Handel","Rinaldo","http://www.wikidata.org/entity/Q767249"
"164","Donizetti","Roberto Devereux","http://www.wikidata.org/entity/Q672708"
"165","Rossini","Semiramide","http://www.wikidata.org/entity/Q900744"
