,work,date,language,work_url
24652,Götterdämmerung,1998-06-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/12043
24653,Der Freischütz,1998-06-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13132
24654,La Bohème (Puccini),1998-06-16,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13353
24655,Don Carlo (Ital.),1998-06-17,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/10642
24656,Der Freischütz,1998-06-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13138
24657,Aida,1998-06-19,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/167
24658,I Vespri Siciliani,1998-06-20,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7669
24659,Don Carlo (Ital.),1998-06-21,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/10643
24660,Tannhäuser und der Sängerkrieg auf Wartburg,1998-06-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7034
24661,Aida,1998-06-23,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/191
24662,Così fan tutte,1998-06-24,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/1044
24663,I Vespri Siciliani,1998-06-24,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7670
24664,Così fan tutte,1998-06-25,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/1043
24665,Don Carlo (Ital.),1998-06-25,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/10644
24666,Tannhäuser und der Sängerkrieg auf Wartburg,1998-06-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7037
24667,Aida,1998-06-27,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/192
24668,Così fan tutte,1998-06-27,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/1045
24669,Così fan tutte,1998-06-29,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/1046
24670,I Vespri Siciliani,1998-06-29,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7671
24671,Tannhäuser und der Sängerkrieg auf Wartburg,1998-06-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7038
24672,Fidelio,1998-07-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/6219
24673,I Vespri Siciliani,1998-09-01,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7672
24674,Die Zauberflöte,1998-09-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7343
24675,Rienzi,1998-09-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13122
24676,Les Contes d'Hoffmann,1998-09-04,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/13292
24677,I Vespri Siciliani,1998-09-05,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7673
24678,Rienzi,1998-09-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13124
24679,Der Rosenkavalier,1998-09-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/3343
24680,Les Contes d'Hoffmann,1998-09-08,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/13293
24681,I Vespri Siciliani,1998-09-09,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7674
24682,Rienzi,1998-09-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13125
24683,Ariadne auf Naxos,1998-09-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11895
24684,Tosca,1998-09-12,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5470
24685,Carmen,1998-09-13,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14998
24686,Ariadne auf Naxos,1998-09-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11896
24687,Hérodiade,1998-09-15,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14048
24688,Carmen,1998-09-16,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14999
24689,Le nozze di Figaro,1998-09-17,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5506
24690,Das Rheingold,1998-09-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11279
24691,Hérodiade,1998-09-19,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14051
24692,Die Walküre,1998-09-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11038
24693,Le nozze di Figaro,1998-09-21,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5510
24694,Stiffelio,1998-09-22,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/2233
24695,Le nozze di Figaro,1998-09-25,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5511
24696,Stiffelio,1998-09-26,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/2234
24697,Siegfried,1998-09-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/11980
24698,Un ballo in maschera,1998-09-28,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/8545
24699,Fidelio,1998-09-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/6220
24700,Un ballo in maschera,1998-10-01,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/8547
24701,Der Rosenkavalier,1998-10-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/3347
24702,Fidelio,1998-10-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/6221
24703,Götterdämmerung,1998-10-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/12044
24704,Rigoletto,1998-10-05,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6515
24705,Mefistofele,1998-10-06,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13786
24706,Le Prophète,1998-10-07,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/8937
24707,Rigoletto,1998-10-09,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6517
24708,Mefistofele,1998-10-10,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13891
24709,Die Zauberflöte,1998-10-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7348
24710,Le Prophète,1998-10-12,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/8938
24711,Die Zauberflöte,1998-10-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/7353
24712,Il trovatore,1998-10-15,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7600
24713,Fedora,1998-10-16,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/129
24714,Il trovatore,1998-10-18,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/7601
24715,Fedora,1998-10-19,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/130
24716,Il barbiere di Siviglia,1998-10-21,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/10611
24717,L' elisir d'amore,1998-10-22,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/504
24718,Jérusalem,1998-10-23,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/708
24719,Guillaume Tell,1998-10-24,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/4550
24720,Die Entführung aus dem Serail,1998-10-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/2766
24721,Carmen,1998-10-26,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/15000
24722,Jérusalem,1998-10-27,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/709
24723,Guillaume Tell,1998-10-28,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/4556
24724,Die Entführung aus dem Serail,1998-10-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/2767
24725,Eugen Onegin,1998-10-30,in russischer Sprache,https://archiv.wiener-staatsoper.at/performances/14636
24726,Guillaume Tell,1998-10-31,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/4558
24727,La Bohème (Puccini),1998-11-01,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13354
24728,Der Freischütz,1998-11-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13143
24729,Eugen Onegin,1998-11-03,in russischer Sprache,https://archiv.wiener-staatsoper.at/performances/14638
24730,Guillaume Tell,1998-11-04,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/4561
24731,Eugen Onegin,1998-11-06,in russischer Sprache,https://archiv.wiener-staatsoper.at/performances/14639
24732,Guillaume Tell,1998-11-07,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/4563
24733,Der Freischütz,1998-11-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/13148
24734,Tosca,1998-11-10,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/5473
24735,Guillaume Tell,1998-11-11,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/4699
24736,Madama Butterfly,1998-11-13,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/8716
24737,Fedora,1998-11-14,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/131
24738,L' italiana in Algeri,1998-11-15,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/559
24739,Fedora,1998-11-16,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/132
24740,Peter Grimes,1998-11-17,in englischer Sprache,https://archiv.wiener-staatsoper.at/performances/6178
24741,Don Carlo (Ital.),1998-11-18,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/10645
24742,L' italiana in Algeri,1998-11-19,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/560
24743,Peter Grimes,1998-11-21,in englischer Sprache,https://archiv.wiener-staatsoper.at/performances/6183
24744,Don Carlo (Ital.),1998-11-22,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/10646
24745,Stiffelio,1998-11-23,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/2235
24746,Elektra,1998-11-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/9186
24747,Peter Grimes,1998-11-25,in englischer Sprache,https://archiv.wiener-staatsoper.at/performances/6184
24748,Stiffelio,1998-11-26,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/2236
24749,Elektra,1998-11-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/9188
