,work,composer,librettist,theatre,date
9313,General,,,Friends of Scottish Opera,2015-02-08
9314,General,,,"Old Well Theatre, Moffat",2015-02-06
9315,Marriage Contract,Gioachino Rossini,Gaetano Rossi,"Westbourne Music, Glasgow",2015-02-12
9316,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,"Arts Centre, Birnam",2015-02-12
9317,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,Strathpeffer Pavilion,2015-02-13
9318,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,"Town Hall, Lossiemouth",2015-02-14
9319,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,"Community Theatre, Peterhead",2015-02-16
9320,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,Gardyne Theatre,2015-02-17
9321,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,"Memorial Hall, Lanark",2015-02-18
9322,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,Easterbrook Hall,2015-02-20
9323,Gianni Schicchi,Giacomo Puccini,Giovacchino Forzano,Ryan Centre,2015-02-21
9324,General,,,"Astley Hall, Arisaig",2015-02-14
9325,General,,,"Eastgate Arts Centre, Peebles",2015-02-17
9326,General,,,Fullarton Theatre,2015-02-19
9327,General,,,"Town Hall, Cumnock",2015-02-21
9328,General,,,"Universal Hall, Findhorn",2015-02-24
9329,General,,,Golspie High School,2015-02-26
9330,General,,,Woodend Barn,2015-02-28
9331,General,,,"Volunteer Hall, Duns",2015-03-03
9332,General,,,"McLaren Hall, Killin",2015-03-05
9333,General,,,Regal Community Theatre,2015-03-07
9334,General,,,Edinburgh Society of Musicians,2015-02-15
9335,Orpheus and Euridice,Christoph Willibald Gluck,"Raniero da Calzabigi
				Pierre Louis Moline","Theatre Royal, Glasgow",2015-02-19
9336,Orpheus and Euridice,Christoph Willibald Gluck,"Raniero da Calzabigi
				Pierre Louis Moline","Theatre Royal, Glasgow",2015-02-22
9337,Orpheus and Euridice,Christoph Willibald Gluck,"Raniero da Calzabigi
				Pierre Louis Moline","Theatre Royal, Glasgow",2015-02-25
9338,Orpheus and Euridice,Christoph Willibald Gluck,"Raniero da Calzabigi
				Pierre Louis Moline","Theatre Royal, Glasgow",2015-02-28
9339,Orpheus and Euridice,Christoph Willibald Gluck,"Raniero da Calzabigi
				Pierre Louis Moline","Festival Theatre, Edinburgh",2015-03-03
9340,Orpheus and Euridice,Christoph Willibald Gluck,"Raniero da Calzabigi
				Pierre Louis Moline","Festival Theatre, Edinburgh",2015-03-05
9341,Orpheus and Euridice,Christoph Willibald Gluck,"Raniero da Calzabigi
				Pierre Louis Moline","Festival Theatre, Edinburgh",2015-03-07
9342,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,Lauriston Halls,2015-02-24
9343,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,Lauriston Halls,2015-02-25
9344,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,Lauriston Halls,2015-02-27
9345,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,Lauriston Halls,2015-02-28
9346,General,,,Friends of Scottish Opera,2015-02-25
9347,General,,,"Theatre Royal, Glasgow",2015-02-27
9348,General,,,Friends of Scottish Opera,2015-03-01
9349,Dido and Aeneas,Henry Purcell,Nahum Tate,Royal Conservatoire of Scotland,2015-03-04
9350,Dido and Aeneas,Henry Purcell,Nahum Tate,Royal Conservatoire of Scotland,2015-03-05
9351,Dido and Aeneas,Henry Purcell,Nahum Tate,Royal Conservatoire of Scotland,2015-03-06
9352,Dido and Aeneas,Henry Purcell,Nahum Tate,Royal Conservatoire of Scotland,2015-03-07
