clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Cope, David","Cope, David (Howell)",1941,,United States,,opera.stanford,,"Cope, David (Howell)"
"Copeland, ",Copeland,1952,,United States,Male,operabase,Copeland,
"Copland, Aaron","Copland, Aaron",1900,1990,United States,,opera.stanford,Copland,"Copland, Aaron"
"Coppola, Piero","Coppola, Piero",1888,1971,Italy,,opera.stanford,,"Coppola, Piero"
"Coppola, Pietro Antonio","Coppola, Pietro Antonio (Pierantonio)",1793,1877,Italy,,opera.stanford,,"Coppola, Pietro Antonio (Pierantonio)"
"Coquard, Arthur","Coquard, Arthur(-Joseph)",1846,1910,France,,opera.stanford,,"Coquard, Arthur(-Joseph)"
"Corbett, ",Corbett,1960,,United States,Male,operabase,Corbett,
"Corbisieri, Francesco","Corbisieri [Corbisiero], Francesco",1730,1802,Italy,,opera.stanford,,"Corbisieri [Corbisiero], Francesco"
"Corbisiero, Antonio","Corbisiero, Antonio",1720,,Italy,,opera.stanford,,"Corbisiero, Antonio"
"Cordans, Bartolomeo","Cordans, Bartolomeo",1700,1757,Italy,,opera.stanford,,"Cordans, Bartolomeo"
"Cordeiro, da Silva",Cordeiro da Silva,1735,1808,Portugal,Male,operabase,Cordeiro da Silva,
"Cordella, Geronimo","Cordella, Geronimo",,,Italy,,opera.stanford,,"Cordella, Geronimo"
"Cordella, Giacomo","Cordella, Giacomo",1786,1846,Italy,,opera.stanford,,"Cordella, Giacomo"
"Corder, Frederick","Corder, Frederick",1852,1932,United Kingdom,,opera.stanford,,"Corder, Frederick"
"Corder, Paul","Corder, Paul",1879,1942,United Kingdom,,opera.stanford,,"Corder, Paul"
"Corghi, ",Corghi,1937,,Italy,Male,operabase,Corghi,
"Corigliano, John","Corigliano, John (Paul)",1938,,United States,,opera.stanford,Corigliano,"Corigliano, John (Paul)"
"Cornacchioli, Giacinto","Cornacchioli, Giacinto",1598,1673,Italy,,opera.stanford,,"Cornacchioli, Giacinto"
"Cornejo, Rodolfo","Cornejo, Rodolfo (Soldevilla)",1909,,Philippines,,opera.stanford,,"Cornejo, Rodolfo (Soldevilla)"
"Cornelius, ",Cornelius ,1824,1874,Germany,Male,operabase,Cornelius,"Cornelius, (Carl August) Peter"
"Coronaro, Antonio","Coronaro, Antonio",1851,1933,Italy,,opera.stanford,,"Coronaro, Antonio"
"Coronaro, Gaetano","Coronaro, Gaetano",1852,1908,Italy,,opera.stanford,,"Coronaro, Gaetano"
"Coronaro, Gellio","Coronaro, Gellio (Benvenuto)",1863,1916,Italy,,opera.stanford,,"Coronaro, Gellio (Benvenuto)"
"Corradini, Francesco","Corradini [Coradigni, Coradini], Francesco",1700,1749,Spain,,opera.stanford,,"Corradini [Coradigni, Coradini], Francesco"
"Corrado, ",Corrado,1979,,Italy,Male,operabase,Corrado,
"Correia de Oliveira, Fernando","Correia de Oliveira, Fernando",1921,,Portugal,,opera.stanford,,"Correia de Oliveira, Fernando"
"Corri, Clarence Collingwood","Corri, Clarence Collingwood",1863,1918,United Kingdom,,opera.stanford,,"Corri, Clarence Collingwood"
"Corri, Domenico","Corri, Domenico",1744,1825,Italy,,opera.stanford,,"Corri, Domenico"
"Corri, Philip Anthony","Corri [Clifton, Arthur], Philip Anthony",1784,1832,United Kingdom,,opera.stanford,,"Corri [Clifton, Arthur], Philip Anthony"
"Corselli, Francesco","Corselli [Courcelle], Francesco [Francisco]",1702,1778,Italy,,opera.stanford,,"Corselli [Courcelle], Francesco [Francisco]"
"Corsi, Jacopo","Corsi, Jacopo",1560,1602,Italy,,opera.stanford,,"Corsi, Jacopo"
"Cortés, Ramiro","Cortés, Ramiro",1933,1984,United States,,opera.stanford,,"Cortés, Ramiro"
"Cortese, Luigi","Cortese, Luigi [Louis]",1899,1976,Italy,,opera.stanford,,"Cortese, Luigi [Louis]"
"Cortesi, Francesco","Cortesi, Francesco",1826,1904,Italy,,opera.stanford,,"Cortesi, Francesco"
"Cortinas, César","Cortinas, César",1890,1918,Uruguay,,opera.stanford,,"Cortinas, César"
"Cortolezis, Fritz","Cortolezis, Fritz",1878,1934,Germany,,opera.stanford,,"Cortolezis, Fritz"
"Cossoul, Guilherme António","Cossoul, Guilherme António",1828,1880,Portugal,,opera.stanford,,"Cossoul, Guilherme António"
"Costa,","Costa,",,,United Kingdom,,opera.stanford,,"Costa,"
"Costa, João Evangelista Pereira da","Costa, João Evangelista Pereira da",1798,1832,Portugal,,opera.stanford,,"Costa, João Evangelista Pereira da"
"Costanzi, Giovanni Battista","Costanzi, Giovanni Battista",,,Italy,,opera.stanford,,"Costanzi, Giovanni Battista"
"Cotapos, Acario","Cotapos (Baeza), Acario",1889,1969,Chile,,opera.stanford,,"Cotapos (Baeza), Acario"
"Cotel, Moshe","Cotel, ",1943,2008,United States,,opera.stanford,,"Cotel, "
"Courvoisier, Walter","Courvoisier, Walter",1875,1931,Switzerland,,opera.stanford,,"Courvoisier, Walter"
"Coward,","Coward, ",,,United Kingdom,,opera.stanford,,"Coward, "
"Cowell, Henry","Cowell, Henry (Dixon)",1897,1965,United States,,opera.stanford,,"Cowell, Henry (Dixon)"
"Cowen,","Cowen, ",,,United Kingdom,,opera.stanford,,"Cowen, "
"Cowie, Edward","Cowie, Edward",1943,,United Kingdom,,opera.stanford,,"Cowie, Edward"
"Cox, David","Cox, David (Vassall)",1916,1997,United Kingdom,,opera.stanford,,"Cox, David (Vassall)"
"Crabtree, ",Crabtree,1960,,United States,Male,operabase,Crabtree,
"Crafts, Daniel Steven","Crafts, Daniel Steven",,,United States,,opera.stanford,,"Crafts, Daniel Steven"
"Cras, Jean Émile Paul","Cras, Jean Émile Paul",1879,,France,,opera.stanford,,"Cras, Jean Émile Paul"
"Craven, Elizabeth","Craven, Elizabeth",1750,1828,United Kingdom,,opera.stanford,,"Craven, Elizabeth"
"Crews, Lucile","Crews, Lucile",1888,1972,United States,,opera.stanford,,"Crews, Lucile"
"Crispi, Pietro Maria","Crispi, Pietro Maria",1737,1797,Italy,,opera.stanford,,"Crispi, Pietro Maria"
"Crosse, Gordon","Crosse, Gordon",1937,,United Kingdom,,opera.stanford,,"Crosse, Gordon"
"Crouch, Frederick Nicholls","Crouch, Frederick Nicholls",1808,1896,United Kingdom,,opera.stanford,,"Crouch, Frederick Nicholls"
"Crozier, Daniel",Crozier Daniel,1965,,United States,Male,operabase,Crozier,
"Crusell, Bernhard Henrik","Crusell, Bernhard Henrik",1775,1838,Finland,,opera.stanford,,"Crusell, Bernhard Henrik"
"Cruz, ",Cruz,1986,,Colombia,Female,operabase,Cruz,
"Csiky, Boldizsár","Csiky, Boldizsár",1937,,Romania,,opera.stanford,,"Csiky, Boldizsár"
"Cuclin, Dimitrie","Cuclin, Dimitrie",1885,1978,Romania,,opera.stanford,,"Cuclin, Dimitrie"
"Cugny, ",Cugny,1955,,France,Male,operabase,Cugny,
"Cui, ",Cui,1835,1918,Russia,Male,operabase,Cui,"Cui [Kyui], César [Tsezar] (Antonovich)"
"Culwick, James C.","Culwick, James C.",1845,1907,Ireland,,opera.stanford,,"Culwick, James C."
"Cumbersworth, Starling","Cumbersworth, Starling",1915,1985,United States,,opera.stanford,,"Cumbersworth, Starling"
"Cuomo, ",Cuomo,1958,,United States,Male,operabase,Cuomo,
"Curci, Giuseppe","Curci, Giuseppe",1808,1877,Italy,,opera.stanford,,"Curci, Giuseppe"
"Curmi, Alessandro","Curmi, Alessandro",1801,1857,Malta,,opera.stanford,,"Curmi, Alessandro"
"Current, ",Current,1972,,Canada,Male,operabase,Current,
"Curschmann, Karl Friedrich","Curschmann, Karl Friedrich",1805,1841,Germany,,opera.stanford,,"Curschmann, Karl Friedrich"
"Curti, Franz","Curti, Franz",1854,1898,Germany,,opera.stanford,,"Curti, Franz"
"Cuvillier, Charles","Cuvillier, Charles (Louis Paul)",1877,1955,France,,opera.stanford,,"Cuvillier, Charles (Louis Paul)"
"Cuzent, Paul","Cuzent, Paul",1814,1856,France,,opera.stanford,,"Cuzent, Paul"
"Czernowin, ",Czernowin,1957,,Israel,Female,operabase,Czernowin,
"Czibulka, Alphons","Czibulka, Alphons",1842,1894,Slovakia,,opera.stanford,,"Czibulka, Alphons"
"Czyz, Henryk","Czyz, Henryk",1923,,Poland,,opera.stanford,,"Czyz, Henryk"
"D'Adamo, ",D'Adamo,1966,,Argentina,Male,operabase,D'Adamo,
"d'Albert, Eugen",d'Albert Eugen ,1864,1932,Germany,Male,operabase,d'Albert,
"D'Alessandro, Alessandro",D'Alessandro Alessandro ,,,Italy,Male,operabase,D'Alessandro,
"Déjazet, Eugène-Joseph","Déjazet, Eugène-Joseph",1819,1880,France,,opera.stanford,,"Déjazet, Eugène-Joseph"
"Désaugiers, Marc-Antoine","Désaugiers, Marc-Antoine",1742,1793,France,,opera.stanford,,"Désaugiers, Marc-Antoine"
"Döbber, Johannes","Döbber, Johannes",1866,1921,Germany,,opera.stanford,,"Döbber, Johannes"
"Döhler, Theodor","Döhler, Theodor (von)",1814,1856,Italy,,opera.stanford,,"Döhler, Theodor (von)"
"Dütsch, Otto Johann Anton","Dütsch, Otto Johann Anton",1823,1863,Germany,,opera.stanford,,"Dütsch, Otto Johann Anton"
"Daffner, Hugo","Daffner, Hugo",1882,1936,Germany,,opera.stanford,,"Daffner, Hugo"
"Dahmen, Hubert","Dahmen [Damen], Hubert",1812,1837,Netherlands,,opera.stanford,,"Dahmen [Damen], Hubert"
"Dal Barba, Daniel","Dal Barba, Daniel [Daniele] (Pius)",1715,1801,Italy,,opera.stanford,,"Dal Barba, Daniel [Daniele] (Pius)"
"Dalayrac, Nicolas-Marie","Dalayrac [D'Alayrac], Nicolas-Marie",1753,1809,France,,opera.stanford,,"Dalayrac [D'Alayrac], Nicolas-Marie"
"Dalbavie, ",Dalbavie,1961,,France,Male,operabase,Dalbavie,
"dAlbert, Eugen","d'Albert, Eugen [Eugène] (Francis Charles)",1864,1932,United Kingdom,,opera.stanford,,"d'Albert, Eugen [Eugène] (Francis Charles)"
"dAlessandro, Gennaro","d'Alessandro [Alessandri], Gennaro",,,Italy,,opera.stanford,,"d'Alessandro [Alessandri], Gennaro"
"Dallapiccola, Luigi","Dallapiccola, Luigi",1904,1975,Italy,,opera.stanford,Dallapiccola,"Dallapiccola, Luigi"
"DallArgine, Costantino","Dall'Argine, Costantino",1842,1877,Italy,,opera.stanford,,"Dall'Argine, Costantino"
"Dalvimare, Pierre","Dalvimare [d'Alvimare], (Martin-)Pierre",1772,1839,France,,opera.stanford,,"Dalvimare [d'Alvimare], (Martin-)Pierre"
"Damase, Jean-Michel","Damase, Jean-Michel",1928,,France,,opera.stanford,,"Damase, Jean-Michel"
"Dambis, Pauls","Dambis, Pauls",1936,,Latvia,,opera.stanford,,"Dambis, Pauls"
"dAmbrosio, Alfredo","d'Ambrosio, Alfredo",1871,1914,Italy,,opera.stanford,,"d'Ambrosio, Alfredo"
"Damdinsuren, ",Damdinsuren,1919,1992,Mongolia,Male,operabase,Damdinsuren,
"Damrosch, Walter","Damrosch, Walter (Johannes)",1862,1950,Poland,,opera.stanford,,"Damrosch, Walter (Johannes)"
"Damse, Józef","Damse, Józef",1789,1852,Poland,,opera.stanford,,"Damse, Józef"
"Dan, Ikuma","Dan, Ikuma",1924,2001,Japan,,opera.stanford,Dan,"Dan, Ikuma"
"Dandelot, Georges","Dandelot, Georges (Edouard)",1895,1975,France,,opera.stanford,,"Dandelot, Georges (Edouard)"
"Daneau, Nicolas","Daneau, Nicolas",1866,1944,Belgium,,opera.stanford,,"Daneau, Nicolas"
"dAngeli, Andrea","d'Angeli, Andrea",1868,1940,Italy,,opera.stanford,,"d'Angeli, Andrea"
"Danhauser, Adolphe-Léopold","Danhauser, Adolphe-Léopold",1835,1896,France,,opera.stanford,,"Danhauser, Adolphe-Léopold"
Daniel-Lesur,"Daniel-Lesur [Lesur, Daniel (Jean Yves)]",1908,2002,France,,opera.stanford,,"Daniel-Lesur [Lesur, Daniel (Jean Yves)]"
"Daniels, Mabel Wheeler","Daniels, Mabel Wheeler",1878,,United States,,opera.stanford,,"Daniels, Mabel Wheeler"
"Dankevich, Konstantin","Dankevich, Konstantin",1905,1984,Ukraine,,opera.stanford,,"Dankevich, Konstantin"
"Dankworth, John","Dankworth, John [Johnny] (Philip William)",1927,,United Kingdom,,opera.stanford,,"Dankworth, John [Johnny] (Philip William)"
Dannström Isidor,Dannström (Johan) Isidor,1812,1897,Sweden,,opera.stanford,,Dannström (Johan) Isidor
"Danzi, Franz","Danzi, Franz (Ignaz)",1763,1826,Germany,,opera.stanford,,"Danzi, Franz (Ignaz)"
"DArcais, Francesco,","D'Arcais, Francesco,",1830,1890,Italy,,opera.stanford,,"D'Arcais, Francesco,"
"Darcis, François-Joseph","Darcis [d'Arcis, s'Arcy], François-Joseph",1759,1783,Austria,,opera.stanford,,"Darcis [d'Arcis, s'Arcy], François-Joseph"
"Dargomizhsky, ",Dargomizhsky,1813,1869,Russia,Male,operabase,Dargomizhsky,"Dargomïzhsky, Alexander Sergeyevich"
"dArienzo, Nicola","d'Arienzo, Nicola",1842,1915,Italy,,opera.stanford,,"d'Arienzo, Nicola"
"Darijan, Bozic",Bozic Darijan,,,Serbia,Male,operabase,Bozic,
"Darnton, Christian","Darnton, (Philip) Christian",1905,1981,United Kingdom,,opera.stanford,,"Darnton, (Philip) Christian"
"Darondeau, Benoni","Darondeau, Benoni",1740,,Germany,,opera.stanford,,"Darondeau, Benoni"
"Darondeau, Henry","Darondeau, Henry",1779,1865,Austria,,opera.stanford,,"Darondeau, Henry"
"Darwish, Sayed","Darwish, Sayed [Sayyid]",1892,1923,Egypt,,opera.stanford,,"Darwish, Sayed [Sayyid]"
"Darzins, Emils","Darzins, Emils",1875,1910,Latvia,,opera.stanford,,"Darzins, Emils"
"Dashkevich, ",Dashkevich,1934,,Russia,Male,operabase,Dashkevich,
"Dassoucy, Charles","Dassoucy [Assoucy, D'Assoucy, Coypeau, Coipeau, Couppeau], Charles [d']",1605,1677,France,,opera.stanford,,"Dassoucy [Assoucy, D'Assoucy, Coypeau, Coipeau, Couppeau], Charles [d']"
"dAstorga, Emanuele","d'Astorga, Emanuele (Gioacchino Cesare Rincón)",1680,1757,Spain,,opera.stanford,,"d'Astorga, Emanuele (Gioacchino Cesare Rincón)"
"Daussoigne-Méhul, Louis Joseph","Daussoigne-Méhul, Louis Joseph",1790,1875,France,,opera.stanford,,"Daussoigne-Méhul, Louis Joseph"
"Dautresme, Auguste-Lucien","Dautresme, Auguste-Lucien",1826,1892,France,,opera.stanford,,"Dautresme, Auguste-Lucien"
"Dauvergne, ",Dauvergne,1713,1797,France,Male,operabase,Dauvergne,"Dauvergne [D'Auvergne], Antoine"
"Davïdov, Stepan Ivanovich","Davïdov, Stepan Ivanovich",1777,1825,Russia,,opera.stanford,,"Davïdov, Stepan Ivanovich"
"Davaux, Jean-Baptiste","Davaux [Davau, D'Avaux], Jean-Baptiste",1742,1822,France,,opera.stanford,,"Davaux [Davau, D'Avaux], Jean-Baptiste"
"Davesne, Pierre Just","Davesne [d'Avesne, Davesnes], Pierre Just",,1783,France,,opera.stanford,,"Davesne [d'Avesne, Davesnes], Pierre Just"
"Davico, Vincenzo","Davico, Vincenzo",1889,1969,Monaco,,opera.stanford,,"Davico, Vincenzo"
"David, Félicien","David, Félicien(-César)",1810,1876,France,,opera.stanford,David,"David, Félicien(-César)"
"David, Ferdinand","David, Ferdinand",1810,1873,Germany,,opera.stanford,,"David, Ferdinand"
"David, Karl Heinrich","David, Karl Heinrich",1884,1951,Switzerland,,opera.stanford,,"David, Karl Heinrich"
"David, Samuel","David, Samuel",1836,1895,France,,opera.stanford,,"David, Samuel"
"David, Thomas Christian","David, Thomas Christian",1925,,Austria,,opera.stanford,,"David, Thomas Christian"
"Davidenko, Alexander","Davidenko, Alexander (Alexandrovich)",1899,1934,Ukraine,,opera.stanford,,"Davidenko, Alexander (Alexandrovich)"
"DaviesPM, ",DaviesPM,1934,,United Kingdom,Male,operabase,DaviesPM,"Davies,"
"DaviesT, ",DaviesT,1973,,United Kingdom,Female,operabase,DaviesT,
"DaviesV, ",DaviesV,1939,,Canada,Male,operabase,DaviesV,
"Davis, John David","Davis, John David",1867,1942,United Kingdom,,opera.stanford,,"Davis, John David"
"Davison, A T","Davison, A(rchibald) T(hompson)",1883,1961,United States,,opera.stanford,,"Davison, A(rchibald) T(hompson)"
"Davy, John","Davy, John",1763,1824,United Kingdom,,opera.stanford,,"Davy, John"
"Dayer, ",Dayer,1972,,Switzerland,Male,operabase,Dayer,
"De Boeck, Auguste","De Boeck, Auguste",1865,1937,Belgium,,opera.stanford,,"De Boeck, Auguste"
"De Ferrari, Serafino","De Ferrari, Serafino (Amadeo)",1824,1885,Italy,,opera.stanford,,"De Ferrari, Serafino (Amadeo)"
"De Koven, Reginald","De Koven, (Henry Louis) Reginald",1859,1920,United States,,opera.stanford,,"De Koven, (Henry Louis) Reginald"
"De Lara, Isidore","De Lara [Cohen], Isidore",1858,1935,United Kingdom,,opera.stanford,,"De Lara [Cohen], Isidore"
"de Leone, Francesco Bartolomeo","de Leone, Francesco (Bartolomeo",1887,1948,Italy,,opera.stanford,,"de Leone, Francesco (Bartolomeo"
"De Sabata, Victor","De Sabata, Victor [Vittorio]",1892,1967,Italy,,opera.stanford,,"De Sabata, Victor [Vittorio]"
"De Giosa, Nicola",De Giosa,1819,1885,Italy,Male,operabase,De Giosa,"De Giosa, Nicola"
"De, Rose",De Rose,1958,,Italy,Male,operabase,De Rose,
"De, Simone",De Simone,1933,,Italy,Male,operabase,De Simone,
"Deák, Csaba","Deák, Csaba",1932,,Hungary,,opera.stanford,,"Deák, Csaba"
"Dean, ",Dean,1961,,Australia,Male,operabase,Dean,
"DeAngelis, Angelo","DeAngelis, Angelo",,,Italy,,opera.stanford,,"DeAngelis, Angelo"
"Deazley, ",Deazley,1969,,United Kingdom,Male,operabase,Deazley,
"Debillemont, Jean-Jacques","Debillemont, Jean-Jacques",1824,1879,France,,opera.stanford,,"Debillemont, Jean-Jacques"
"Debussy, Claude","Debussy, (Achille-)Claude",1862,1918,France,,opera.stanford,Debussy,"Debussy, (Achille-)Claude"
"Dediu, ",Dediu,1967,,Romania,Male,operabase,Dediu,
"Deffés, Louis","Deffés, (Pierre-)Louis",1819,1900,France,,opera.stanford,,"Deffés, (Pierre-)Louis"
"Defoort, ",Defoort,1959,,Netherlands,Male,operabase,Defoort,
"Defossez, René","Defossez, René",1905,1988,Belgium,,opera.stanford,,"Defossez, René"
"Degli Antoni, Pietro","Degli Antoni [Antonii], Pietro",1648,1720,Italy,,opera.stanford,,"Degli Antoni [Antonii], Pietro"
"Deichel, Joseph Anton","Deichel, Joseph Anton",1699,1778,Germany,,opera.stanford,,"Deichel, Joseph Anton"
"Deichel, Joseph Christoph","Deichel, Joseph Christoph",1695,1753,Germany,,opera.stanford,,"Deichel, Joseph Christoph"
Delaborde,Delaborde [,,,France,,opera.stanford,,Delaborde [
"Delange, Herman-François","Delange [De Lange], Herman-François",1715,1781,Belgium,,opera.stanford,,"Delange [De Lange], Herman-François"
"Delannoy, Marcel","Delannoy, Marcel",1898,1962,France,,opera.stanford,,"Delannoy, Marcel"
"Delavault, Eugène","Delavault, Eugène",1814,1892,France,,opera.stanford,,"Delavault, Eugène"
"Delcroix, Léon Charles","Delcroix, Léon Charles",1880,1938,Belgium,,opera.stanford,,"Delcroix, Léon Charles"
"Deldevez, Edouard","Deldevez, Edouard [Edme](-Marie-Ernest)",1817,1897,France,,opera.stanford,,"Deldevez, Edouard [Edme](-Marie-Ernest)"
"Delgadillo, Luis","Delgadillo, Luis (Abraham)",1887,1962,Nicaragua,,opera.stanford,,"Delgadillo, Luis (Abraham)"
"Delibes, ",Delibes ,1836,1891,France,Male,operabase,Delibes,"Delibes, (Clément Philibert) Léo"
"Delius, Frederick","Delius, Frederick [Fritz] (Theodor Albert)",1862,1934,United Kingdom,,opera.stanford,Delius,"Delius, Frederick [Fritz] (Theodor Albert)"
"Della Maria, Dominique","Della Maria, (Pierre-Antoine-)Dominique",1769,1800,France,,opera.stanford,,"Della Maria, (Pierre-Antoine-)Dominique"
"Della Porta, Giuseppe","Della Porta, Giuseppe",,,Italy,,opera.stanford,,"Della Porta, Giuseppe"
"Della, Valentina",Della Valentina,,,Italy,Male,operabase,Della Valentina,
"Deller, Florian Johann","Deller [Teller, Döller, Töller], Florian Johann",1729,1773,Germany,,opera.stanford,,"Deller [Teller, Döller, Töller], Florian Johann"
"Dellinger, Rudolf","Dellinger, Rudolf",1857,1910,Czechia,,opera.stanford,,"Dellinger, Rudolf"
"Dello Joio, Norman","Dello Joio, Norman",1913,2008,United States,,opera.stanford,,"Dello Joio, Norman"
"DellOrefice, Giuseppe","Dell'Orefice, Giuseppe",1848,1889,Italy,,opera.stanford,,"Dell'Orefice, Giuseppe"
"Delmas, Marc-Jean-Baptiste","Delmas, Marc-Jean-Baptiste",1885,1931,France,,opera.stanford,,"Delmas, Marc-Jean-Baptiste"
"Delune, Louis","Delune, Louis",1876,1940,Belgium,,opera.stanford,,"Delune, Louis"
"Delvincourt, Claude","Delvincourt, Claude",1888,1954,France,,opera.stanford,,"Delvincourt, Claude"
"Demény, Desiderius","Demény, Desiderius",1871,,Hungary,,opera.stanford,,"Demény, Desiderius"
"Demestres, ",Demestres,1960,,Spain,Male,operabase,Demestres,
"Demian, Vilmos","Demian, Vilmos [Wilhelm]",1910,,Romania,,opera.stanford,,"Demian, Vilmos [Wilhelm]"
"Demiris, ",Demiris,1940,2010,Turkey,Male,operabase,Demiris,
"Demuth, Norman","Demuth, Norman",1898,1968,United Kingdom,,opera.stanford,,"Demuth, Norman"
"Denefve, Jules","Denefve, Jules",1814,1877,Belgium,,opera.stanford,,"Denefve, Jules"
"Denev, ",Denev,1951,,Bulgaria,Male,operabase,Denev,
"Denisov, Edison","Denisov, Edison (Vasil'yevich)",1929,1996,Russia,,opera.stanford,Denisov,"Denisov, Edison (Vasil'yevich)"
"Dennehy, ",Dennehy,1970,,Ireland,Male,operabase,Dennehy,
"Denza, Luigi","Denza, Luigi",1846,1922,Italy,,opera.stanford,,"Denza, Luigi"
"Deqing, ",Deqing,1958,,China,Male,operabase,Deqing,
"Deri, ",Deri,1956,,Italy,Male,operabase,Deri,
"DerungsG, ",DerungsG,1935,2012,Switzerland,Male,operabase,DerungsG,
"Des Marais, Paul","Des Marais, Paul (Emile)",1920,,United States,,opera.stanford,,"Des Marais, Paul (Emile)"
"Deshayes, Prosper-Didier","Deshayes [Des Hayes, des Hayes, Deshays], Prosper-Didier",,1815,France,,opera.stanford,,"Deshayes [Des Hayes, des Hayes, Deshays], Prosper-Didier"
"Deshevov, Vladimir Mikhaylovich","Deshevov, Vladimir Mikhaylovich",1889,1955,Russia,,opera.stanford,,"Deshevov, Vladimir Mikhaylovich"
"Deslandres, Adolphe-Edouard-Marie","Deslandres, Adolphe-Edouard-Marie",1840,1911,France,,opera.stanford,,"Deslandres, Adolphe-Edouard-Marie"
"Desmarets, Henri","Desmarets [Desmarest, Desmarestz, Desmarais], Henri",1661,1741,France,,opera.stanford,,"Desmarets [Desmarest, Desmarestz, Desmarais], Henri"
"Desmazures, Laurent","Desmazures [Desmasures], Laurent",1714,1778,France,,opera.stanford,,"Desmazures [Desmasures], Laurent"
"Desormery, Léopold-Bastien","Desormery [Désormerie], Léopold-Bastien",1740,1810,France,,opera.stanford,,"Desormery [Désormerie], Léopold-Bastien"
"Desportes, Yvonne","Desportes, Yvonne (Berthe Melitta)",1907,1993,Germany,,opera.stanford,,"Desportes, Yvonne (Berthe Melitta)"
"Dessau, Paul","Dessau, Paul",1894,1979,Germany,,opera.stanford,,"Dessau, Paul"
"Dessauer, Josef","Dessauer, Josef [Joseph]",1798,1876,Czechia,,opera.stanford,,"Dessauer, Josef [Joseph]"
"Dessca, ",Dessca,1949,,France,Male,operabase,Dessca,
"Destouches, André-Cardinal","Destouches, André-Cardinal",1672,1749,France,,opera.stanford,,"Destouches, André-Cardinal"
"Destouches, Franz von","Destouches, Franz (Seraph) von",1772,1844,Germany,,opera.stanford,,"Destouches, Franz (Seraph) von"
"Deszczynski, Józef","Deszczynski, Józef",1781,1844,Lithuania,,opera.stanford,,"Deszczynski, Józef"
"Deutsch, Max","Deutsch, Max",1892,1982,Austria,,opera.stanford,,"Deutsch, Max"
"Devcic, Natko","Devcic, Natko",1914,,Romania,,opera.stanford,,"Devcic, Natko"
"Devienne, François","Devienne, François",1759,1803,Brazil,,opera.stanford,,"Devienne, François"
"Devin-Duvivier, Jean-Adolphe-Hippolyte","Devin-Duvivier, Jean-Adolphe-Hippolyte",1827,,United Kingdom,,opera.stanford,,"Devin-Duvivier, Jean-Adolphe-Hippolyte"
"Devreese, Frédéric","Devreese, Frédéric",1929,,Netherlands,,opera.stanford,,"Devreese, Frédéric"
"Dezède, Nicolas","Dezède [De Zède. Dezèdes, Desaides, De Zaides], Nicolas [Alexandre?]",1742,1792,France,,opera.stanford,,"Dezède [De Zède. Dezèdes, Desaides, De Zaides], Nicolas [Alexandre?]"
"DHarcourt, Eugène","D'Harcourt [d'Harcourt], Eugène",1859,1918,France,,opera.stanford,,"D'Harcourt [d'Harcourt], Eugène"
"DHoedt, Henri-Georges","D'Hoedt, Henri-Georges",1885,1936,Belgium,,opera.stanford,,"D'Hoedt, Henri-Georges"
"Di Domenica, Robert","Di Domenica, Robert",1927,,United States,,opera.stanford,,"Di Domenica, Robert"
"Di, Cecca",Di Cecca,1984,,Italy,Female,operabase,Di Cecca,
"Diabelli, Anton","Diabelli, Anton",1781,1858,Austria,,opera.stanford,,"Diabelli, Anton"
"Diacono, Carlo","Diacono, Carlo",1876,1942,Malta,,opera.stanford,,"Diacono, Carlo"
"Diaz, Eugène","Diaz (de la Peña), Eugène(-Emile)",1837,1901,France,,opera.stanford,,"Diaz (de la Peña), Eugène(-Emile)"
"Dibdin, Charles","Dibdin, Charles",1745,1814,United Kingdom,,opera.stanford,Dibdin,"Dibdin, Charles"
"DiChiera, ",DiChiera,1935,,United States,Male,operabase,DiChiera,
"Dickinson, Clarence","Dickinson, Clarence",1873,1969,United States,,opera.stanford,,"Dickinson, Clarence"
"Dickinson, Peter","Dickinson, Peter",1934,,United Kingdom,,opera.stanford,,"Dickinson, Peter"
"Diemer, ",Diemer,1986,,Germany,Male,operabase,Diemer,
"Dienz, ",Dienz,1968,,Austria,Male,operabase,Dienz,
"Dieren, Bernard van","Dieren, Bernard van",1887,1936,Netherlands,,opera.stanford,,"Dieren, Bernard van"
"Diet, Edmond-Marie","Diet, Edmond-Marie",1854,1924,France,,opera.stanford,,"Diet, Edmond-Marie"
"Dieter, Christian Ludwig","Dieter, Christian Ludwig",1757,1822,Germany,,opera.stanford,,"Dieter, Christian Ludwig"
"Dietrich, Albert","Dietrich, Albert (Hermann)",1829,1908,Germany,,opera.stanford,,"Dietrich, Albert (Hermann)"
