clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Kauffmann, Leo Justinus","Kauffmann, Leo Justinus",1901,1944,France,,opera.stanford,,"Kauffmann, Leo Justinus"
"Kaufmann, Walter","Kaufmann, Walter",1907,1984,Czechia,,opera.stanford,,"Kaufmann, Walter"
"Kaun, Hugo","Kaun, Hugo",1863,1932,Germany,,opera.stanford,,"Kaun, Hugo"
"Kay, Ulysses","Kay, Ulysses (Simpson)",1917,1995,United States,,opera.stanford,,"Kay, Ulysses (Simpson)"
"Kayser, Philipp Christoph","Kayser, Philipp Christoph",1755,1823,Germany,,opera.stanford,,"Kayser, Philipp Christoph"
"Kazachenko, Grigori","Kazachenko, Grigori",1858,1938,Russia,,opera.stanford,,"Kazachenko, Grigori"
"Kazanly, Nikolai","Kazanly, Nikolai (Ivanovich)",1869,1916,Moldova,,opera.stanford,,"Kazanly, Nikolai (Ivanovich)"
"Kazuro, Stanislaw","Kazuro, Stanislaw",1881,1961,Poland,,opera.stanford,,"Kazuro, Stanislaw"
"Kazynski, Wiktor","Kazynski, Wiktor",1812,1867,Lithuania,,opera.stanford,,"Kazynski, Wiktor"
"Kearns, William Henry","Kearns, William Henry",1794,1846,Ireland,,opera.stanford,,"Kearns, William Henry"
"Keil, Alfredo","Keil, Alfredo",1850,1907,Portugal,,opera.stanford,,"Keil, Alfredo"
"Keiser, ",Keiser,1674,1739,Germany,Male,operabase,Keiser,"Keiser [Cesare], Reinhard [Renato]"
"Keldorfer, Robert","Keldorfer, Robert",1901,1980,Austria,,opera.stanford,,"Keldorfer, Robert"
"Kelemen, Milko","Kelemen, Milko",1924,,Croatia,,opera.stanford,,"Kelemen, Milko"
"Keller, Walter","Keller, Walter",1873,1940,United States,,opera.stanford,,"Keller, Walter"
"Kelley, Edgar Stillman","Kelley, Edgar Stillman",1857,,Greece,,opera.stanford,,"Kelley, Edgar Stillman"
"Kellner, Johann Christoph","Kellner, Johann Christoph",1736,1803,Germany,,opera.stanford,,"Kellner, Johann Christoph"
"Kelly, Bryan","Kelly, Bryan",1934,,United Kingdom,,opera.stanford,,"Kelly, Bryan"
"Kelly, Michael","Kelly, Michael",1762,1826,Ireland,,opera.stanford,,"Kelly, Michael"
"Kelly, Robert","Kelly, Robert",1916,,United States,,opera.stanford,,"Kelly, Robert"
"Kelterborn, Rudolf","Kelterborn, Rudolf",1931,,Switzerland,,opera.stanford,,"Kelterborn, Rudolf"
"Kemp, Joseph","Kemp, Joseph",1778,1824,United Kingdom,,opera.stanford,,"Kemp, Joseph"
"Kenessey, Jenö","Kenessey, Jenö",1905,,Hungary,,opera.stanford,,"Kenessey, Jenö"
"Kepitis, Janis","Kepitis, Janis",1908,1990,Latvia,,opera.stanford,,"Kepitis, Janis"
"Kerek, ",Kerek,1971,,Hungary,Male,operabase,Kerek,
"Kerer, ",Kerer,1980,,Italy,Female,operabase,Kerer,
"Kerger, ",Kerger,1957,,Luxembourg,Male,operabase,Kerger,
"Kerker, Gustave Adolph","Kerker, Gustave Adolph",1857,1923,Germany,,opera.stanford,Kerker,"Kerker, Gustave Adolph"
