,Work,Theatre,City,country,date
776,Strike Up The Chorus,Concert Hall,South Bank,QLD,2005-06-18 00:00:00
777,The Beggar's Opera,Hyde Park Barracks,Sydney,NSW,2005-06-16 00:00:00
778,The Marriage of Figaro,St Martins Youth Arts Centre,South Yarra,VIC,2005-06-11 00:00:00
779,Recital,CUB Malthouse,Southbank,VIC,2005-06-03 00:00:00
780,The Beggar's Opera,"Opera Centre, Murdoch Studio",Southbank,VIC,2005-06-01 00:00:00
781,Jane Eyre,The Street Theatre,Acton,ACT,2005-05-26 00:00:00
782,Tom Jones,Arts Theatre,Adelaide,SA,2005-05-20 00:00:00
783,La Boheme,Concert Hall,South Bank,QLD,2005-05-14 00:00:00
784,La Boheme,Lyric Theatre,South Brisbane,QLD,2005-05-14 00:00:00
785,Hansel and Gretel,Australian Ballet Centre,Southbank,VIC,2005-05-06 00:00:00
786,Orlando,Assembly Hall,Melbourne,VIC,2005-05-01 00:00:00
787,The Love for Three Oranges,State Theatre,Melbourne,VIC,2005-04-26 00:00:00
788,The Magic Flute,State Theatre,Melbourne,VIC,2005-04-19 00:00:00
789,Nabucco,State Theatre,Melbourne,VIC,2005-04-13 00:00:00
790,Don Giovanni,His Majesty's Theatre,Perth,WA,2005-04-12 00:00:00
791,The Mysterious Demise of One Brody Marie / Broken Dreams,Stables Theatre,Darlinghurst,NSW,2005-04-01 00:00:00
792,Madama Butterfly,Rochford Estate,Coldstream,VIC,2005-03-12 00:00:00
793,Verdi Requiem,Concert Hall (Sydney Opera House),Sydney,NSW,2005-03-04 00:00:00
794,McCubbin,BMW Edge,Melbourne,VIC,2005-02-25 00:00:00
795,Die Zauberflote,Supreme Court Gardens,Perth,WA,2005-02-11 00:00:00
796,Carmen,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-02-07 00:00:00
797,Tosca,Domain,Sydney,NSW,2005-01-29 00:00:00
798,Tosca,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-01-26 00:00:00
799,China's Princess Turandot,Concert Hall (Sydney Opera House),Sydney,NSW,2005-01-20 00:00:00
800,The Eternity Man,The Studio (Sydney Opera House),Sydney,NSW,2005-01-20 00:00:00
801,The Love For Three Oranges,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-01-18 00:00:00
802,Cosi Fan Tutte,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-01-03 00:00:00
803,The Frog Prince,James O. Fairfax Theatre,Parkes,ACT,2004-12-12 00:00:00
804,L'Orfeo,City Recital Hall,Sydney,NSW,2004-12-01 00:00:00
805,Rosamund Illing Matinee,Federation Concert Hall,Hobart,TAS,2004-11-29 00:00:00
806,Il Combattimento di Tancredi e Clorinda / Dido and Aeneas,State Theatre,Melbourne,VIC,2004-11-29 00:00:00
807,Manon,State Theatre,Melbourne,VIC,2004-11-20 00:00:00
808,The Ring: Der Ring des Niebelungen,Festival Theatre,Adelaide,SA,2004-11-16 00:00:00
809,Midnite,Athenaeum Theatre,Melbourne,VIC,2004-10-20 00:00:00
810,From Frying Pan to Fire: From Animal to Human Holocausts,La Mama,Carlton,VIC,2004-10-20 00:00:00
811,Cosmonaut,Merlyn Theatre,Southbank,VIC,2004-10-20 00:00:00
812,The Return of Ulysses,Playhouse,Melbourne,VIC,2004-10-13 00:00:00
813,The Impossible Body,University of Newcastle Drama Studio,Callaghan,NSW,2004-10-13 00:00:00
814,Men in Tribulation,Forum Theatre,Melbourne,VIC,2004-10-11 00:00:00
815,A Masked Ball,Lyric Theatre,South Brisbane,QLD,2004-10-09 00:00:00
816,Madeline Lee,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-10-08 00:00:00
817,Cosi Fan Tutte,Sydney Conservatorium of Music,Sydney,NSW,2004-10-07 00:00:00
818,"No Hope, No Reason",Australian Centre for Contemporary Art,Southbank ,VIC,2004-10-07 00:00:00
819,The Charcoal Club,The Famous Spiegeltent,Melbourne,VIC,2004-10-01 00:00:00
820,Cosi Fan Tutte,Athenaeum Theatre,Melbourne,VIC,2004-09-25 00:00:00
821,Hansel and Gretel,SBW Independent Theatre,Darlinghurst,NSW,2004-09-25 00:00:00
822,Operantics,The Esplanade,Darwin,NT,2004-09-24 00:00:00
823,Der Rosenkavalier,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-09-21 00:00:00
824,The Magic Flute,Conservatorium Theatre,South Bank,QLD,2004-09-12 00:00:00
825,The Barber of Seville,Comedy Theatre,Melbourne,VIC,2004-09-11 00:00:00
826,The Barber of Seville,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-09-09 00:00:00
827,Sing Your Own Opera,Australia,,[Unknown],2004-08-28 00:00:00
828,La Boheme,Darwin Entertainment Centre,Darwin,NT,2004-08-26 00:00:00
829,The Marriage of Figaro,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-08-26 00:00:00
830,Highlights of Opera,Opera Theatre (Sydney Opera House),Sydney,NSW,2004-08-22 00:00:00
831,Don Pasquale,Cairns Civic Theatre,Cairns,QLD,2004-08-21 00:00:00
832,La Boheme,Her Majesty's Theatre,Melbourne,VIC,2004-08-19 00:00:00
833,Don Pasquale,Townsville Civic Theatre,South Townsville,QLD,2004-08-19 00:00:00
834,Don Pasquale,Mackay Entertainment Centre,Mackay,QLD,2004-08-17 00:00:00
835,I'm In Love With Vienna,Concert Hall (Sydney Opera House),Sydney,NSW,2004-08-14 00:00:00
836,Don Pasquale,Pilbeam Theatre,Rockhampton,QLD,2004-08-14 00:00:00
