,name,uri,composer
119,The Apostle,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1031,Gamma  Skupinsky
120,The Araboolies of Liberty Street,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=347,Ronald  Perera
121,The Arc,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=17,Stephen Weinstock
122,The Architect,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=497,David  MacIntyre
123,The Aspern Papers,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=498,Dominick    Argento
124,The Awakening,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=241,James  Stepleton
125,The Perfect American,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1443,Philip Glass
126,The Promise,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1051,William E. Dickinson
127,The Serenade,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1412,Victor     Herbert
128,The Thirteen Clocks,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=199,Chris   Theofanidis
129,The Trial of Elizabeth Cree,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1771,Kevin Puts
130,Uncle Alex,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1578,Joshua Bornfield
131,Winnie-the-Pooh,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1066,Brian   Israel
132,A Bayou Legend,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=503,William Grant Still
133,A Better Place,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=295,Martin Butler
134,A Bird in the Bush,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=969,Herbert Bielawa
135,A Blizzard On Marblehead Neck,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1423,Jeanine     Tesori
136,A Bride From Pluto,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1079,Gian Carlo     Menotti
137,A Brief History of Root Vegetables,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1396,David    Heuser
138,Babes In Toyland,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1413,Victor    Herbert
139,Backwards from Winter,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1852,Douglas Knehans
140,Ballerina and the Clown,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1123,Libby   Larsen
